bench, mem, temp, row_size, enabled_cols, row_count, col_width, cycles, l1_references, l1_refills, l2_references, l2_refills, inst_retired
q1, r, -, 64, 2, 43690, 4, 337009, 1616580, 6778, 99850, 49254, 3102249
q1, c, -, 64, 2, 43690, 4, 39288, 65644, 410, 16114, 5494, 54976
q1, r, -, 64, 2, 43690, 4, 343357, 1616581, 6281, 99219, 49218, 3102252
q1, c, -, 64, 2, 43690, 4, 38936, 65644, 444, 16137, 5496, 54976
q1, r, -, 64, 2, 43690, 4, 339434, 1616581, 6180, 99131, 49222, 3102252
q1, c, -, 64, 2, 43690, 4, 38708, 65644, 405, 16105, 5476, 54977
q1, r, -, 64, 2, 43690, 4, 340262, 1616579, 6058, 99161, 49209, 3102249
q1, c, -, 64, 2, 43690, 4, 38186, 65644, 426, 16131, 5489, 54976
q1, r, -, 64, 2, 43690, 4, 337851, 1616580, 6221, 99216, 49225, 3102249
q1, c, -, 64, 2, 43690, 4, 38054, 65644, 433, 16138, 5495, 54976
q1, r, -, 64, 2, 43690, 4, 337983, 1616579, 6167, 99363, 49231, 3102248
q1, c, -, 64, 2, 43690, 4, 37826, 65644, 416, 16145, 5492, 54976
q1, r, -, 64, 2, 43690, 4, 341717, 1616580, 6303, 99155, 49208, 3102250
q1, c, -, 64, 2, 43690, 4, 38674, 65644, 416, 16143, 5483, 54976
q1, r, -, 64, 2, 43690, 4, 339022, 1616581, 6203, 99225, 49226, 3102251
q1, c, -, 64, 2, 43690, 4, 37544, 65643, 395, 16134, 5465, 54975
q1, r, -, 64, 2, 43690, 4, 340870, 1616579, 6151, 99280, 49216, 3102250
q1, c, -, 64, 2, 43690, 4, 37817, 65644, 390, 16131, 5475, 54976
q1, r, -, 64, 2, 43690, 4, 337858, 1616580, 6223, 99368, 49207, 3102249
q1, c, -, 64, 2, 43690, 4, 36791, 65645, 399, 16123, 5473, 54977
q1, r, -, 64, 3, 43690, 4, 487266, 2271931, 3493, 106014, 51990, 4369348
q1, c, -, 64, 3, 43690, 4, 57117, 98443, 587, 24154, 8194, 82423
q1, r, -, 64, 3, 43690, 4, 486767, 2271934, 3453, 105946, 51989, 4369351
q1, c, -, 64, 3, 43690, 4, 57137, 98443, 569, 24115, 8174, 82422
q1, r, -, 64, 3, 43690, 4, 486016, 2271933, 3385, 105656, 51999, 4369349
q1, c, -, 64, 3, 43690, 4, 57469, 98443, 539, 24089, 8144, 82424
q1, r, -, 64, 3, 43690, 4, 484621, 2271932, 3335, 105686, 51977, 4369348
q1, c, -, 64, 3, 43690, 4, 58830, 98444, 595, 24118, 8174, 82424
q1, r, -, 64, 3, 43690, 4, 487762, 2271931, 3543, 105884, 51996, 4369347
q1, c, -, 64, 3, 43690, 4, 56354, 98442, 644, 24175, 8231, 82421
q1, r, -, 64, 3, 43690, 4, 486281, 2271930, 3371, 105807, 51998, 4369347
q1, c, -, 64, 3, 43690, 4, 55751, 98443, 603, 24122, 8199, 82422
q1, r, -, 64, 3, 43690, 4, 490955, 2271932, 3779, 106022, 52009, 4369353
q1, c, -, 64, 3, 43690, 4, 55112, 98445, 535, 24091, 8148, 82424
q1, r, -, 64, 3, 43690, 4, 488243, 2271933, 3716, 105928, 51994, 4369349
q1, c, -, 64, 3, 43690, 4, 56185, 98442, 557, 24083, 8145, 82421
q1, r, -, 64, 3, 43690, 4, 485935, 2271932, 3531, 105838, 52010, 4369348
q1, c, -, 64, 3, 43690, 4, 58272, 98442, 647, 24199, 8212, 82421
q1, r, -, 64, 3, 43690, 4, 485460, 2271933, 3349, 105759, 52000, 4369349
q1, c, -, 64, 3, 43690, 4, 57584, 98443, 726, 24281, 8307, 82422
q1, r, -, 64, 4, 43690, 4, 631125, 2927279, 4690, 112055, 54720, 5636438
q1, c, -, 64, 4, 43690, 4, 74089, 131239, 786, 32177, 10906, 109869
q1, r, -, 64, 4, 43690, 4, 632151, 2927279, 4947, 112424, 54721, 5636439
q1, c, -, 64, 4, 43690, 4, 74887, 131238, 889, 32313, 10993, 109869
q1, r, -, 64, 4, 43690, 4, 634211, 2927279, 5047, 112403, 54736, 5636442
q1, c, -, 64, 4, 43690, 4, 74472, 131238, 723, 32115, 10855, 109869
q1, r, -, 64, 4, 43690, 4, 631549, 2927278, 4865, 112329, 54732, 5636439
q1, c, -, 64, 4, 43690, 4, 74742, 131238, 808, 32192, 10935, 109868
q1, r, -, 64, 4, 43690, 4, 632038, 2927280, 4909, 112301, 54715, 5636440
q1, c, -, 64, 4, 43690, 4, 74125, 131238, 809, 32252, 10919, 109870
q1, r, -, 64, 4, 43690, 4, 631868, 2927280, 4824, 112256, 54704, 5636440
q1, c, -, 64, 4, 43690, 4, 74656, 131239, 931, 32287, 10955, 109869
q1, r, -, 64, 4, 43690, 4, 631308, 2927280, 4806, 112316, 54730, 5636440
q1, c, -, 64, 4, 43690, 4, 75806, 131239, 1041, 32301, 10959, 109869
q1, r, -, 64, 4, 43690, 4, 638331, 2927279, 4897, 112201, 54707, 5636440
q1, c, -, 64, 4, 43690, 4, 73278, 131238, 870, 32276, 10982, 109870
q1, r, -, 64, 4, 43690, 4, 632340, 2927280, 5003, 112363, 54720, 5636445
q1, c, -, 64, 4, 43690, 4, 73858, 131238, 674, 32090, 10829, 109868
q1, r, -, 64, 4, 43690, 4, 631242, 2927280, 4769, 112254, 54724, 5636441
q1, c, -, 64, 4, 43690, 4, 75466, 131238, 870, 32249, 10965, 109868
q1, r, -, 64, 5, 43690, 4, 776063, 3582635, 5568, 118167, 57471, 6903541
q1, c, -, 64, 5, 43690, 4, 99030, 164039, 2213, 40873, 14038, 137316
q1, r, -, 64, 5, 43690, 4, 775195, 3582633, 5482, 118135, 57474, 6903540
q1, c, -, 64, 5, 43690, 4, 89396, 164037, 1070, 40273, 13697, 137312
q1, r, -, 64, 5, 43690, 4, 779385, 3582636, 5659, 118068, 57477, 6903543
q1, c, -, 64, 5, 43690, 4, 93605, 164038, 1779, 40645, 13893, 137313
q1, r, -, 64, 5, 43690, 4, 775808, 3582636, 5416, 117921, 57460, 6903543
q1, c, -, 64, 5, 43690, 4, 93289, 164037, 1670, 40632, 13916, 137312
q1, r, -, 64, 5, 43690, 4, 775934, 3582637, 5463, 118044, 57486, 6903544
q1, c, -, 64, 5, 43690, 4, 88193, 164037, 991, 40246, 13641, 137313
q1, r, -, 64, 5, 43690, 4, 775457, 3582634, 5308, 117690, 57491, 6903541
q1, c, -, 64, 5, 43690, 4, 89046, 164038, 1003, 40274, 13636, 137315
q1, r, -, 64, 5, 43690, 4, 776786, 3582633, 5427, 117912, 57483, 6903541
q1, c, -, 64, 5, 43690, 4, 90480, 164036, 1190, 40332, 13704, 137311
q1, r, -, 64, 5, 43690, 4, 776594, 3582635, 5467, 117903, 57478, 6903543
q1, c, -, 64, 5, 43690, 4, 90001, 164037, 962, 40242, 13615, 137313
q1, r, -, 64, 5, 43690, 4, 775870, 3582636, 5420, 118004, 57484, 6903544
q1, c, -, 64, 5, 43690, 4, 89875, 164037, 1088, 40286, 13676, 137313
q1, r, -, 64, 5, 43690, 4, 775471, 3582634, 5418, 118097, 57492, 6903541
q1, c, -, 64, 5, 43690, 4, 90233, 164037, 980, 40201, 13634, 137312
q1, r, -, 64, 6, 43690, 4, 920672, 4237983, 6191, 123470, 60188, 8170639
q1, c, -, 64, 6, 43690, 4, 106150, 196833, 1238, 48345, 16373, 164758
q1, r, -, 64, 6, 43690, 4, 921889, 4237983, 6449, 123778, 60166, 8170636
q1, c, -, 64, 6, 43690, 4, 106198, 196832, 1279, 48354, 16428, 164758
q1, r, -, 64, 6, 43690, 4, 921089, 4237981, 6434, 123871, 60166, 8170634
q1, c, -, 64, 6, 43690, 4, 106346, 196832, 1323, 48432, 16443, 164757
q1, r, -, 64, 6, 43690, 4, 923930, 4237981, 6529, 123912, 60158, 8170636
q1, c, -, 64, 6, 43690, 4, 105399, 196833, 1185, 48271, 16368, 164759
q1, r, -, 64, 6, 43690, 4, 920055, 4237981, 6599, 123977, 60134, 8170636
q1, c, -, 64, 6, 43690, 4, 105730, 196833, 1397, 48415, 16477, 164758
q1, r, -, 64, 6, 43690, 4, 920576, 4237982, 6507, 123955, 60171, 8170635
q1, c, -, 64, 6, 43690, 4, 106807, 196834, 1231, 48310, 16369, 164759
q1, r, -, 64, 6, 43690, 4, 920987, 4237982, 6379, 123796, 60163, 8170636
q1, c, -, 64, 6, 43690, 4, 106615, 196834, 1316, 48401, 16450, 164762
q1, r, -, 64, 6, 43690, 4, 921129, 4237980, 6484, 123949, 60172, 8170634
q1, c, -, 64, 6, 43690, 4, 106642, 196833, 1346, 48433, 16481, 164759
q1, r, -, 64, 6, 43690, 4, 920578, 4237984, 6525, 123987, 60158, 8170640
q1, c, -, 64, 6, 43690, 4, 107129, 196832, 1469, 48509, 16511, 164758
q1, r, -, 64, 6, 43690, 4, 921923, 4237984, 6483, 123892, 60160, 8170639
q1, c, -, 64, 6, 43690, 4, 104665, 196832, 1066, 48179, 16287, 164757
q1, r, -, 64, 7, 43690, 4, 1067932, 4893340, 6962, 129512, 62937, 9437736
q1, c, -, 64, 7, 43690, 4, 130128, 229633, 2494, 56787, 19304, 192206
q1, r, -, 64, 7, 43690, 4, 1065214, 4893336, 6915, 129483, 62927, 9437734
q1, c, -, 64, 7, 43690, 4, 123119, 229633, 1263, 56167, 18981, 192204
q1, r, -, 64, 7, 43690, 4, 1066324, 4893335, 6983, 129461, 62936, 9437732
q1, c, -, 64, 7, 43690, 4, 131251, 229634, 2540, 56893, 19368, 192207
q1, r, -, 64, 7, 43690, 4, 1063845, 4893341, 7205, 129750, 62949, 9437739
q1, c, -, 64, 7, 43690, 4, 122223, 229632, 1413, 56389, 19125, 192205
q1, r, -, 64, 7, 43690, 4, 1065693, 4893341, 7146, 129561, 62940, 9437741
q1, c, -, 64, 7, 43690, 4, 124629, 229635, 1540, 56368, 19117, 192206
q1, r, -, 64, 7, 43690, 4, 1065995, 4893342, 7116, 129577, 62937, 9437740
q1, c, -, 64, 7, 43690, 4, 128393, 229632, 2102, 56541, 19213, 192206
q1, r, -, 64, 7, 43690, 4, 1067083, 4893338, 6937, 129390, 62947, 9437738
q1, c, -, 64, 7, 43690, 4, 121925, 229635, 1395, 56330, 19082, 192207
q1, r, -, 64, 7, 43690, 4, 1063664, 4893337, 6884, 129465, 62924, 9437734
q1, c, -, 64, 7, 43690, 4, 120983, 229634, 1195, 56108, 18977, 192206
q1, r, -, 64, 7, 43690, 4, 1065861, 4893337, 7017, 129648, 62950, 9437738
q1, c, -, 64, 7, 43690, 4, 123409, 229634, 1277, 56224, 19032, 192205
q1, r, -, 64, 7, 43690, 4, 1067904, 4893335, 7302, 129684, 62940, 9437732
q1, c, -, 64, 7, 43690, 4, 124179, 229633, 1407, 56327, 19090, 192204
q1, r, -, 64, 8, 43690, 4, 1233987, 5548680, 7984, 135673, 65686, 10704823
q1, c, -, 64, 8, 43690, 4, 138839, 262429, 1648, 64350, 21872, 219649
q1, r, -, 64, 8, 43690, 4, 1232622, 5548680, 7971, 135749, 65684, 10704824
q1, c, -, 64, 8, 43690, 4, 136602, 262429, 1493, 64282, 21778, 219649
q1, r, -, 64, 8, 43690, 4, 1232824, 5548680, 7857, 135716, 65681, 10704828
q1, c, -, 64, 8, 43690, 4, 137718, 262430, 1582, 64359, 21855, 219651
q1, r, -, 64, 8, 43690, 4, 1238449, 5548683, 7824, 135765, 65692, 10704831
q1, c, -, 64, 8, 43690, 4, 141286, 262430, 2124, 64507, 21926, 219649
q1, r, -, 64, 8, 43690, 4, 1235011, 5548682, 7918, 135872, 65693, 10704828
q1, c, -, 64, 8, 43690, 4, 138959, 262430, 1474, 64251, 21734, 219653
q1, r, -, 64, 8, 43690, 4, 1232017, 5548680, 7675, 135448, 65684, 10704825
q1, c, -, 64, 8, 43690, 4, 142722, 262428, 2088, 64575, 21994, 219650
q1, r, -, 64, 8, 43690, 4, 1232328, 5548681, 7718, 135463, 65692, 10704826
q1, c, -, 64, 8, 43690, 4, 138293, 262430, 1518, 64281, 21815, 219650
q1, r, -, 64, 8, 43690, 4, 1231212, 5548682, 7672, 135716, 65688, 10704827
q1, c, -, 64, 8, 43690, 4, 136777, 262430, 1518, 64306, 21786, 219650
q1, r, -, 64, 8, 43690, 4, 1231738, 5548680, 7752, 135862, 65683, 10704825
q1, c, -, 64, 8, 43690, 4, 138790, 262429, 1461, 64249, 21758, 219648
q1, r, -, 64, 8, 43690, 4, 1231197, 5548681, 7857, 135656, 65684, 10704826
q1, c, -, 64, 8, 43690, 4, 156859, 262430, 3847, 65275, 22280, 219653
q1, r, -, 64, 9, 43690, 4, 1376919, 6204072, 8358, 140446, 68305, 11971962
q1, c, -, 64, 9, 43690, 4, 156396, 295229, 1791, 72382, 24593, 247095
q1, r, -, 64, 9, 43690, 4, 1375674, 6204059, 8265, 140585, 68304, 11971948
q1, c, -, 64, 9, 43690, 4, 161899, 295230, 2393, 72567, 24697, 247098
q1, r, -, 64, 9, 43690, 4, 1378156, 6204075, 8321, 140462, 68293, 11971968
q1, c, -, 64, 9, 43690, 4, 154685, 295228, 1695, 72345, 24516, 247096
q1, r, -, 64, 9, 43690, 4, 1375552, 6204071, 8024, 140249, 68299, 11971962
q1, c, -, 64, 9, 43690, 4, 155088, 295228, 1730, 72256, 24456, 247095
q1, r, -, 64, 9, 43690, 4, 1377136, 6204068, 8281, 140659, 68288, 11971959
q1, c, -, 64, 9, 43690, 4, 158983, 295229, 1763, 72288, 24510, 247095
q1, r, -, 64, 9, 43690, 4, 1377280, 6204067, 8306, 140564, 68307, 11971959
q1, c, -, 64, 9, 43690, 4, 157205, 295229, 1786, 72299, 24513, 247095
q1, r, -, 64, 9, 43690, 4, 1374399, 6204067, 8074, 140464, 68276, 11971958
q1, c, -, 64, 9, 43690, 4, 158003, 295228, 1767, 72362, 24563, 247095
q1, r, -, 64, 9, 43690, 4, 1376642, 6204077, 8161, 140250, 68287, 11971969
q1, c, -, 64, 9, 43690, 4, 154788, 295229, 1711, 72307, 24524, 247095
q1, r, -, 64, 9, 43690, 4, 1376609, 6204075, 8167, 140636, 68304, 11971966
q1, c, -, 64, 9, 43690, 4, 156641, 295228, 1885, 72435, 24643, 247097
q1, r, -, 64, 9, 43690, 4, 1376675, 6204067, 8196, 140462, 68303, 11971959
q1, c, -, 64, 9, 43690, 4, 158878, 295230, 1759, 72333, 24536, 247098
q1, r, -, 64, 10, 43690, 4, 1520962, 6859390, 8972, 146528, 71121, 13239025
q1, c, -, 64, 10, 43690, 4, 177186, 328024, 2161, 80557, 27455, 274541
q1, r, -, 64, 10, 43690, 4, 1516830, 6859389, 9164, 146998, 71128, 13239025
q1, c, -, 64, 10, 43690, 4, 185188, 328024, 2361, 80631, 27583, 274541
q1, r, -, 64, 10, 43690, 4, 1518861, 6859390, 9254, 146743, 71121, 13239026
q1, c, -, 64, 10, 43690, 4, 173823, 328025, 1864, 80301, 27182, 274543
q1, r, -, 64, 10, 43690, 4, 1519522, 6859390, 9261, 146847, 71125, 13239026
q1, c, -, 64, 10, 43690, 4, 175969, 328024, 1837, 80328, 27185, 274541
q1, r, -, 64, 10, 43690, 4, 1516885, 6859389, 8978, 146766, 71132, 13239026
q1, c, -, 64, 10, 43690, 4, 180122, 328025, 2023, 80437, 27315, 274545
q1, r, -, 64, 10, 43690, 4, 1523799, 6859389, 9375, 147137, 71133, 13239024
q1, c, -, 64, 10, 43690, 4, 173863, 328024, 1772, 80309, 27171, 274541
q1, r, -, 64, 10, 43690, 4, 1519106, 6859384, 9281, 146867, 71146, 13239018
q1, c, -, 64, 10, 43690, 4, 178757, 328024, 2048, 80455, 27326, 274542
q1, r, -, 64, 10, 43690, 4, 1518738, 6859385, 9135, 146831, 71114, 13239021
q1, c, -, 64, 10, 43690, 4, 177724, 328024, 2184, 80558, 27442, 274543
q1, r, -, 64, 10, 43690, 4, 1517609, 6859389, 9074, 146944, 71115, 13239022
q1, c, -, 64, 10, 43690, 4, 176098, 328025, 1911, 80319, 27240, 274543
q1, r, -, 64, 10, 43690, 4, 1518621, 6859391, 9052, 146904, 71148, 13239028
