bench, mem, temp, enabled_col_num, row_size, row_count, col_width, cycles, l1_references, l1_refills, l2_references, l2_refills, inst_retired
q3, r, c, 2, 16, 43690, 4, 203152, 840135, 501, 11746, 5841, 1519388
q3, r, h, 2, 16, 43690, 4, 172368, 840137, 519, 11692, 919, 1519389
q3, d, -, 2, 16, 43690, 4, 181368, 840118, 1132, 22861, 11317, 1519364
q3, c, -, 2, 16, 43690, 4, 185975, 840119, 1101, 12027, 5603, 1519352
q3, r, c, 2, 16, 43690, 4, 203283, 840136, 509, 11809, 5775, 1519378
q3, r, h, 2, 16, 43690, 4, 170832, 840137, 486, 11605, 1385, 1519377
q3, d, -, 2, 16, 43690, 4, 173915, 840118, 630, 22776, 11317, 1519352
q3, c, -, 2, 16, 43690, 4, 185749, 840119, 1040, 11940, 5705, 1519353
q3, r, c, 2, 16, 43690, 4, 203432, 840136, 510, 11811, 5818, 1519379
q3, r, h, 2, 16, 43690, 4, 170625, 840138, 501, 11713, 1183, 1519378
q3, d, -, 2, 16, 43690, 4, 173814, 840117, 647, 22823, 11315, 1519351
q3, c, -, 2, 16, 43690, 4, 184656, 840119, 1034, 11954, 5670, 1519351
q3, r, c, 2, 16, 43690, 4, 203359, 840136, 542, 11797, 5729, 1519378
q3, r, h, 2, 16, 43690, 4, 170818, 840138, 501, 11649, 1433, 1519378
q3, d, -, 2, 16, 43690, 4, 172942, 840118, 641, 22798, 11297, 1519350
q3, c, -, 2, 16, 43690, 4, 184789, 840118, 1032, 11910, 5656, 1519351
q3, r, c, 2, 16, 43690, 4, 203372, 840135, 494, 11793, 5806, 1519376
q3, r, h, 2, 16, 43690, 4, 172035, 840139, 526, 11708, 1188, 1519380
q3, d, -, 2, 16, 43690, 4, 172602, 840117, 623, 22765, 11301, 1519350
q3, c, -, 2, 16, 43690, 4, 186686, 840119, 1137, 12014, 5657, 1519353
q3, r, c, 2, 16, 43690, 4, 203380, 840136, 491, 11760, 5731, 1519376
q3, r, h, 2, 16, 43690, 4, 174344, 840136, 1172, 11856, 1211, 1519378
q3, d, -, 2, 16, 43690, 4, 172932, 840117, 604, 22733, 11290, 1519350
q3, c, -, 2, 16, 43690, 4, 185787, 840118, 1033, 11967, 5703, 1519352
