bench, mem, temp, row_size, row_count, col_width, cycles, l1_references, l1_refills, l2_references, l2_refills, inst_retired
q1, r, c, 16, 43690, 4, 213324, 1179676, 97, 10960, 5472, 2140897
q1, r, h, 16, 43690, 4, 227147, 1179677, 202, 10999, 1215, 2140899
q1, d, -, 16, 43690, 4, 322989, 1354437, 204, 21928, 10941, 3014698
q1, r, c, 16, 43690, 4, 213338, 1179677, 98, 10965, 5476, 2140898
q1, r, h, 16, 43690, 4, 212919, 1179677, 101, 10820, 1290, 2140901
q1, d, -, 16, 43690, 4, 323725, 1354437, 210, 21938, 10952, 3014699
q1, r, c, 16, 43690, 4, 217209, 1179677, 167, 10980, 5475, 2140899
q1, r, h, 16, 43690, 4, 211914, 1179677, 148, 10699, 1197, 2140898
q1, d, -, 16, 43690, 4, 323691, 1354437, 212, 21946, 10950, 3014700
q1, r, c, 16, 43690, 4, 215366, 1179678, 173, 10968, 5469, 2140901
q1, r, h, 16, 43690, 4, 211874, 1179677, 108, 10821, 1300, 2140898
q1, d, -, 16, 43690, 4, 323683, 1354437, 217, 21944, 10956, 3014700
q1, r, c, 16, 43690, 4, 213326, 1179677, 95, 10959, 5474, 2140898
q1, r, h, 16, 43690, 4, 212897, 1179677, 99, 10806, 1238, 2140899
q1, d, -, 16, 43690, 4, 323689, 1354437, 210, 21941, 10950, 3014700
q1, r, c, 16, 43690, 4, 214382, 1179677, 102, 10965, 5476, 2140900
q1, r, h, 16, 43690, 4, 212024, 1179677, 122, 10795, 1276, 2140897
q1, d, -, 16, 43690, 4, 327507, 1354438, 307, 21971, 10953, 3014700
q1, r, c, 16, 43690, 4, 214164, 1179677, 108, 10971, 5471, 2140899
q1, r, h, 16, 43690, 4, 211936, 1179677, 89, 10807, 1044, 2140898
q1, d, -, 16, 43690, 4, 323678, 1354437, 212, 21944, 10938, 3014699
q1, r, c, 16, 43690, 4, 213341, 1179678, 96, 10955, 5479, 2140898
q1, r, h, 16, 43690, 4, 213966, 1179678, 180, 10866, 1209, 2140900
q1, d, -, 16, 43690, 4, 323863, 1354437, 224, 21938, 10942, 3014699
q1, r, c, 16, 43690, 4, 214268, 1179677, 105, 10976, 5475, 2140899
q1, r, h, 16, 43690, 4, 214568, 1179676, 609, 10917, 1310, 2140897
q1, d, -, 16, 43690, 4, 323666, 1354438, 219, 21962, 10943, 3014700
q1, r, c, 16, 43690, 4, 213320, 1179677, 95, 10956, 5473, 2140898
q1, r, h, 16, 43690, 4, 215653, 1179677, 626, 10970, 1225, 2140899
q1, d, -, 16, 43690, 4, 323660, 1354437, 207, 21937, 10941, 3014700
q1, r, c, 32, 43690, 4, 214270, 1179677, 111, 10974, 5475, 2140901
q1, r, h, 32, 43690, 4, 212028, 1179676, 133, 10781, 1209, 2140897
q1, d, -, 32, 43690, 4, 325976, 1354438, 412, 43845, 21877, 3014700
q1, r, c, 32, 43690, 4, 213318, 1179677, 93, 10954, 5475, 2140898
q1, r, h, 32, 43690, 4, 213328, 1179677, 126, 10804, 1146, 2140899
q1, d, -, 32, 43690, 4, 328550, 1354437, 623, 43895, 21909, 3014699
q1, r, c, 32, 43690, 4, 214217, 1179677, 112, 10988, 5476, 2140901
q1, r, h, 32, 43690, 4, 213691, 1179677, 638, 10918, 897, 2140898
q1, d, -, 32, 43690, 4, 326108, 1354438, 415, 43856, 21896, 3014701
q1, r, c, 32, 43690, 4, 213323, 1179677, 98, 10959, 5474, 2140898
q1, r, h, 32, 43690, 4, 214427, 1179676, 517, 10994, 1228, 2140900
q1, d, -, 32, 43690, 4, 326215, 1354438, 415, 43866, 21884, 3014700
q1, r, c, 32, 43690, 4, 224952, 1179678, 623, 11065, 5479, 2140901
q1, r, h, 32, 43690, 4, 212620, 1179677, 180, 10692, 847, 2140899
q1, d, -, 32, 43690, 4, 325227, 1354437, 410, 43848, 21898, 3014698
q1, r, c, 32, 43690, 4, 214223, 1179678, 102, 10962, 5476, 2140900
q1, r, h, 32, 43690, 4, 211950, 1179677, 94, 10621, 1166, 2140898
q1, d, -, 32, 43690, 4, 326081, 1354437, 417, 43861, 21884, 3014700
q1, r, c, 32, 43690, 4, 213344, 1179678, 97, 10965, 5477, 2140898
q1, r, h, 32, 43690, 4, 214377, 1179677, 536, 10983, 1151, 2140899
q1, d, -, 32, 43690, 4, 326303, 1354438, 424, 43871, 21899, 3014700
q1, r, c, 32, 43690, 4, 213315, 1179677, 93, 10953, 5474, 2140898
q1, r, h, 32, 43690, 4, 213322, 1179678, 330, 10918, 1024, 2140900
q1, d, -, 32, 43690, 4, 327669, 1354437, 543, 43898, 21894, 3014699
q1, r, c, 32, 43690, 4, 214204, 1179677, 117, 10989, 5475, 2140899
q1, r, h, 32, 43690, 4, 212632, 1179677, 169, 10726, 1075, 2140899
q1, d, -, 32, 43690, 4, 325279, 1354437, 412, 43850, 21889, 3014698
q1, r, c, 32, 43690, 4, 214210, 1179677, 102, 10963, 5475, 2140899
