bench, mem, temp, row_size, row_count, col_width, cycles, l1_references, l1_refills, l2_references, l2_refills, inst_retired
q4, r, c, 16, 43690, 4, 48808554, 183528837, 100189, 4105698, 11450, 402315196
q4, r, h, 16, 43690, 4, 48796706, 183543947, 84692, 4099966, 38, 402353136
q4, d, -, 16, 43690, 4, 63721331, 246792525, 111651, 5509667, 20326, 538467958
q4, c, -, 16, 43690, 4, 70439186, 246782715, 157719, 2849841, 10261, 557669488
q4, r, c, 16, 43690, 4, 58554167, 216370710, 92166, 4109517, 10980, 477612525
q4, r, h, 16, 43690, 4, 58536702, 216370714, 82087, 4098598, 48, 477612521
q4, d, -, 16, 43690, 4, 63724598, 246792534, 100029, 5504423, 19361, 538467984
q4, c, -, 16, 43690, 4, 70440433, 246785939, 157363, 2849478, 10154, 557679258
q4, r, c, 16, 43690, 4, 58559421, 216370720, 102786, 4112819, 10800, 477612523
q4, r, h, 16, 43690, 4, 58548498, 216370691, 93443, 4103785, 87, 477612500
q4, d, -, 16, 43690, 4, 63723672, 246792537, 99855, 5505007, 18210, 538467984
q4, c, -, 16, 43690, 4, 70429705, 246789633, 158040, 2850066, 10343, 557686185
q4, r, c, 16, 43690, 4, 58560484, 216370711, 91199, 4106976, 11165, 477612524
q4, r, h, 16, 43690, 4, 58541696, 216370698, 87501, 4101790, 28, 477612520
q4, d, -, 16, 43690, 4, 63730562, 246792523, 114576, 5507010, 19790, 538467961
q4, c, -, 16, 43690, 4, 70438377, 246797619, 159086, 2851527, 10196, 557704878
q4, r, c, 16, 43690, 4, 58565016, 216370690, 96519, 4104525, 11059, 477612479
q4, r, h, 16, 43690, 4, 58530187, 216370689, 80201, 4101439, 18, 477612500
q4, d, -, 16, 43690, 4, 63713628, 246792514, 105030, 5508470, 19695, 538467956
q4, c, -, 16, 43690, 4, 70444229, 246792692, 157210, 2849351, 10381, 557693785
q4, r, c, 16, 43690, 4, 58561449, 216418791, 90595, 4101440, 10937, 477701374
q4, r, h, 16, 43690, 4, 58548484, 216418799, 86756, 4103780, 20, 477701384
q4, d, -, 16, 43690, 4, 63739771, 246792522, 121879, 5513343, 20320, 538467973
q4, c, -, 16, 43690, 4, 70433163, 246792700, 158165, 2851621, 10130, 557693785
q4, r, c, 16, 43690, 4, 58561464, 216443010, 85671, 4105031, 11021, 477753847
q4, r, h, 16, 43690, 4, 58557890, 216443015, 82358, 4096011, 24, 477753840
q4, d, -, 16, 43690, 4, 63713802, 246792544, 105127, 5507536, 18592, 538467981
q4, c, -, 16, 43690, 4, 70435410, 246792695, 158919, 2851776, 10287, 557693801
q4, r, c, 16, 43690, 4, 58565720, 216370697, 98091, 4107472, 11326, 477612506
q4, r, h, 16, 43690, 4, 58539608, 216370690, 90972, 4102466, 23, 477612499
q4, d, -, 16, 43690, 4, 63702225, 246792514, 96280, 5501386, 19555, 538467959
q4, c, -, 16, 43690, 4, 70442092, 246792703, 158445, 2851030, 10324, 557693784
q4, r, c, 16, 43690, 4, 58564812, 216430136, 94794, 4108831, 10451, 477731603
q4, r, h, 16, 43690, 4, 58544749, 216430109, 79215, 4100626, 19, 477731582
q4, d, -, 16, 43690, 4, 63731002, 246792545, 113527, 5508031, 19024, 538467984
q4, c, -, 16, 43690, 4, 70438967, 246792694, 157740, 2849946, 10224, 557693785
q4, r, c, 16, 43690, 4, 58564061, 216443014, 87053, 4103899, 11077, 477753844
q4, r, h, 16, 43690, 4, 58549095, 216443010, 80846, 4097631, 18, 477753839
q4, d, -, 16, 43690, 4, 63726770, 246792519, 120590, 5510488, 20246, 538467951
q4, c, -, 16, 43690, 4, 70433934, 246792701, 156957, 2849515, 10207, 557693788
q4, r, c, 32, 43690, 4, 58553734, 216370701, 94288, 4106225, 10706, 477612496
q4, r, h, 32, 43690, 4, 58542630, 216370709, 85500, 4101442, 19, 477612510
q4, d, -, 32, 43690, 4, 64722325, 246792532, 121346, 11070067, 2714781, 538467997
q4, c, -, 32, 43690, 4, 70467693, 246792699, 159592, 2853285, 13187, 557693765
q4, r, c, 32, 43690, 4, 58567743, 216443013, 93184, 4102502, 10590, 477753842
q4, r, h, 32, 43690, 4, 58556020, 216443000, 89799, 4104493, 12, 477753820
q4, d, -, 32, 43690, 4, 64733177, 246792516, 123654, 11070091, 2719555, 538467956
q4, c, -, 32, 43690, 4, 70470550, 246792695, 158691, 2851891, 13151, 557693780
