bench, mem, temp, row_size, row_count, col_width, cycles, l1_references, l1_refills, l2_references, l2_refills, inst_retired
q4, r, c, 16, 43690, 4, 58658438, 216371046, 92965, 4104303, 11981, 477613249
q4, r, h, 16, 43690, 4, 58552552, 216370710, 89820, 4102919, 37, 477612520
q4, d, -, 16, 43690, 4, 63717757, 246792513, 101270, 5505505, 20384, 538467966
q4, c, -, 16, 43690, 4, 70442968, 246800036, 162350, 2855474, 10226, 557711262
q4, r, c, 16, 43690, 4, 58647397, 216370713, 86812, 4104402, 10560, 477612526
q4, r, h, 16, 43690, 4, 58532510, 216370707, 82433, 4102088, 40, 477612512
q4, d, -, 16, 43690, 4, 63725814, 246792521, 110589, 5509331, 20713, 538467973
q4, c, -, 16, 43690, 4, 70483867, 246808424, 163333, 2857591, 10130, 557732573
q4, r, c, 16, 43690, 4, 58675353, 216370706, 93059, 4109757, 10694, 477612530
q4, r, h, 16, 43690, 4, 58565213, 216370699, 94264, 4108925, 35, 477612544
q4, d, -, 16, 43690, 4, 63754035, 246792527, 110979, 5517910, 19566, 538467985
q4, c, -, 16, 43690, 4, 70460136, 246791439, 162622, 2856222, 10204, 557689587
q4, r, c, 16, 43690, 4, 58673670, 216370703, 87795, 4109390, 10668, 477612539
q4, r, h, 16, 43690, 4, 58563801, 216370695, 84370, 4103697, 17, 477612524
q4, d, -, 16, 43690, 4, 63726964, 246792532, 92667, 5501651, 19830, 538468001
q4, c, -, 16, 43690, 4, 70466887, 246792713, 163253, 2858078, 10262, 557693826
q4, r, c, 16, 43690, 4, 58676739, 216370714, 90772, 4108549, 10677, 477612546
q4, r, h, 16, 43690, 4, 58558950, 216370699, 89808, 4107050, 18, 477612516
q4, d, -, 16, 43690, 4, 63755634, 246792527, 109022, 5513414, 19733, 538467980
q4, c, -, 16, 43690, 4, 70478686, 246792705, 163399, 2856247, 10122, 557693805
q4, r, c, 16, 43690, 4, 58678631, 216370712, 86878, 4108880, 11133, 477612541
q4, r, h, 16, 43690, 4, 58557921, 216370705, 84157, 4105574, 21, 477612526
q4, d, -, 16, 43690, 4, 63755048, 246792527, 112244, 5517227, 19923, 538467992
q4, c, -, 16, 43690, 4, 70468021, 246793509, 162447, 2855478, 10291, 557697662
q4, r, c, 16, 43690, 4, 58675346, 216370707, 88016, 4109858, 10901, 477612539
q4, r, h, 16, 43690, 4, 58568979, 216370708, 84771, 4104775, 31, 477612533
q4, d, -, 16, 43690, 4, 63729584, 246792536, 95440, 5501380, 19708, 538468006
q4, c, -, 16, 43690, 4, 70470852, 246799681, 163193, 2857883, 10224, 557710625
q4, r, c, 16, 43690, 4, 58683476, 216370713, 89395, 4109960, 11069, 477612542
q4, r, h, 16, 43690, 4, 58562246, 216370695, 87489, 4104663, 119, 477612529
q4, d, -, 16, 43690, 4, 63746848, 246792543, 100330, 5510828, 18255, 538468012
q4, c, -, 16, 43690, 4, 70476376, 246792711, 163249, 2858628, 10178, 557693817
q4, r, c, 16, 43690, 4, 58676124, 216370708, 87054, 4110435, 10923, 477612532
q4, r, h, 16, 43690, 4, 58560640, 216370708, 86594, 4102763, 18, 477612528
q4, d, -, 16, 43690, 4, 63737009, 246792531, 102123, 5510328, 19607, 538467998
q4, c, -, 16, 43690, 4, 70466679, 246792706, 163585, 2857991, 10106, 557693818
q4, r, c, 16, 43690, 4, 58678279, 216370715, 87687, 4106591, 10747, 477612542
q4, r, h, 16, 43690, 4, 58568757, 216370708, 95822, 4111514, 24, 477612549
q4, d, -, 16, 43690, 4, 63759795, 246792525, 104711, 5506822, 19417, 538467990
q4, c, -, 16, 43690, 4, 70470774, 246792701, 163102, 2855749, 10114, 557693811
q4, r, c, 32, 43690, 4, 58690015, 216370712, 96086, 4113530, 10827, 477612540
q4, r, h, 32, 43690, 4, 58570165, 216370704, 96049, 4111252, 12, 477612525
q4, d, -, 32, 43690, 4, 64803511, 246792533, 121198, 11074351, 2713495, 538467987
q4, c, -, 32, 43690, 4, 70513476, 246792706, 164461, 2858843, 13157, 557693816
q4, r, c, 32, 43690, 4, 58658504, 216370728, 78971, 4105297, 10529, 477612555
q4, r, h, 32, 43690, 4, 58563258, 216370697, 88003, 4112216, 24, 477612539
q4, d, -, 32, 43690, 4, 64821136, 246792530, 119576, 11074530, 2725504, 538468006
q4, c, -, 32, 43690, 4, 70502667, 246792706, 164401, 2858535, 13529, 557693822
