bench, mem, temp, row_size, row_count, col_width, cycles, l1_references, l1_refills, l2_references, l2_refills, inst_retired
q1, r, c, 16, 43690, 4, 213403, 1179677, 104, 10983, 5475, 2140898
q1, r, h, 16, 43690, 4, 217025, 1179676, 629, 11011, 1196, 2140898
q1, d, -, 16, 43690, 4, 322894, 1354437, 203, 21928, 10941, 3014698
q1, r, c, 16, 43690, 4, 213430, 1179677, 113, 10999, 5477, 2140898
q1, r, h, 16, 43690, 4, 212772, 1179677, 103, 10843, 1069, 2140899
q1, d, -, 16, 43690, 4, 323647, 1354438, 203, 21928, 10941, 3014701
q1, r, c, 16, 43690, 4, 214371, 1179677, 114, 10990, 5475, 2140901
q1, r, h, 16, 43690, 4, 213381, 1179677, 226, 10846, 1282, 2140898
q1, d, -, 16, 43690, 4, 323715, 1354437, 212, 21937, 10953, 3014699
q1, r, c, 16, 43690, 4, 214355, 1179677, 115, 11006, 5477, 2140900
q1, r, h, 16, 43690, 4, 213223, 1179678, 280, 10906, 1022, 2140898
q1, d, -, 16, 43690, 4, 323836, 1354437, 220, 21958, 10951, 3014699
q1, r, c, 16, 43690, 4, 213380, 1179677, 94, 10957, 5475, 2140898
q1, r, h, 16, 43690, 4, 213959, 1179677, 166, 10857, 1330, 2140899
q1, d, -, 16, 43690, 4, 323920, 1354438, 214, 21951, 10945, 3014700
q1, r, c, 16, 43690, 4, 213412, 1179677, 94, 10949, 5476, 2140898
q1, r, h, 16, 43690, 4, 213717, 1179677, 173, 10851, 1060, 2140899
q1, d, -, 16, 43690, 4, 323721, 1354437, 218, 21948, 10944, 3014700
q1, r, c, 16, 43690, 4, 216575, 1179678, 118, 11007, 5474, 2140900
q1, r, h, 16, 43690, 4, 212477, 1179677, 159, 10861, 1256, 2140898
q1, d, -, 16, 43690, 4, 323783, 1354438, 200, 21924, 10945, 3014700
q1, r, c, 16, 43690, 4, 213397, 1179678, 92, 10955, 5472, 2140898
q1, r, h, 16, 43690, 4, 215592, 1179677, 603, 10909, 1191, 2140899
q1, d, -, 16, 43690, 4, 323681, 1354436, 220, 21958, 10944, 3014698
q1, r, c, 16, 43690, 4, 214283, 1179678, 106, 10973, 5478, 2140901
q1, r, h, 16, 43690, 4, 211896, 1179677, 118, 10947, 1122, 2140898
q1, d, -, 16, 43690, 4, 323755, 1354438, 213, 21953, 10944, 3014701
q1, r, c, 16, 43690, 4, 213379, 1179677, 99, 10967, 5475, 2140898
q1, r, h, 16, 43690, 4, 213721, 1179678, 173, 10869, 1179, 2140900
q1, d, -, 16, 43690, 4, 323778, 1354437, 213, 21947, 10955, 3014699
q1, r, c, 32, 43690, 4, 214404, 1179677, 112, 10991, 5473, 2140901
q1, r, h, 32, 43690, 4, 212225, 1179677, 144, 10805, 1123, 2140898
q1, d, -, 32, 43690, 4, 326113, 1354437, 416, 43859, 21891, 3014700
q1, r, c, 32, 43690, 4, 213379, 1179678, 96, 10962, 5474, 2140898
q1, r, h, 32, 43690, 4, 213572, 1179677, 157, 10862, 1212, 2140900
q1, d, -, 32, 43690, 4, 325265, 1354437, 412, 43847, 21887, 3014698
q1, r, c, 32, 43690, 4, 214251, 1179678, 102, 10966, 5475, 2140901
q1, r, h, 32, 43690, 4, 212036, 1179677, 133, 10959, 1192, 2140898
q1, d, -, 32, 43690, 4, 326089, 1354437, 419, 43863, 21895, 3014699
q1, r, c, 32, 43690, 4, 213377, 1179677, 94, 10953, 5475, 2140898
q1, r, h, 32, 43690, 4, 212926, 1179677, 115, 10824, 1226, 2140899
q1, d, -, 32, 43690, 4, 326369, 1354437, 418, 43862, 21891, 3014700
q1, r, c, 32, 43690, 4, 213386, 1179677, 96, 10959, 5473, 2140898
q1, r, h, 32, 43690, 4, 216641, 1179678, 609, 11005, 920, 2140900
q1, d, -, 32, 43690, 4, 325334, 1354437, 409, 43843, 21895, 3014698
q1, r, c, 32, 43690, 4, 214664, 1179678, 126, 10983, 5475, 2140901
q1, r, h, 32, 43690, 4, 211922, 1179678, 141, 10662, 883, 2140898
q1, d, -, 32, 43690, 4, 326179, 1354437, 420, 43863, 21889, 3014699
q1, r, c, 32, 43690, 4, 213393, 1179677, 96, 10956, 5476, 2140898
q1, r, h, 32, 43690, 4, 214121, 1179678, 206, 10871, 1102, 2140900
q1, d, -, 32, 43690, 4, 334221, 1354437, 1167, 43963, 21894, 3014701
q1, r, c, 32, 43690, 4, 213415, 1179677, 105, 10979, 5478, 2140898
q1, r, h, 32, 43690, 4, 214505, 1179678, 327, 10990, 1193, 2140901
q1, d, -, 32, 43690, 4, 326205, 1354437, 407, 43837, 21885, 3014699
q1, r, c, 32, 43690, 4, 213411, 1179677, 105, 10979, 5477, 2140898
q1, r, h, 32, 43690, 4, 213538, 1179677, 165, 10849, 1239, 2140901
q1, d, -, 32, 43690, 4, 325328, 1354437, 410, 43844, 21884, 3014698
q1, r, c, 32, 43690, 4, 214313, 1179678, 105, 10982, 5478, 2140900
q1, r, h, 32, 43690, 4, 211942, 1179677, 95, 10764, 1025, 2140898
q1, d, -, 32, 43690, 4, 326061, 1354436, 424, 43870, 21886, 3014699
q1, r, c, 64, 43690, 4, 214366, 1179677, 102, 10970, 5476, 2140900
q1, r, h, 64, 43690, 4, 212294, 1179677, 118, 10647, 1118, 2140898
q1, d, -, 64, 43690, 4, 331989, 1354437, 820, 87673, 43776, 3014699
q1, r, c, 64, 43690, 4, 213390, 1179677, 97, 10956, 5475, 2140898
q1, r, h, 64, 43690, 4, 212802, 1179678, 109, 10956, 1124, 2140900
q1, d, -, 64, 43690, 4, 379415, 1354437, 5139, 87709, 43750, 3014699
q1, r, c, 64, 43690, 4, 213392, 1179677, 103, 10968, 5475, 2140898
q1, r, h, 64, 43690, 4, 214481, 1179677, 168, 10962, 764, 2140899
q1, d, -, 64, 43690, 4, 330270, 1354437, 798, 87629, 43758, 3014698
q1, r, c, 64, 43690, 4, 214254, 1179678, 105, 10977, 5477, 2140901
q1, r, h, 64, 43690, 4, 212574, 1179678, 108, 10801, 1203, 2140901
q1, d, -, 64, 43690, 4, 330274, 1354436, 803, 87643, 43771, 3014697
q1, r, c, 64, 43690, 4, 215972, 1179677, 112, 10983, 5475, 2140899
q1, r, h, 64, 43690, 4, 212158, 1179677, 274, 10966, 1033, 2140898
q1, d, -, 64, 43690, 4, 331169, 1354437, 817, 87672, 43772, 3014700
q1, r, c, 64, 43690, 4, 214264, 1179677, 108, 10968, 5476, 2140899
q1, r, h, 64, 43690, 4, 211875, 1179678, 105, 10808, 943, 2140898
q1, d, -, 64, 43690, 4, 331088, 1354436, 829, 87692, 43787, 3014699
q1, r, c, 64, 43690, 4, 214277, 1179678, 108, 10975, 5478, 2140901
q1, r, h, 64, 43690, 4, 212847, 1179678, 163, 10784, 995, 2140900
q1, d, -, 64, 43690, 4, 330347, 1354438, 811, 87655, 43790, 3014698
q1, r, c, 64, 43690, 4, 213387, 1179678, 98, 10967, 5474, 2140898
q1, r, h, 64, 43690, 4, 213080, 1179677, 139, 10967, 1164, 2140899
q1, d, -, 64, 43690, 4, 332371, 1354437, 795, 87620, 43766, 3014699
q1, r, c, 64, 43690, 4, 213392, 1179677, 96, 10962, 5475, 2140898
q1, r, h, 64, 43690, 4, 216051, 1179678, 271, 10979, 1112, 2140900
q1, d, -, 64, 43690, 4, 330283, 1354437, 816, 87664, 43778, 3014698
q1, r, c, 64, 43690, 4, 213380, 1179677, 94, 10957, 5475, 2140898
q1, r, h, 64, 43690, 4, 213244, 1179678, 125, 10963, 1045, 2140901
q1, d, -, 64, 43690, 4, 332418, 1354436, 824, 87687, 43786, 3014700
q1, r, c, 128, 43690, 4, 213389, 1179677, 101, 10972, 5473, 2140898
q1, r, h, 128, 43690, 4, 213043, 1179677, 143, 10820, 965, 2140900
q1, d, -, 128, 43690, 4, 357345, 1354437, 1562, 87800, 43798, 3014699
q1, r, c, 128, 43690, 4, 214261, 1179676, 105, 10983, 5474, 2140898
q1, r, h, 128, 43690, 4, 211914, 1179677, 92, 10941, 929, 2140898
q1, d, -, 128, 43690, 4, 389501, 1354438, 5084, 87989, 43788, 3014701
q1, r, c, 128, 43690, 4, 213390, 1179676, 105, 10976, 5473, 2140897
q1, r, h, 128, 43690, 4, 216444, 1179677, 519, 10994, 949, 2140899
q1, d, -, 128, 43690, 4, 352232, 1354437, 1550, 87766, 43761, 3014698
q1, r, c, 128, 43690, 4, 213397, 1179677, 97, 10969, 5475, 2140898
q1, r, h, 128, 43690, 4, 214010, 1179677, 236, 10971, 978, 2140900
q1, d, -, 128, 43690, 4, 353374, 1354436, 1542, 87746, 43780, 3014698
q1, r, c, 128, 43690, 4, 221352, 1179677, 511, 11041, 5478, 2140900
q1, r, h, 128, 43690, 4, 212032, 1179677, 100, 10643, 864, 2140898
q1, d, -, 128, 43690, 4, 352983, 1354437, 1565, 87795, 43813, 3014699
q1, r, c, 128, 43690, 4, 213387, 1179676, 106, 10981, 5474, 2140897
q1, r, h, 128, 43690, 4, 214453, 1179677, 125, 10974, 937, 2140899
q1, d, -, 128, 43690, 4, 352314, 1354436, 1523, 87715, 43755, 3014697
q1, r, c, 128, 43690, 4, 214351, 1179677, 109, 10975, 5475, 2140901
q1, r, h, 128, 43690, 4, 211799, 1179677, 122, 10807, 1112, 2140898
q1, d, -, 128, 43690, 4, 353678, 1354438, 1554, 87777, 43777, 3014700
q1, r, c, 128, 43690, 4, 213378, 1179676, 98, 10965, 5475, 2140897
q1, r, h, 128, 43690, 4, 212913, 1179677, 114, 10825, 1089, 2140899
