bench, mem, temp, row_size, row_count, col_width, offset, cycles
sum, r, c, 64, 262144, 4, 0, 602486
sum, d, c, 64, 262144, 4, 0, 676582
sum, r, h, 64, 262144, 4, 0, 459566
sum, d, h, 64, 262144, 4, 0, 659697
sum, r, c, 64, 262144, 4, 0, 602391
sum, d, c, 64, 262144, 4, 0, 683346
sum, r, h, 64, 262144, 4, 0, 446879
sum, d, h, 64, 262144, 4, 0, 658855
sum, r, c, 64, 262144, 4, 0, 602468
sum, d, c, 64, 262144, 4, 0, 678591
sum, r, h, 64, 262144, 4, 0, 444774
sum, d, h, 64, 262144, 4, 0, 659178
sum, r, c, 64, 262144, 4, 0, 602372
sum, d, c, 64, 262144, 4, 0, 655427
sum, r, h, 64, 262144, 4, 0, 445126
sum, d, h, 64, 262144, 4, 0, 684875
sum, r, c, 64, 262144, 4, 0, 602419
sum, d, c, 64, 262144, 4, 0, 678139
sum, r, h, 64, 262144, 4, 0, 446046
sum, d, h, 64, 262144, 4, 0, 660932
sum, r, c, 64, 262144, 4, 0, 602484
sum, d, c, 64, 262144, 4, 0, 659611
sum, r, h, 64, 262144, 4, 0, 445560
sum, d, h, 64, 262144, 4, 0, 656045
sum, r, c, 64, 262144, 4, 0, 602550
sum, d, c, 64, 262144, 4, 0, 656036
sum, r, h, 64, 262144, 4, 0, 445732
sum, d, h, 64, 262144, 4, 0, 655378
sum, r, c, 64, 262144, 4, 0, 602459
sum, d, c, 64, 262144, 4, 0, 655082
sum, r, h, 64, 262144, 4, 0, 445512
sum, d, h, 64, 262144, 4, 0, 656270
sum, r, c, 64, 262144, 4, 0, 602461
sum, d, c, 64, 262144, 4, 0, 659848
sum, r, h, 64, 262144, 4, 0, 446989
sum, d, h, 64, 262144, 4, 0, 657241
sum, r, c, 64, 262144, 4, 0, 602353
sum, d, c, 64, 262144, 4, 0, 657147
sum, r, h, 64, 262144, 4, 0, 445975
sum, d, h, 64, 262144, 4, 0, 670720
sum, r, c, 64, 262144, 4, 0, 602480
sum, d, c, 64, 262144, 4, 0, 654705
sum, r, h, 64, 262144, 4, 0, 445361
sum, d, h, 64, 262144, 4, 0, 656770
sum, r, c, 64, 262144, 4, 0, 602373
sum, d, c, 64, 262144, 4, 0, 655000
sum, r, h, 64, 262144, 4, 0, 446917
sum, d, h, 64, 262144, 4, 0, 659855
sum, r, c, 64, 262144, 4, 0, 602341
sum, d, c, 64, 262144, 4, 0, 655720
sum, r, h, 64, 262144, 4, 0, 470800
sum, d, h, 64, 262144, 4, 0, 671286
sum, r, c, 64, 262144, 4, 0, 602487
sum, d, c, 64, 262144, 4, 0, 654921
