bench, mem, row_size, row_count, col_count, cycles
projectivity, r, 64, 32768, 1, 106796
projectivity, d, 64, 32768, 1, 152882
projectivity, c, 64, 32768, 1, 57947
projectivity, r, 64, 32768, 1, 104662
projectivity, d, 64, 32768, 1, 155854
projectivity, c, 64, 32768, 1, 57876
projectivity, r, 64, 32768, 1, 104659
projectivity, d, 64, 32768, 1, 153144
projectivity, c, 64, 32768, 1, 58211
projectivity, r, 64, 32768, 1, 107477
projectivity, d, 64, 32768, 1, 153276
projectivity, c, 64, 32768, 1, 57785
projectivity, r, 64, 32768, 1, 104656
projectivity, d, 64, 32768, 1, 167081
projectivity, c, 64, 32768, 1, 57763
projectivity, r, 64, 32768, 1, 104665
projectivity, d, 64, 32768, 1, 153139
projectivity, c, 64, 32768, 1, 60270
projectivity, r, 64, 32768, 1, 104667
projectivity, d, 64, 32768, 1, 155220
projectivity, c, 64, 32768, 1, 57832
projectivity, r, 64, 32768, 1, 104660
projectivity, d, 64, 32768, 1, 153428
projectivity, c, 64, 32768, 1, 60570
projectivity, r, 64, 32768, 1, 106487
projectivity, d, 64, 32768, 1, 153259
projectivity, c, 64, 32768, 1, 60131
projectivity, r, 64, 32768, 1, 104657
projectivity, d, 64, 32768, 1, 155788
projectivity, c, 64, 32768, 1, 57811
projectivity, r, 64, 32768, 1, 104662
projectivity, d, 64, 32768, 1, 152980
projectivity, c, 64, 32768, 1, 61951
projectivity, r, 64, 32768, 1, 108969
projectivity, d, 64, 32768, 1, 153521
projectivity, c, 64, 32768, 1, 57748
projectivity, r, 64, 32768, 1, 104662
projectivity, d, 64, 32768, 1, 157653
projectivity, c, 64, 32768, 1, 61030
projectivity, r, 64, 32768, 1, 104669
projectivity, d, 64, 32768, 1, 153148
projectivity, c, 64, 32768, 1, 57731
projectivity, r, 64, 32768, 1, 107566
projectivity, d, 64, 32768, 1, 153472
projectivity, c, 64, 32768, 1, 58256
projectivity, r, 64, 32768, 1, 104674
projectivity, d, 64, 32768, 1, 170906
projectivity, c, 64, 32768, 1, 57868
projectivity, r, 64, 32768, 1, 104657
projectivity, d, 64, 32768, 1, 153257
projectivity, c, 64, 32768, 1, 60254
projectivity, r, 64, 32768, 1, 104680
projectivity, d, 64, 32768, 1, 153430
projectivity, c, 64, 32768, 1, 60038
projectivity, r, 64, 32768, 1, 104657
projectivity, d, 64, 32768, 1, 163488
projectivity, c, 64, 32768, 1, 57834
projectivity, r, 64, 32768, 1, 104669
projectivity, d, 64, 32768, 1, 153262
projectivity, c, 64, 32768, 1, 58567
projectivity, r, 64, 32768, 1, 104657
projectivity, d, 64, 32768, 1, 208349
projectivity, c, 64, 32768, 1, 57794
projectivity, r, 64, 32768, 1, 104659
projectivity, d, 64, 32768, 1, 155668
projectivity, c, 64, 32768, 1, 57859
projectivity, r, 64, 32768, 1, 104664
projectivity, d, 64, 32768, 1, 153138
projectivity, c, 64, 32768, 1, 57908
projectivity, r, 64, 32768, 1, 104659
projectivity, d, 64, 32768, 1, 153235
projectivity, c, 64, 32768, 1, 58179
projectivity, r, 64, 32768, 1, 104685
projectivity, d, 64, 32768, 1, 159583
projectivity, c, 64, 32768, 1, 58205
projectivity, r, 64, 32768, 1, 107494
projectivity, d, 64, 32768, 1, 152741
projectivity, c, 64, 32768, 1, 58224
projectivity, r, 64, 32768, 1, 104660
projectivity, d, 64, 32768, 1, 157641
projectivity, c, 64, 32768, 1, 57836
projectivity, r, 64, 32768, 1, 104658
projectivity, d, 64, 32768, 1, 153137
projectivity, c, 64, 32768, 1, 60561
projectivity, r, 64, 32768, 1, 104662
projectivity, d, 64, 32768, 1, 160167
projectivity, c, 64, 32768, 1, 57804
projectivity, r, 64, 32768, 1, 104657
projectivity, d, 64, 32768, 1, 152870
projectivity, c, 64, 32768, 1, 60647
projectivity, r, 64, 32768, 2, 170800
projectivity, d, 64, 32768, 2, 290130
projectivity, c, 64, 32768, 2, 104693
projectivity, r, 64, 32768, 2, 172545
projectivity, d, 64, 32768, 2, 252978
projectivity, c, 64, 32768, 2, 103755
projectivity, r, 64, 32768, 2, 172735
projectivity, d, 64, 32768, 2, 255287
projectivity, c, 64, 32768, 2, 104522
projectivity, r, 64, 32768, 2, 170996
projectivity, d, 64, 32768, 2, 255619
projectivity, c, 64, 32768, 2, 103773
projectivity, r, 64, 32768, 2, 177675
projectivity, d, 64, 32768, 2, 253105
projectivity, c, 64, 32768, 2, 106817
projectivity, r, 64, 32768, 2, 170802
projectivity, d, 64, 32768, 2, 258405
projectivity, c, 64, 32768, 2, 104891
projectivity, r, 64, 32768, 2, 174740
projectivity, d, 64, 32768, 2, 253227
projectivity, c, 64, 32768, 2, 103896
projectivity, r, 64, 32768, 2, 170823
projectivity, d, 64, 32768, 2, 255830
projectivity, c, 64, 32768, 2, 103970
projectivity, r, 64, 32768, 2, 170803
projectivity, d, 64, 32768, 2, 255321
projectivity, c, 64, 32768, 2, 104402
projectivity, r, 64, 32768, 2, 178376
projectivity, d, 64, 32768, 2, 253369
projectivity, c, 64, 32768, 2, 107038
projectivity, r, 64, 32768, 2, 170799
projectivity, d, 64, 32768, 2, 258125
projectivity, c, 64, 32768, 2, 104132
projectivity, r, 64, 32768, 2, 173092
projectivity, d, 64, 32768, 2, 253088
projectivity, c, 64, 32768, 2, 104155
projectivity, r, 64, 32768, 2, 170802
projectivity, d, 64, 32768, 2, 257682
projectivity, c, 64, 32768, 2, 104465
projectivity, r, 64, 32768, 2, 170803
projectivity, d, 64, 32768, 2, 255699
projectivity, c, 64, 32768, 2, 104241
projectivity, r, 64, 32768, 2, 178609
projectivity, d, 64, 32768, 2, 253627
projectivity, c, 64, 32768, 2, 107465
projectivity, r, 64, 32768, 2, 170800
projectivity, d, 64, 32768, 2, 255158
projectivity, c, 64, 32768, 2, 104824
projectivity, r, 64, 32768, 2, 175685
projectivity, d, 64, 32768, 2, 253475
projectivity, c, 64, 32768, 2, 106868
projectivity, r, 64, 32768, 2, 170799
projectivity, d, 64, 32768, 2, 255917
projectivity, c, 64, 32768, 2, 104219
projectivity, r, 64, 32768, 2, 170799
projectivity, d, 64, 32768, 2, 253460
projectivity, c, 64, 32768, 2, 104186
projectivity, r, 64, 32768, 2, 180178
projectivity, d, 64, 32768, 2, 271014
projectivity, c, 64, 32768, 2, 104142
projectivity, r, 64, 32768, 2, 170824
projectivity, d, 64, 32768, 2, 255149
