bench, mem, temp, row_size, row_count, col_width, offset, cycles, v1
q1, r, c, 64, 32768, 1, 0, 1453096
q1, d, c, 64, 32768, 1, 0, 85536
q1, r, h, 64, 32768, 1, 0, 43916
q1, d, h, 64, 32768, 1, 0, 83688
q1, r, c, 64, 32768, 1, 0, 1453579
q1, d, c, 64, 32768, 1, 0, 85547
q1, r, h, 64, 32768, 1, 0, 43922
q1, d, h, 64, 32768, 1, 0, 83820
q1, r, c, 64, 32768, 1, 0, 1453656
q1, d, c, 64, 32768, 1, 0, 85574
q1, r, h, 64, 32768, 1, 0, 43915
q1, d, h, 64, 32768, 1, 0, 92527
q1, r, c, 64, 32768, 1, 0, 1454391
q1, d, c, 64, 32768, 1, 0, 85928
q1, r, h, 64, 32768, 1, 0, 43918
q1, d, h, 64, 32768, 1, 0, 83848
q1, r, c, 64, 32768, 1, 0, 1453619
q1, d, c, 64, 32768, 1, 0, 85424
q1, r, h, 64, 32768, 1, 0, 43920
q1, d, h, 64, 32768, 1, 0, 86031
q1, r, c, 64, 32768, 1, 0, 1453162
q1, d, c, 64, 32768, 1, 0, 85690
q1, r, h, 64, 32768, 1, 0, 43919
q1, d, h, 64, 32768, 1, 0, 87099
q1, r, c, 64, 32768, 1, 0, 1453624
q1, d, c, 64, 32768, 1, 0, 85548
q1, r, h, 64, 32768, 1, 0, 47158
q1, d, h, 64, 32768, 1, 0, 83940
q1, r, c, 64, 32768, 1, 0, 1454018
q1, d, c, 64, 32768, 1, 0, 86766
q1, r, h, 64, 32768, 1, 0, 43917
q1, d, h, 64, 32768, 1, 0, 84672
q1, r, c, 64, 32768, 1, 0, 1453556
q1, d, c, 64, 32768, 1, 0, 87530
q1, r, h, 64, 32768, 1, 0, 43916
q1, d, h, 64, 32768, 1, 0, 84708
q1, r, c, 64, 32768, 1, 0, 1453635
q1, d, c, 64, 32768, 1, 0, 88183
q1, r, h, 64, 32768, 1, 0, 43917
q1, d, h, 64, 32768, 1, 0, 87900
q1, r, c, 64, 32768, 1, 0, 1453516
q1, d, c, 64, 32768, 1, 0, 86405
q1, r, h, 64, 32768, 1, 0, 47914
q1, d, h, 64, 32768, 1, 0, 84924
q1, r, c, 64, 32768, 1, 0, 1454288
q1, d, c, 64, 32768, 1, 0, 86457
q1, r, h, 64, 32768, 1, 0, 43915
q1, d, h, 64, 32768, 1, 0, 84459
q1, r, c, 64, 32768, 1, 0, 1453970
q1, d, c, 64, 32768, 1, 0, 86194
q1, r, h, 64, 32768, 1, 0, 43919
q1, d, h, 64, 32768, 1, 0, 84350
q1, r, c, 64, 32768, 1, 0, 1453847
q1, d, c, 64, 32768, 1, 0, 87198
q1, r, h, 64, 32768, 1, 0, 43915
q1, d, h, 64, 32768, 1, 0, 87312
q1, r, c, 64, 32768, 1, 0, 1453515
q1, d, c, 64, 32768, 1, 0, 87001
q1, r, h, 64, 32768, 1, 0, 43917
q1, d, h, 64, 32768, 1, 0, 85030
q1, r, c, 64, 32768, 1, 0, 1454273
q1, d, c, 64, 32768, 1, 0, 86118
q1, r, h, 64, 32768, 1, 0, 43918
q1, d, h, 64, 32768, 1, 0, 88730
q1, r, c, 64, 32768, 1, 0, 1453288
q1, d, c, 64, 32768, 1, 0, 85566
q1, r, h, 64, 32768, 1, 0, 43916
q1, d, h, 64, 32768, 1, 0, 84666
q1, r, c, 64, 32768, 1, 0, 1453837
q1, d, c, 64, 32768, 1, 0, 85890
q1, r, h, 64, 32768, 1, 0, 43916
