bench, mem, temp, row_size, row_count, col_width, cycles, l1_references, l1_refills, l2_references, l2_refills, inst_retired
q2_new, r, c, 16, 32768, 4, 110644, 458798, 77, 8222, 4096, 917591
q2_new, r, h, 16, 32768, 4, 109651, 458798, 76, 8221, 1042, 917591
q2_new, d, -, 16, 32768, 4, 122057, 491567, 155, 16437, 8194, 1015896
q2_new, c, -, 16, 32768, 4, 112146, 393264, 1050, 9577, 4098, 852058
q2_new, r, c, 16, 32768, 4, 110643, 458798, 74, 8216, 4097, 917591
q2_new, r, h, 16, 32768, 4, 109550, 458798, 75, 8217, 1216, 917591
q2_new, d, -, 16, 32768, 4, 122244, 491567, 160, 16448, 8202, 1015896
q2_new, c, -, 16, 32768, 4, 109815, 393263, 807, 9122, 4098, 852056
q2_new, r, c, 16, 32768, 4, 110646, 458798, 79, 8228, 4096, 917591
q2_new, r, h, 16, 32768, 4, 109538, 458798, 75, 8159, 907, 917591
q2_new, d, -, 16, 32768, 4, 124562, 491568, 160, 16452, 8205, 1015898
q2_new, c, -, 16, 32768, 4, 110140, 393263, 1028, 9553, 4098, 852056
q2_new, r, c, 16, 32768, 4, 115123, 458798, 98, 8252, 4096, 917593
q2_new, r, h, 16, 32768, 4, 109707, 458798, 78, 8226, 1177, 917591
q2_new, d, -, 16, 32768, 4, 122265, 491567, 155, 16441, 8200, 1015896
q2_new, c, -, 16, 32768, 4, 112934, 393263, 1237, 9960, 4098, 852057
q2_new, r, c, 16, 32768, 4, 110678, 458798, 86, 8242, 4099, 917591
q2_new, r, h, 16, 32768, 4, 112226, 458799, 94, 8253, 1088, 917593
q2_new, d, -, 16, 32768, 4, 122176, 491567, 154, 16440, 8201, 1015896
q2_new, c, -, 16, 32768, 4, 110206, 393263, 1040, 9556, 4098, 852056
q2_new, r, c, 16, 32768, 4, 110641, 458798, 72, 8213, 4097, 917591
q2_new, r, h, 16, 32768, 4, 109571, 458798, 74, 8217, 969, 917591
q2_new, d, -, 16, 32768, 4, 124312, 491568, 163, 16459, 8200, 1015898
q2_new, c, -, 16, 32768, 4, 111369, 393263, 1650, 10705, 4101, 852056
q2_new, r, c, 16, 32768, 4, 113173, 458798, 84, 8239, 4096, 917592
q2_new, r, h, 16, 32768, 4, 109635, 458798, 78, 8220, 1306, 917591
q2_new, d, -, 16, 32768, 4, 122352, 491567, 156, 16441, 8206, 1015896
q2_new, c, -, 16, 32768, 4, 110827, 393263, 1319, 10058, 4100, 852056
q2_new, r, c, 16, 32768, 4, 110655, 458798, 78, 8228, 4099, 917591
q2_new, r, h, 16, 32768, 4, 109559, 458798, 80, 8231, 991, 917591
q2_new, d, -, 16, 32768, 4, 124355, 491567, 168, 16456, 8206, 1015897
q2_new, c, -, 16, 32768, 4, 110468, 393263, 1185, 9818, 4097, 852056
q2_new, r, c, 16, 32768, 4, 110643, 458798, 74, 8216, 4097, 917591
q2_new, r, h, 16, 32768, 4, 109626, 458798, 77, 8224, 1064, 917591
q2_new, d, -, 16, 32768, 4, 122073, 491567, 160, 16449, 8196, 1015896
q2_new, c, -, 16, 32768, 4, 112823, 393263, 967, 9327, 4097, 852058
q2_new, r, c, 16, 32768, 4, 110645, 458798, 75, 8218, 4096, 917591
q2_new, r, h, 16, 32768, 4, 111408, 458799, 87, 8245, 1188, 917593
q2_new, d, -, 16, 32768, 4, 122142, 491567, 156, 16444, 8199, 1015896
q2_new, c, -, 16, 32768, 4, 109677, 393263, 773, 9068, 4098, 852056
q2_new, r, c, 16, 32768, 4, 110644, 458798, 76, 8223, 4094, 917591
q2_new, r, h, 16, 32768, 4, 109656, 458798, 76, 8220, 1077, 917591
q2_new, d, -, 16, 32768, 4, 124402, 491568, 162, 16453, 8200, 1015899
q2_new, c, -, 16, 32768, 4, 110865, 393263, 1272, 9991, 4103, 852056
q2_new, r, c, 16, 32768, 4, 113475, 458798, 81, 8233, 4096, 917592
q2_new, r, h, 16, 32768, 4, 109772, 458798, 81, 8232, 1260, 917591
q2_new, d, -, 16, 32768, 4, 122196, 491567, 155, 16440, 8202, 1015896
q2_new, c, -, 16, 32768, 4, 110745, 393263, 1238, 9957, 4100, 852056
q2_new, r, c, 16, 32768, 4, 110645, 458798, 76, 8219, 4097, 917591
