bench, mem, temp, row_size, row_count, col_width, cycles, l1_references, l1_refills, l2_references, l2_refills, inst_retired
q3, r, c, 16, 43690, 1, 84280, 393256, 36, 2780, 1379, 786507
q3, r, h, 16, 43690, 1, 83815, 393256, 36, 2784, 118, 786507
q3, d, -, 16, 43690, 1, 88019, 436946, 221, 21967, 10950, 830197
q3, r, c, 16, 43690, 1, 84275, 393256, 34, 2777, 1379, 786507
q3, r, h, 16, 43690, 1, 84446, 393256, 167, 2785, 193, 786507
q3, d, -, 16, 43690, 1, 88027, 436946, 214, 21959, 10947, 830197
q3, r, c, 16, 43690, 1, 84276, 393256, 31, 2772, 1379, 786507
q3, r, h, 16, 43690, 1, 83823, 393256, 34, 2730, 130, 786507
q3, d, -, 16, 43690, 1, 118295, 436947, 2739, 22027, 10941, 830200
q3, r, c, 16, 43690, 1, 86360, 393258, 35, 2784, 1379, 786510
q3, r, h, 16, 43690, 1, 83906, 393256, 36, 2789, 229, 786507
q3, d, -, 16, 43690, 1, 88100, 436946, 211, 21945, 10947, 830197
q3, r, c, 16, 43690, 1, 84274, 393256, 29, 2769, 1379, 786507
q3, r, h, 16, 43690, 1, 83832, 393256, 31, 2775, 144, 786507
q3, d, -, 16, 43690, 1, 87917, 436946, 213, 21949, 10939, 830197
q3, r, c, 16, 43690, 1, 84290, 393257, 32, 2777, 1380, 786508
q3, r, h, 16, 43690, 1, 83863, 393256, 38, 2777, 130, 786507
q3, d, -, 16, 43690, 1, 87988, 436946, 206, 21935, 10952, 830197
q3, r, c, 16, 43690, 1, 84313, 393257, 37, 2784, 1380, 786508
q3, r, h, 16, 43690, 1, 86760, 393257, 51, 2780, 463, 786509
q3, d, -, 16, 43690, 1, 87885, 436946, 233, 21981, 10951, 830197
q3, r, c, 16, 43690, 1, 84279, 393256, 34, 2777, 1379, 786507
q3, r, h, 16, 43690, 1, 83854, 393256, 34, 2778, 141, 786507
q3, d, -, 16, 43690, 1, 88086, 436946, 205, 21936, 10944, 830197
q3, r, c, 16, 43690, 1, 84307, 393256, 34, 2775, 1382, 786507
q3, r, h, 16, 43690, 1, 84235, 393256, 36, 2749, 1175, 786507
q3, d, -, 16, 43690, 1, 88123, 436946, 236, 21996, 10958, 830197
q3, r, c, 16, 43690, 1, 84286, 393257, 36, 2785, 1380, 786508
q3, r, h, 16, 43690, 1, 83945, 393256, 35, 2731, 377, 786507
q3, d, -, 16, 43690, 1, 90707, 436946, 220, 21966, 10959, 830198
q3, r, c, 16, 43690, 1, 86999, 393256, 44, 2806, 1379, 786508
q3, r, h, 16, 43690, 1, 84042, 393256, 32, 2775, 636, 786507
q3, d, -, 16, 43690, 1, 88116, 436946, 211, 21954, 10961, 830197
q3, r, c, 16, 43690, 1, 84272, 393256, 33, 2777, 1380, 786507
q3, r, h, 16, 43690, 1, 83902, 393256, 31, 2772, 136, 786507
q3, d, -, 16, 43690, 1, 90816, 436947, 216, 21950, 10940, 830199
q3, r, c, 16, 43690, 1, 84271, 393256, 28, 2764, 1378, 786507
q3, r, h, 16, 43690, 1, 86280, 393256, 37, 2786, 396, 786508
q3, d, -, 16, 43690, 1, 88110, 436946, 207, 21942, 10949, 830197
q3, r, c, 16, 43690, 1, 88557, 393258, 153, 2816, 1380, 786510
q3, r, h, 16, 43690, 1, 83860, 393256, 36, 2731, 150, 786507
q3, d, -, 16, 43690, 1, 87902, 436946, 208, 21940, 10944, 830197
q3, r, c, 16, 43690, 1, 84275, 393256, 31, 2772, 1379, 786507
q3, r, h, 16, 43690, 1, 83832, 393256, 35, 2762, 162, 786507
q3, d, -, 16, 43690, 1, 88034, 436946, 210, 21941, 10947, 830197
q3, r, c, 16, 43690, 1, 84272, 393256, 31, 2774, 1378, 786507
q3, r, h, 16, 43690, 1, 83833, 393256, 32, 2777, 175, 786507
q3, d, -, 16, 43690, 1, 90562, 436947, 229, 21989, 10952, 830199
q3, r, c, 16, 43690, 1, 84271, 393256, 32, 2768, 1380, 786507
q3, r, h, 16, 43690, 1, 83837, 393256, 34, 2727, 166, 786507
q3, d, -, 16, 43690, 1, 87933, 436946, 208, 21936, 10947, 830197
q3, r, c, 16, 43690, 1, 84272, 393257, 28, 2764, 1378, 786508
q3, r, h, 16, 43690, 1, 83829, 393256, 34, 2779, 168, 786507
q3, d, -, 16, 43690, 1, 94030, 436947, 257, 22054, 10943, 830198
