benchmark,  memory, row_size, row_count, time
q1, r, 256, 131072, 1721866
q1, d, 256, 131072, 2142191
q1, c, 256, 131072, 998172
q1, r, 256, 131072, 1720117
q1, d, 256, 131072, 1885263
q1, c, 256, 131072, 1000604
q1, r, 256, 131072, 1721990
q1, d, 256, 131072, 1904625
q1, c, 256, 131072, 998768
q1, r, 256, 131072, 1724578
q1, d, 256, 131072, 1892681
q1, c, 256, 131072, 1001763
q1, r, 256, 131072, 1718840
q1, d, 256, 131072, 1997185
q1, c, 256, 131072, 998840
q1, r, 256, 131072, 1720648
q1, d, 256, 131072, 2261746
q1, c, 256, 131072, 1002331
q1, r, 256, 131072, 1723081
q1, d, 256, 131072, 1884836
q1, c, 256, 131072, 998700
q1, r, 256, 131072, 1734833
q1, d, 256, 131072, 1886368
q1, c, 256, 131072, 998686
q1, r, 256, 131072, 1721324
q1, d, 256, 131072, 1895633
q1, c, 256, 131072, 999480
q1, r, 256, 131072, 1718291
q1, d, 256, 131072, 1942162
q1, c, 256, 131072, 1000285
q1, r, 256, 131072, 1759604
q1, d, 256, 131072, 1884706
q1, c, 256, 131072, 997371
q1, r, 256, 131072, 1719346
q1, d, 256, 131072, 2147446
q1, c, 256, 131072, 997376
q1, r, 256, 131072, 1750642
q1, d, 256, 131072, 2034744
q1, c, 256, 131072, 997813
q1, r, 256, 131072, 1735484
q1, d, 256, 131072, 1890289
q1, c, 256, 131072, 1000333
q1, r, 256, 131072, 1718636
q1, d, 256, 131072, 1885717
q1, c, 256, 131072, 1002804
q1, r, 256, 131072, 1734643
q1, d, 256, 131072, 2517442
q1, c, 256, 131072, 1001497
q1, r, 256, 131072, 1734778
q1, d, 256, 131072, 1896051
q1, c, 256, 131072, 998642
q1, r, 256, 131072, 1736494
q1, d, 256, 131072, 1897974
q1, c, 256, 131072, 997147
q1, r, 256, 131072, 1747600
q1, d, 256, 131072, 1888863
q1, c, 256, 131072, 1000806
q1, r, 256, 131072, 1718970
q1, d, 256, 131072, 1887708
q1, c, 256, 131072, 999546
q1, r, 256, 131072, 1752958
q1, d, 256, 131072, 1893062
q1, c, 256, 131072, 997016
q1, r, 256, 131072, 1730959
q1, d, 256, 131072, 1885494
q1, c, 256, 131072, 998258
q1, r, 256, 131072, 1729090
q1, d, 256, 131072, 1888717
q1, c, 256, 131072, 998806
q1, r, 256, 131072, 1738913
q1, d, 256, 131072, 1889017
q1, c, 256, 131072, 1001172
q1, r, 256, 131072, 1724077
q1, d, 256, 131072, 1890638
q1, c, 256, 131072, 996200
q1, r, 256, 131072, 1721281
q1, d, 256, 131072, 2410499
q1, c, 256, 131072, 999725
q1, r, 256, 131072, 1720304
q1, d, 256, 131072, 2277578
q1, c, 256, 131072, 995984
q1, r, 256, 131072, 1718805
q1, d, 256, 131072, 1887801
q1, c, 256, 131072, 999174
q1, r, 256, 131072, 1719928
q1, d, 256, 131072, 1886535
q1, c, 256, 131072, 998309
q1, r, 256, 131072, 1743617
q1, d, 256, 131072, 1909712
q1, c, 256, 131072, 1004611
q1, r, 256, 262144, 3451789
q1, d, 256, 262144, 4041553
q1, c, 256, 262144, 1998602
q1, r, 256, 262144, 3444576
q1, d, 256, 262144, 3831193
q1, c, 256, 262144, 1998094
q1, r, 256, 262144, 3479957
q1, d, 256, 262144, 4310042
q1, c, 256, 262144, 1993108
q1, r, 256, 262144, 3464933
q1, d, 256, 262144, 3800726
q1, c, 256, 262144, 1999342
q1, r, 256, 262144, 3441771
q1, d, 256, 262144, 4306256
q1, c, 256, 262144, 2000081
q1, r, 256, 262144, 3473086
q1, d, 256, 262144, 4175277
q1, c, 256, 262144, 1997697
q1, r, 256, 262144, 3437674
q1, d, 256, 262144, 3913274
q1, c, 256, 262144, 1992807
q1, r, 256, 262144, 3442955
q1, d, 256, 262144, 3883900
q1, c, 256, 262144, 2001031
q1, r, 256, 262144, 3436993
q1, d, 256, 262144, 4040530
q1, c, 256, 262144, 1995513
q1, r, 256, 262144, 3440084
q1, d, 256, 262144, 4321614
q1, c, 256, 262144, 1993104
q1, r, 256, 262144, 3455613
q1, d, 256, 262144, 3775800
q1, c, 256, 262144, 1997737
q1, r, 256, 262144, 3444477
q1, d, 256, 262144, 4049918
q1, c, 256, 262144, 1992438
q1, r, 256, 262144, 3464251
q1, d, 256, 262144, 3782466
q1, c, 256, 262144, 1998387
q1, r, 256, 262144, 3439111
q1, d, 256, 262144, 3779052
q1, c, 256, 262144, 2002510
q1, r, 256, 262144, 3449207
q1, d, 256, 262144, 4181606
q1, c, 256, 262144, 1996517
q1, r, 256, 262144, 3438652
q1, d, 256, 262144, 3826431
q1, c, 256, 262144, 2001883
q1, r, 256, 262144, 3505967
q1, d, 256, 262144, 3787674
q1, c, 256, 262144, 1997271
q1, r, 256, 262144, 3472996
q1, d, 256, 262144, 3779884
q1, c, 256, 262144, 1996920
q1, r, 256, 262144, 3443736
q1, d, 256, 262144, 3916516
q1, c, 256, 262144, 2004021
q1, r, 256, 262144, 3438069
q1, d, 256, 262144, 4055367
