bench, mem, row_size, row_count, col_width, cycles
q5, r,64,32768,1,621139
q5, d,64,32768,1,691909
q5, c,64,32768,1,631060
q5, r,64,32768,1,619649
q5, d,64,32768,1,695429
q5, c,64,32768,1,619188
q5, r,64,32768,1,622377
q5, d,64,32768,1,688299
q5, c,64,32768,1,620014
q5, r,64,32768,1,620267
q5, d,64,32768,1,690713
q5, c,64,32768,1,623676
q5, r,64,32768,1,621914
q5, d,64,32768,1,699514
q5, c,64,32768,1,631150
q5, r,64,32768,1,622489
q5, d,64,32768,1,683331
q5, c,64,32768,1,628170
q5, r,64,32768,1,621591
q5, d,64,32768,1,693171
q5, c,64,32768,1,630940
q5, r,64,32768,1,620229
q5, d,64,32768,1,686243
q5, c,64,32768,1,627068
q5, r,64,32768,1,621484
q5, d,64,32768,1,685295
q5, c,64,32768,1,628326
q5, r,64,32768,1,619189
q5, d,64,32768,1,687296
q5, c,64,32768,1,626617
q5, r,64,32768,1,618992
q5, d,64,32768,1,685030
q5, c,64,32768,1,622666
q5, r,64,32768,1,619609
q5, d,64,32768,1,685480
q5, c,64,32768,1,620840
q5, r,64,32768,1,622392
q5, d,64,32768,1,694079
q5, c,64,32768,1,623932
q5, r,64,32768,1,620739
q5, d,64,32768,1,684041
q5, c,64,32768,1,624706
q5, r,64,32768,1,623275
q5, d,64,32768,1,691105
q5, c,64,32768,1,626306
q5, r,64,32768,1,620603
q5, d,64,32768,1,682205
q5, c,64,32768,1,631108
q5, r,64,32768,1,627336
q5, d,64,32768,1,686584
q5, c,64,32768,1,630207
q5, r,64,32768,1,622096
q5, d,64,32768,1,699442
q5, c,64,32768,1,627149
q5, r,64,32768,1,620071
q5, d,64,32768,1,685740
q5, c,64,32768,1,627311
q5, r,64,32768,1,620869
q5, d,64,32768,1,686538
q5, c,64,32768,1,631556
q5, r,64,32768,1,619783
q5, d,64,32768,1,698667
q5, c,64,32768,1,633891
q5, r,64,32768,1,621290
q5, d,64,32768,1,689445
q5, c,64,32768,1,626756
q5, r,64,32768,1,621755
q5, d,64,32768,1,685845
q5, c,64,32768,1,620215
q5, r,64,32768,1,618449
q5, d,64,32768,1,688467
q5, c,64,32768,1,635816
q5, r,64,32768,1,622381
q5, d,64,32768,1,683165
q5, c,64,32768,1,636209
q5, r,64,32768,1,619578
q5, d,64,32768,1,683944
q5, c,64,32768,1,623494
q5, r,64,32768,1,619335
q5, d,64,32768,1,681178
q5, c,64,32768,1,637689
q5, r,64,32768,1,619652
q5, d,64,32768,1,686227
q5, c,64,32768,1,633267
q5, r,64,32768,1,622229
q5, d,64,32768,1,699393
q5, c,64,32768,1,629028
q5, r,64,32768,1,621696
q5, d,64,32768,1,681793
q5, c,64,32768,1,624993
q5, r,64,32768,2,1073944
q5, d,64,32768,2,1356966
q5, c,64,32768,2,1208389
q5, r,64,32768,2,1072041
q5, d,64,32768,2,1350719
q5, c,64,32768,2,1211206
q5, r,64,32768,2,1068047
q5, d,64,32768,2,1349232
q5, c,64,32768,2,1210825
q5, r,64,32768,2,1059002
q5, d,64,32768,2,1342381
q5, c,64,32768,2,1204401
q5, r,64,32768,2,1080290
q5, d,64,32768,2,1348877
q5, c,64,32768,2,1211569
q5, r,64,32768,2,1065243
q5, d,64,32768,2,1348207
q5, c,64,32768,2,1214806
q5, r,64,32768,2,1066695
q5, d,64,32768,2,1352965
q5, c,64,32768,2,1204201
q5, r,64,32768,2,1073068
q5, d,64,32768,2,1354981
q5, c,64,32768,2,1204216
q5, r,64,32768,2,1068829
q5, d,64,32768,2,1347280
q5, c,64,32768,2,1204415
q5, r,64,32768,2,1063781
q5, d,64,32768,2,1349158
q5, c,64,32768,2,1211617
q5, r,64,32768,2,1070616
q5, d,64,32768,2,1352714
q5, c,64,32768,2,1212104
q5, r,64,32768,2,1068081
q5, d,64,32768,2,1345744
q5, c,64,32768,2,1219746
q5, r,64,32768,2,1066456
q5, d,64,32768,2,1347757
q5, c,64,32768,2,1205677
q5, r,64,32768,2,1073429
q5, d,64,32768,2,1346933
q5, c,64,32768,2,1221006
q5, r,64,32768,2,1062374
q5, d,64,32768,2,1353143
q5, c,64,32768,2,1212300
q5, r,64,32768,2,1074058
q5, d,64,32768,2,1351020
q5, c,64,32768,2,1212912
q5, r,64,32768,2,1069444
q5, d,64,32768,2,1355265
q5, c,64,32768,2,1217850
q5, r,64,32768,2,1069851
q5, d,64,32768,2,1356125
q5, c,64,32768,2,1216143
q5, r,64,32768,2,1070814
q5, d,64,32768,2,1347851
q5, c,64,32768,2,1210938
q5, r,64,32768,2,1070125
q5, d,64,32768,2,1348366
q5, c,64,32768,2,1212127
q5, r,64,32768,2,1066241
q5, d,64,32768,2,1347663
q5, c,64,32768,2,1206348
q5, r,64,32768,2,1064038
q5, d,64,32768,2,1343707
q5, c,64,32768,2,1219538
q5, r,64,32768,2,1066146
q5, d,64,32768,2,1355889
q5, c,64,32768,2,1213889
q5, r,64,32768,2,1064047
q5, d,64,32768,2,1353803
q5, c,64,32768,2,1208363
q5, r,64,32768,2,1070498
q5, d,64,32768,2,1345762
q5, c,64,32768,2,1209107
q5, r,64,32768,2,1075278
q5, d,64,32768,2,1351930
q5, c,64,32768,2,1208046
q5, r,64,32768,2,1065355
q5, d,64,32768,2,1352500
q5, c,64,32768,2,1205333
q5, r,64,32768,2,1072004
q5, d,64,32768,2,1348252
q5, c,64,32768,2,1208722
q5, r,64,32768,2,1065630
q5, d,64,32768,2,1347320
q5, c,64,32768,2,1213159
q5, r,64,32768,2,1072600
q5, d,64,32768,2,1353573
q5, c,64,32768,2,1208936
q5, r,64,32768,4,1111011
q5, d,64,32768,4,1356966
q5, c,64,32768,4,1248389
q5, r,64,32768,4,1109115
q5, d,64,32768,4,1350719
q5, c,64,32768,4,1241206
q5, r,64,32768,4,1097860
q5, d,64,32768,4,1349232
q5, c,64,32768,4,1240825
q5, r,64,32768,4,1109867
q5, d,64,32768,4,1342381
q5, c,64,32768,4,1244401
q5, r,64,32768,4,1104551
