bench, mem, row_size, row_count, col_width,data,cpu
qjoin, r,16,32768,4,792356,3382573
qjoin, d,16,32768,4,875732,3399154
qjoin, c,16,32768,4,932723,3399709
qjoin, r,16,32768,4,784523,3353602
qjoin, d,16,32768,4,885898,3362309
qjoin, c,16,32768,4,935419,3357826
qjoin, r,16,32768,4,787051,3354617
qjoin, d,16,32768,4,875822,3365802
qjoin, c,16,32768,4,939885,3343608
qjoin, r,16,32768,4,786205,3393905
qjoin, d,16,32768,4,875318,3345422
qjoin, c,16,32768,4,927289,3351710
qjoin, r,16,32768,4,789361,3350027
qjoin, d,16,32768,4,877880,3331374
qjoin, c,16,32768,4,933792,3382818
qjoin, r,16,32768,4,787866,3354559
qjoin, d,16,32768,4,875448,3335402
qjoin, c,16,32768,4,932403,3344244
qjoin, r,16,32768,4,785937,3346391
qjoin, d,16,32768,4,874183,3327541
qjoin, c,16,32768,4,947228,3357535
qjoin, r,16,32768,4,786973,3350197
qjoin, d,16,32768,4,877336,3332825
qjoin, c,16,32768,4,937592,3345086
qjoin, r,16,32768,4,791837,3348855
qjoin, d,16,32768,4,878252,3336730
qjoin, c,16,32768,4,946080,3372583
qjoin, r,16,32768,4,788998,3358681
qjoin, d,16,32768,4,877813,3335539
qjoin, c,16,32768,4,945873,3334019
qjoin, r,16,32768,4,787517,3350982
qjoin, d,16,32768,4,876954,3341146
qjoin, c,16,32768,4,932651,3397229
qjoin, r,16,32768,4,787880,3349100
qjoin, d,16,32768,4,876630,3332890
qjoin, c,16,32768,4,947450,3383130
qjoin, r,16,32768,4,787993,3357189
qjoin, d,16,32768,4,874400,3335346
qjoin, c,16,32768,4,934876,3343608
qjoin, r,16,32768,4,787636,3346469
qjoin, d,16,32768,4,875714,3335580
qjoin, c,16,32768,4,938585,3359208
qjoin, r,16,32768,4,785943,3357344
qjoin, d,16,32768,4,883640,3406880
qjoin, c,16,32768,4,934334,3354013
qjoin, r,16,32768,4,789451,3347596
qjoin, d,16,32768,4,877432,3331237
qjoin, c,16,32768,4,934307,3385723
qjoin, r,16,32768,4,786923,3361422
qjoin, d,16,32768,4,874620,3336418
qjoin, c,16,32768,4,934567,3364027
qjoin, r,16,32768,4,787994,3350930
qjoin, d,16,32768,4,876751,3332472
qjoin, c,16,32768,4,942062,3391843
qjoin, r,16,32768,4,786994,3334558
qjoin, d,16,32768,4,878714,3333730
qjoin, c,16,32768,4,926057,3343132
qjoin, r,16,32768,4,787046,3357313
qjoin, d,16,32768,4,879464,3344162
qjoin, c,16,32768,4,946173,3376287
qjoin, r,16,32768,4,788069,3350667
qjoin, d,16,32768,4,870300,3336095
qjoin, c,16,32768,4,933553,3382677
qjoin, r,16,32768,4,798627,3347804
qjoin, d,16,32768,4,882483,3321619
qjoin, c,16,32768,4,934000,3395707
qjoin, r,16,32768,4,784102,3368798
qjoin, d,16,32768,4,877806,3348259
qjoin, c,16,32768,4,939448,3371452
qjoin, r,16,32768,4,790891,3357426
