bench, mem, row_size, row_count, col_width, access_time, hash_time
qjoin, r, 64, 32768, 1, 664824, 2020203
qjoin, d, 64, 32768, 1, 1408411, 2045270
qjoin, r, 64, 32768, 1, 666290, 2010777
qjoin, d, 64, 32768, 1, 1411549, 2037866
qjoin, r, 64, 32768, 1, 668846, 2004024
qjoin, d, 64, 32768, 1, 1412938, 2034309
qjoin, r, 64, 32768, 1, 669518, 2022622
qjoin, d, 64, 32768, 1, 1422743, 2032336
qjoin, r, 64, 32768, 1, 668784, 2020178
qjoin, d, 64, 32768, 1, 1408909, 2049135
qjoin, r, 64, 32768, 1, 674323, 2015711
qjoin, d, 64, 32768, 1, 1415000, 2038034
qjoin, r, 64, 32768, 1, 668738, 2003843
qjoin, d, 64, 32768, 1, 1404707, 2039625
qjoin, r, 64, 32768, 1, 666869, 2020404
qjoin, d, 64, 32768, 1, 1481197, 2040513
qjoin, r, 64, 32768, 1, 666045, 2032309
qjoin, d, 64, 32768, 1, 1471785, 2047386
qjoin, r, 64, 32768, 1, 669262, 2007135
qjoin, d, 64, 32768, 1, 1428799, 2045455
qjoin, r, 64, 32768, 1, 668868, 2007779
qjoin, d, 64, 32768, 1, 1421878, 2029205
qjoin, r, 64, 32768, 1, 663686, 2011476
qjoin, d, 64, 32768, 1, 1417194, 2034065
qjoin, r, 64, 32768, 1, 667824, 2004258
qjoin, d, 64, 32768, 1, 1410201, 2038630
qjoin, r, 64, 32768, 1, 665578, 2003270
qjoin, d, 64, 32768, 1, 1450048, 2037716
qjoin, r, 64, 32768, 1, 667238, 2006748
qjoin, d, 64, 32768, 1, 1432254, 2036747
qjoin, r, 64, 32768, 1, 665798, 2036756
qjoin, d, 64, 32768, 1, 1393142, 2075468
qjoin, r, 64, 32768, 1, 666740, 2017623
qjoin, d, 64, 32768, 1, 1405508, 2043705
qjoin, r, 64, 32768, 1, 670521, 2010510
qjoin, d, 64, 32768, 1, 1415689, 2038266
qjoin, r, 64, 32768, 1, 675068, 2064120
qjoin, d, 64, 32768, 1, 1394059, 2093176
qjoin, r, 64, 32768, 1, 667091, 2006339
qjoin, d, 64, 32768, 1, 1414775, 2034564
qjoin, r, 64, 32768, 1, 666626, 2005238
qjoin, d, 64, 32768, 1, 1412946, 2036048
qjoin, r, 64, 32768, 1, 667814, 2004599
qjoin, d, 64, 32768, 1, 1420750, 2027511
qjoin, r, 64, 32768, 1, 667804, 2006110
qjoin, d, 64, 32768, 1, 1414624, 2037094
qjoin, r, 64, 32768, 1, 668299, 2008078
qjoin, d, 64, 32768, 1, 1419919, 2029243
qjoin, r, 64, 32768, 1, 667779, 2006052
qjoin, d, 64, 32768, 1, 1423668, 2034411
qjoin, r, 64, 32768, 1, 666418, 2005931
qjoin, d, 64, 32768, 1, 1413618, 2037470
qjoin, r, 64, 32768, 1, 676251, 2007771
qjoin, d, 64, 32768, 1, 1410239, 2038655
qjoin, r, 64, 32768, 1, 669277, 2009947
qjoin, d, 64, 32768, 1, 1409343, 2039539
qjoin, r, 64, 32768, 1, 667201, 2006813
qjoin, d, 64, 32768, 1, 1415119, 2036816
qjoin, r, 64, 32768, 1, 666929, 2020926
qjoin, d, 64, 32768, 1, 1412733, 2033099
qjoin, r, 64, 32768, 2, 1065689, 3361081
qjoin, d, 64, 32768, 2, 1838274, 3373905
qjoin, r, 64, 32768, 2, 1068436, 3344075
qjoin, d, 64, 32768, 2, 1846039, 3367547
qjoin, r, 64, 32768, 2, 1065137, 3366857
qjoin, d, 64, 32768, 2, 1822743, 3344804
qjoin, r, 64, 32768, 2, 1063262, 3358240
qjoin, d, 64, 32768, 2, 1820463, 3370153
qjoin, r, 64, 32768, 2, 1061793, 3376576
qjoin, d, 64, 32768, 2, 1820459, 3374873
qjoin, r, 64, 32768, 2, 1063812, 3355729
qjoin, d, 64, 32768, 2, 1816634, 3372578
qjoin, r, 64, 32768, 2, 1064397, 3365632
qjoin, d, 64, 32768, 2, 1818675, 3364161
qjoin, r, 64, 32768, 2, 1069814, 3360595
qjoin, d, 64, 32768, 2, 1811860, 3379652
qjoin, r, 64, 32768, 2, 1065035, 3344920
qjoin, d, 64, 32768, 2, 1813522, 3353878
qjoin, r, 64, 32768, 2, 1070555, 3376486
qjoin, d, 64, 32768, 2, 1806137, 3357517
qjoin, r, 64, 32768, 2, 1073489, 3374102
qjoin, d, 64, 32768, 2, 1819775, 3365092
qjoin, r, 64, 32768, 2, 1065578, 3365530
qjoin, d, 64, 32768, 2, 1826392, 3354125
qjoin, r, 64, 32768, 2, 1065751, 3377027
qjoin, d, 64, 32768, 2, 1815755, 3365906
qjoin, r, 64, 32768, 2, 1064774, 3346707
qjoin, d, 64, 32768, 2, 1824326, 3372954
qjoin, r, 64, 32768, 2, 1062783, 3345782
qjoin, d, 64, 32768, 2, 1840462, 3352960
qjoin, r, 64, 32768, 2, 1061983, 3427749
qjoin, d, 64, 32768, 2, 1831656, 3428809
qjoin, r, 64, 32768, 2, 1062577, 3373654
qjoin, d, 64, 32768, 2, 1840807, 3365834
qjoin, r, 64, 32768, 2, 1068286, 3366193
qjoin, d, 64, 32768, 2, 1808879, 3366211
qjoin, r, 64, 32768, 2, 1062815, 3359380
qjoin, d, 64, 32768, 2, 1824761, 3367984
qjoin, r, 64, 32768, 2, 1065849, 3349904
