bench, mem, row_size, row_count, col_width, access, hashing 
qjoin, r, 16, 32768, 4, 795820, 3348985
qjoin, d, 16, 32768, 4, 876005, 3343608
qjoin, r, 16, 32768, 4, 787766, 3386742
qjoin, d, 16, 32768, 4, 881687, 3399719
qjoin, r, 16, 32768, 4, 787051, 3357851
qjoin, d, 16, 32768, 4, 875822, 3346872
qjoin, r, 16, 32768, 4, 786205, 3350563
qjoin, d, 16, 32768, 4, 875318, 3345422
qjoin, r, 16, 32768, 4, 789361, 3350027
qjoin, d, 16, 32768, 4, 877880, 3331374
qjoin, r, 16, 32768, 4, 787866, 3354559
qjoin, d, 16, 32768, 4, 875448, 3335402
qjoin, r, 16, 32768, 4, 785937, 3346391
qjoin, d, 16, 32768, 4, 874183, 3327541
qjoin, r, 16, 32768, 4, 786973, 3350197
qjoin, d, 16, 32768, 4, 877336, 3332825
qjoin, r, 16, 32768, 4, 791837, 3348855
qjoin, d, 16, 32768, 4, 878252, 3336730
qjoin, r, 16, 32768, 4, 788998, 3358681
qjoin, d, 16, 32768, 4, 877813, 3335539
qjoin, r, 16, 32768, 4, 787517, 3350982
qjoin, d, 16, 32768, 4, 876954, 3341146
qjoin, r, 16, 32768, 4, 787880, 3349100
qjoin, d, 16, 32768, 4, 876630, 3332890
qjoin, r, 16, 32768, 4, 787993, 3357189
qjoin, d, 16, 32768, 4, 874400, 3335346
qjoin, r, 16, 32768, 4, 787636, 3346469
qjoin, d, 16, 32768, 4, 875714, 3335580
qjoin, r, 16, 32768, 4, 785943, 3357344
qjoin, d, 16, 32768, 4, 883640, 3406880
qjoin, r, 16, 32768, 4, 789451, 3347596
qjoin, d, 16, 32768, 4, 877432, 3331237
qjoin, r, 16, 32768, 4, 786923, 3361422
qjoin, d, 16, 32768, 4, 874620, 3336418
qjoin, r, 16, 32768, 4, 787994, 3350930
qjoin, d, 16, 32768, 4, 876751, 3332472
qjoin, r, 16, 32768, 4, 786994, 3334558
qjoin, d, 16, 32768, 4, 878714, 3333730
qjoin, r, 16, 32768, 4, 787046, 3357313
qjoin, d, 16, 32768, 4, 879464, 3344162
qjoin, r, 16, 32768, 4, 788069, 3350667
qjoin, d, 16, 32768, 4, 870300, 3336095
qjoin, r, 16, 32768, 4, 798627, 3347804
qjoin, d, 16, 32768, 4, 882483, 3321619
qjoin, r, 16, 32768, 4, 784102, 3368798
qjoin, d, 16, 32768, 4, 877806, 3348259
qjoin, r, 16, 32768, 4, 790891, 3357426
qjoin, d, 16, 32768, 4, 875916, 3327832
qjoin, r, 16, 32768, 4, 786192, 3365849
qjoin, d, 16, 32768, 4, 876545, 3337837
qjoin, r, 16, 32768, 4, 787795, 3347622
qjoin, d, 16, 32768, 4, 879051, 3332707
qjoin, r, 16, 32768, 4, 789726, 3375792
qjoin, d, 16, 32768, 4, 873244, 3336424
qjoin, r, 16, 32768, 4, 788048, 3349023
qjoin, d, 16, 32768, 4, 877636, 3323985
qjoin, r, 16, 32768, 4, 788033, 3342784
qjoin, d, 16, 32768, 4, 873234, 3323068
qjoin, r, 16, 32768, 4, 786798, 3359655
qjoin, d, 16, 32768, 4, 873961, 3343791
qjoin, r, 32, 32768, 4, 788972, 3345998
qjoin, d, 32, 32768, 4, 1098314, 3375201
qjoin, r, 32, 32768, 4, 785234, 3369158
qjoin, d, 32, 32768, 4, 1100238, 3436739
qjoin, r, 32, 32768, 4, 787400, 3351351
qjoin, d, 32, 32768, 4, 1101564, 3353176
qjoin, r, 32, 32768, 4, 788794, 3350202
qjoin, d, 32, 32768, 4, 1097538, 3371547
qjoin, r, 32, 32768, 4, 788033, 3345923
qjoin, d, 32, 32768, 4, 1092509, 3365017
qjoin, r, 32, 32768, 4, 788359, 3356476
qjoin, d, 32, 32768, 4, 1097129, 3375762
qjoin, r, 32, 32768, 4, 789183, 3349516
qjoin, d, 32, 32768, 4, 1097568, 3372171
qjoin, r, 32, 32768, 4, 788701, 3352424
qjoin, d, 32, 32768, 4, 1099128, 3372827
qjoin, r, 32, 32768, 4, 788163, 3352702
qjoin, d, 32, 32768, 4, 1094865, 3366035
qjoin, r, 32, 32768, 4, 790976, 3344920
qjoin, d, 32, 32768, 4, 1097208, 3369263
qjoin, r, 32, 32768, 4, 789688, 3370221
qjoin, d, 32, 32768, 4, 1098179, 3420676
qjoin, r, 32, 32768, 4, 788243, 3346202
qjoin, d, 32, 32768, 4, 1096912, 3366737
qjoin, r, 32, 32768, 4, 788342, 3360680
qjoin, d, 32, 32768, 4, 1094804, 3418182
qjoin, r, 32, 32768, 4, 787298, 3363987
qjoin, d, 32, 32768, 4, 1088964, 3437141
qjoin, r, 32, 32768, 4, 791992, 3371755
qjoin, d, 32, 32768, 4, 1098319, 3421312
qjoin, r, 32, 32768, 4, 785042, 3355209
qjoin, d, 32, 32768, 4, 1098487, 3363080
qjoin, r, 32, 32768, 4, 787393, 3356847
qjoin, d, 32, 32768, 4, 1090371, 3431855
qjoin, r, 32, 32768, 4, 791729, 3352261
qjoin, d, 32, 32768, 4, 1094427, 3368482
qjoin, r, 32, 32768, 4, 782517, 3369686
qjoin, d, 32, 32768, 4, 1097328, 3369254
qjoin, r, 32, 32768, 4, 788757, 3343908
qjoin, d, 32, 32768, 4, 1095522, 3366533
qjoin, r, 32, 32768, 4, 782137, 3368034
qjoin, d, 32, 32768, 4, 1088598, 3374254
qjoin, r, 32, 32768, 4, 787328, 3342587
qjoin, d, 32, 32768, 4, 1099827, 3372042
qjoin, r, 32, 32768, 4, 783350, 3352433
qjoin, d, 32, 32768, 4, 1104662, 3370730
qjoin, r, 32, 32768, 4, 791219, 3348038
qjoin, d, 32, 32768, 4, 1096930, 3361664
qjoin, r, 32, 32768, 4, 786138, 3351542
