bench, mem, temp, row_size, row_count, col_width, offset, cycles
sum, r, c, 64, 262144, 4, 0, 6996749
sum, d, c, 64, 262144, 4, 0, 656220
sum, r, h, 64, 262144, 4, 0, 455618
sum, d, h, 64, 262144, 4, 0, 660661
sum, r, c, 64, 262144, 4, 0, 6997301
sum, d, c, 64, 262144, 4, 0, 682968
sum, r, h, 64, 262144, 4, 0, 451367
sum, d, h, 64, 262144, 4, 0, 658876
sum, r, c, 64, 262144, 4, 0, 6997089
sum, d, c, 64, 262144, 4, 0, 658443
sum, r, h, 64, 262144, 4, 0, 445617
sum, d, h, 64, 262144, 4, 0, 671699
sum, r, c, 64, 262144, 4, 0, 6996840
sum, d, c, 64, 262144, 4, 0, 658201
sum, r, h, 64, 262144, 4, 0, 447386
sum, d, h, 64, 262144, 4, 0, 657728
sum, r, c, 64, 262144, 4, 0, 6996776
sum, d, c, 64, 262144, 4, 0, 657435
sum, r, h, 64, 262144, 4, 0, 445723
sum, d, h, 64, 262144, 4, 0, 655148
sum, r, c, 64, 262144, 4, 0, 6997015
sum, d, c, 64, 262144, 4, 0, 658688
sum, r, h, 64, 262144, 4, 0, 471024
sum, d, h, 64, 262144, 4, 0, 655070
sum, r, c, 64, 262144, 4, 0, 6996764
sum, d, c, 64, 262144, 4, 0, 657519
sum, r, h, 64, 262144, 4, 0, 445620
sum, d, h, 64, 262144, 4, 0, 660469
sum, r, c, 64, 262144, 4, 0, 6997309
sum, d, c, 64, 262144, 4, 0, 657519
sum, r, h, 64, 262144, 4, 0, 445890
sum, d, h, 64, 262144, 4, 0, 656464
sum, r, c, 64, 262144, 4, 0, 6997166
sum, d, c, 64, 262144, 4, 0, 698461
sum, r, h, 64, 262144, 4, 0, 446259
sum, d, h, 64, 262144, 4, 0, 656247
sum, r, c, 64, 262144, 4, 0, 6996724
sum, d, c, 64, 262144, 4, 0, 700759
sum, r, h, 64, 262144, 4, 0, 447513
sum, d, h, 64, 262144, 4, 0, 693047
sum, r, c, 64, 262144, 4, 0, 6996769
sum, d, c, 64, 262144, 4, 0, 655372
sum, r, h, 64, 262144, 4, 0, 445041
sum, d, h, 64, 262144, 4, 0, 655271
sum, r, c, 64, 262144, 4, 0, 6996933
sum, d, c, 64, 262144, 4, 0, 671410
sum, r, h, 64, 262144, 4, 0, 446999
sum, d, h, 64, 262144, 4, 0, 655295
sum, r, c, 64, 262144, 4, 0, 6996875
sum, d, c, 64, 262144, 4, 0, 655651
sum, r, h, 64, 262144, 4, 0, 444805
sum, d, h, 64, 262144, 4, 0, 690115
sum, r, c, 64, 262144, 4, 0, 6996744
sum, d, c, 64, 262144, 4, 0, 656807
sum, r, h, 64, 262144, 4, 0, 447260
sum, d, h, 64, 262144, 4, 0, 673355
sum, r, c, 64, 262144, 4, 0, 6996815
sum, d, c, 64, 262144, 4, 0, 681996
sum, r, h, 64, 262144, 4, 0, 448995
sum, d, h, 64, 262144, 4, 0, 656086
sum, r, c, 64, 262144, 4, 0, 6997023
sum, d, c, 64, 262144, 4, 0, 658293
sum, r, h, 64, 262144, 4, 0, 446747
sum, d, h, 64, 262144, 4, 0, 655324
sum, r, c, 64, 262144, 4, 0, 6996914
sum, d, c, 64, 262144, 4, 0, 656478
sum, r, h, 64, 262144, 4, 0, 444943
sum, d, h, 64, 262144, 4, 0, 655787
sum, r, c, 64, 262144, 4, 0, 6996784
sum, d, c, 64, 262144, 4, 0, 671861
sum, r, h, 64, 262144, 4, 0, 444569
sum, d, h, 64, 262144, 4, 0, 655993
sum, r, c, 64, 262144, 4, 0, 6996718
sum, d, c, 64, 262144, 4, 0, 657561
sum, r, h, 64, 262144, 4, 0, 461918
sum, d, h, 64, 262144, 4, 0, 656790
sum, r, c, 64, 262144, 4, 0, 6996756
sum, d, c, 64, 262144, 4, 0, 655645
sum, r, h, 64, 262144, 4, 0, 450718
sum, d, h, 64, 262144, 4, 0, 656046
sum, r, c, 64, 262144, 4, 0, 6996666
sum, d, c, 64, 262144, 4, 0, 658386
sum, r, h, 64, 262144, 4, 0, 446715
sum, d, h, 64, 262144, 4, 0, 655297
sum, r, c, 64, 262144, 4, 0, 6996814
sum, d, c, 64, 262144, 4, 0, 656257
sum, r, h, 64, 262144, 4, 0, 445797
sum, d, h, 64, 262144, 4, 0, 657896
sum, r, c, 64, 262144, 4, 0, 6996719
sum, d, c, 64, 262144, 4, 0, 655840
sum, r, h, 64, 262144, 4, 0, 450192
sum, d, h, 64, 262144, 4, 0, 658098
sum, r, c, 64, 262144, 4, 0, 6996784
sum, d, c, 64, 262144, 4, 0, 655982
sum, r, h, 64, 262144, 4, 0, 444851
sum, d, h, 64, 262144, 4, 0, 655325
sum, r, c, 64, 262144, 4, 0, 6996626
sum, d, c, 64, 262144, 4, 0, 658127
sum, r, h, 64, 262144, 4, 0, 467066
sum, d, h, 64, 262144, 4, 0, 660243
sum, r, c, 64, 262144, 4, 0, 6996777
sum, d, c, 64, 262144, 4, 0, 657605
sum, r, h, 64, 262144, 4, 0, 447408
sum, d, h, 64, 262144, 4, 0, 658652
sum, r, c, 64, 262144, 4, 0, 6996756
sum, d, c, 64, 262144, 4, 0, 656284
sum, r, h, 64, 262144, 4, 0, 447405
sum, d, h, 64, 262144, 4, 0, 655266
sum, r, c, 64, 262144, 4, 0, 6996703
sum, d, c, 64, 262144, 4, 0, 692320
sum, r, h, 64, 262144, 4, 0, 469999
sum, d, h, 64, 262144, 4, 0, 671002
sum, r, c, 64, 262144, 4, 0, 6996717
sum, d, c, 64, 262144, 4, 0, 656081
sum, r, h, 64, 262144, 4, 0, 446248
sum, d, h, 64, 262144, 4, 0, 667074
sum, r, c, 64, 262144, 4, 1, 6996864
sum, d, c, 64, 262144, 4, 1, 659661
sum, r, h, 64, 262144, 4, 1, 444780
sum, d, h, 64, 262144, 4, 1, 692077
sum, r, c, 64, 262144, 4, 1, 6996731
sum, d, c, 64, 262144, 4, 1, 692122
sum, r, h, 64, 262144, 4, 1, 444632
sum, d, h, 64, 262144, 4, 1, 656713
sum, r, c, 64, 262144, 4, 1, 6996850
sum, d, c, 64, 262144, 4, 1, 682268
sum, r, h, 64, 262144, 4, 1, 446470
sum, d, h, 64, 262144, 4, 1, 676742
sum, r, c, 64, 262144, 4, 1, 6996732
sum, d, c, 64, 262144, 4, 1, 657098
sum, r, h, 64, 262144, 4, 1, 445741
sum, d, h, 64, 262144, 4, 1, 659779
sum, r, c, 64, 262144, 4, 1, 6996809
sum, d, c, 64, 262144, 4, 1, 663719
sum, r, h, 64, 262144, 4, 1, 447451
sum, d, h, 64, 262144, 4, 1, 673642
sum, r, c, 64, 262144, 4, 1, 6996695
sum, d, c, 64, 262144, 4, 1, 662458
sum, r, h, 64, 262144, 4, 1, 446401
sum, d, h, 64, 262144, 4, 1, 671058
sum, r, c, 64, 262144, 4, 1, 6996810
sum, d, c, 64, 262144, 4, 1, 656392
sum, r, h, 64, 262144, 4, 1, 446401
sum, d, h, 64, 262144, 4, 1, 657100
sum, r, c, 64, 262144, 4, 1, 6996734
sum, d, c, 64, 262144, 4, 1, 655247
sum, r, h, 64, 262144, 4, 1, 444753
sum, d, h, 64, 262144, 4, 1, 655681
sum, r, c, 64, 262144, 4, 1, 6996954
sum, d, c, 64, 262144, 4, 1, 658723
sum, r, h, 64, 262144, 4, 1, 445123
sum, d, h, 64, 262144, 4, 1, 655222
sum, r, c, 64, 262144, 4, 1, 6996968
sum, d, c, 64, 262144, 4, 1, 655324
sum, r, h, 64, 262144, 4, 1, 444599
sum, d, h, 64, 262144, 4, 1, 654912
sum, r, c, 64, 262144, 4, 1, 6997405
sum, d, c, 64, 262144, 4, 1, 661547
sum, r, h, 64, 262144, 4, 1, 445989
sum, d, h, 64, 262144, 4, 1, 661231
sum, r, c, 64, 262144, 4, 1, 6996815
sum, d, c, 64, 262144, 4, 1, 688857
sum, r, h, 64, 262144, 4, 1, 446154
sum, d, h, 64, 262144, 4, 1, 657196
sum, r, c, 64, 262144, 4, 1, 6996783
sum, d, c, 64, 262144, 4, 1, 655681
sum, r, h, 64, 262144, 4, 1, 445019
sum, d, h, 64, 262144, 4, 1, 655642
sum, r, c, 64, 262144, 4, 1, 6996714
sum, d, c, 64, 262144, 4, 1, 655747
sum, r, h, 64, 262144, 4, 1, 444942
sum, d, h, 64, 262144, 4, 1, 657819
sum, r, c, 64, 262144, 4, 1, 6996723
sum, d, c, 64, 262144, 4, 1, 690701
sum, r, h, 64, 262144, 4, 1, 447270
sum, d, h, 64, 262144, 4, 1, 670805
sum, r, c, 64, 262144, 4, 1, 6996712
sum, d, c, 64, 262144, 4, 1, 657832
sum, r, h, 64, 262144, 4, 1, 462580
sum, d, h, 64, 262144, 4, 1, 694985
sum, r, c, 64, 262144, 4, 1, 6996911
sum, d, c, 64, 262144, 4, 1, 660356
sum, r, h, 64, 262144, 4, 1, 447894
sum, d, h, 64, 262144, 4, 1, 660642
sum, r, c, 64, 262144, 4, 1, 6996852
sum, d, c, 64, 262144, 4, 1, 657000
sum, r, h, 64, 262144, 4, 1, 447159
sum, d, h, 64, 262144, 4, 1, 657070
sum, r, c, 64, 262144, 4, 1, 6996699
sum, d, c, 64, 262144, 4, 1, 655748
sum, r, h, 64, 262144, 4, 1, 452067
sum, d, h, 64, 262144, 4, 1, 657053
sum, r, c, 64, 262144, 4, 1, 6997222
sum, d, c, 64, 262144, 4, 1, 658953
sum, r, h, 64, 262144, 4, 1, 461958
sum, d, h, 64, 262144, 4, 1, 654907
sum, r, c, 64, 262144, 4, 1, 6996856
sum, d, c, 64, 262144, 4, 1, 656099
sum, r, h, 64, 262144, 4, 1, 446730
sum, d, h, 64, 262144, 4, 1, 658875
sum, r, c, 64, 262144, 4, 1, 6996736
sum, d, c, 64, 262144, 4, 1, 680278
sum, r, h, 64, 262144, 4, 1, 444554
sum, d, h, 64, 262144, 4, 1, 655369
sum, r, c, 64, 262144, 4, 1, 6997527
sum, d, c, 64, 262144, 4, 1, 668115
sum, r, h, 64, 262144, 4, 1, 446880
sum, d, h, 64, 262144, 4, 1, 658527
sum, r, c, 64, 262144, 4, 1, 6996949
sum, d, c, 64, 262144, 4, 1, 676780
sum, r, h, 64, 262144, 4, 1, 445038
sum, d, h, 64, 262144, 4, 1, 685791
sum, r, c, 64, 262144, 4, 1, 6996925
sum, d, c, 64, 262144, 4, 1, 655883
sum, r, h, 64, 262144, 4, 1, 446446
sum, d, h, 64, 262144, 4, 1, 657983
sum, r, c, 64, 262144, 4, 1, 6997355
sum, d, c, 64, 262144, 4, 1, 662100
sum, r, h, 64, 262144, 4, 1, 446260
sum, d, h, 64, 262144, 4, 1, 656643
sum, r, c, 64, 262144, 4, 1, 6996909
sum, d, c, 64, 262144, 4, 1, 658048
sum, r, h, 64, 262144, 4, 1, 466736
sum, d, h, 64, 262144, 4, 1, 700186
sum, r, c, 64, 262144, 4, 1, 6997150
sum, d, c, 64, 262144, 4, 1, 657688
sum, r, h, 64, 262144, 4, 1, 444563
sum, d, h, 64, 262144, 4, 1, 655246
sum, r, c, 64, 262144, 4, 1, 6996887
sum, d, c, 64, 262144, 4, 1, 658230
sum, r, h, 64, 262144, 4, 1, 449666
sum, d, h, 64, 262144, 4, 1, 682715
sum, r, c, 64, 262144, 4, 2, 6996895
sum, d, c, 64, 262144, 4, 2, 658353
sum, r, h, 64, 262144, 4, 2, 465671
sum, d, h, 64, 262144, 4, 2, 671827
sum, r, c, 64, 262144, 4, 2, 6996858
sum, d, c, 64, 262144, 4, 2, 658186
sum, r, h, 64, 262144, 4, 2, 446192
sum, d, h, 64, 262144, 4, 2, 686857
sum, r, c, 64, 262144, 4, 2, 6996824
sum, d, c, 64, 262144, 4, 2, 658533
sum, r, h, 64, 262144, 4, 2, 446471
sum, d, h, 64, 262144, 4, 2, 667171
sum, r, c, 64, 262144, 4, 2, 6996903
sum, d, c, 64, 262144, 4, 2, 658913
sum, r, h, 64, 262144, 4, 2, 446341
sum, d, h, 64, 262144, 4, 2, 675116
sum, r, c, 64, 262144, 4, 2, 6996878
sum, d, c, 64, 262144, 4, 2, 663602
sum, r, h, 64, 262144, 4, 2, 446523
sum, d, h, 64, 262144, 4, 2, 655388
sum, r, c, 64, 262144, 4, 2, 6996830
sum, d, c, 64, 262144, 4, 2, 663910
sum, r, h, 64, 262144, 4, 2, 447838
sum, d, h, 64, 262144, 4, 2, 659713
sum, r, c, 64, 262144, 4, 2, 6996897
sum, d, c, 64, 262144, 4, 2, 657975
sum, r, h, 64, 262144, 4, 2, 446301
sum, d, h, 64, 262144, 4, 2, 658098
sum, r, c, 64, 262144, 4, 2, 6996746
sum, d, c, 64, 262144, 4, 2, 656999
sum, r, h, 64, 262144, 4, 2, 444477
sum, d, h, 64, 262144, 4, 2, 655015
