bench, mem, temp, row_size, row_count, col_width, offset, cycles, l1_miss, l1_total, l2_miss, l2_total
q1, dc, c,64,32768,1,0,43857,37,262551,528,1117
q1, dc, c,64,32768,1,0,43858,33,263943,524,1107
q1, dc, c,64,32768,1,0,43848,32,262548,527,1806
q1, dc, c,64,32768,1,0,43848,23,262550,526,1099
q1, dc, c,64,32768,1,0,43861,27,262552,526,1107
q1, dc, c,64,32768,1,0,45664,212,262550,525,1102
q1, dc, c,64,32768,1,0,43850,31,262552,525,1094
q1, dc, c,64,32768,1,0,43850,34,263997,526,1106
q1, dc, c,64,32768,1,0,43884,27,262552,526,1107
q1, dc, c,64,32768,1,0,43882,31,262554,526,1098
q1, dc, c,64,32768,1,0,43872,39,263833,528,1109
q1, dc, c,64,32768,1,0,43847,37,262552,529,1105
q1, dc, c,64,32768,1,0,43857,31,262552,526,1113
q1, dc, c,64,32768,1,0,43854,35,262550,523,1098
q1, dc, c,64,32768,1,0,43894,35,262552,528,1109
q1, dc, c,64,32768,1,0,43850,38,262552,525,1109
q1, dc, c,64,32768,1,0,43860,32,262554,523,1097
q1, dc, c,64,32768,1,0,43848,33,262551,526,1097
q1, dc, c,64,32768,1,0,43862,36,262553,526,1117
q1, dc, c,64,32768,1,0,43863,32,262552,527,1103
q1, dc, c,64,32768,1,0,43850,36,262552,525,1124
q1, dc, c,64,32768,1,0,43847,35,262552,522,1095
q1, dc, c,64,32768,1,0,43859,34,262552,528,1847
q1, dc, c,64,32768,1,0,43858,28,262551,525,1104
q1, dc, c,64,32768,1,0,43847,29,262551,525,1095
q1, dc, c,64,32768,1,0,43854,25,262551,527,1092
q1, dc, c,64,32768,1,0,43870,33,262550,526,1110
q1, dc, c,64,32768,1,0,43850,33,262552,525,1112
q1, dc, c,64,32768,1,0,43857,25,262551,525,1111
q1, dc, c,64,32768,1,0,43848,21,262550,524,1115
q1, dc, c,64,32768,2,0,51576,207,262554,1039,2122
q1, dc, c,64,32768,2,0,51338,173,262551,1042,2128
q1, dc, c,64,32768,2,0,49417,43,262550,1037,2139
q1, dc, c,64,32768,2,0,49564,42,262552,1037,2129
q1, dc, c,64,32768,2,0,49420,41,262553,1039,2124
q1, dc, c,64,32768,2,0,49425,35,263797,1038,2139
q1, dc, c,64,32768,2,0,49418,41,263877,1036,2142
q1, dc, c,64,32768,2,0,49460,42,264076,1038,2149
q1, dc, c,64,32768,2,0,49429,40,262553,1038,2823
q1, dc, c,64,32768,2,0,49421,37,262552,1037,2139
q1, dc, c,64,32768,2,0,49581,35,262555,1036,2144
