bench, mem, temp, row_size, row_count, col_width, offset, cycles, l1_miss, l1_total, l2_miss, l2_total
q1, r, c,64,32768,1,0,69431,39,262550,523,1106
q1, d, c,64,32768,1,0,85788,645,295315,32858,65817
q1, r, h,64,32768,1,0,45521,191,262549,525,1105
q1, d, h,64,32768,1,0,84194,644,295315,32836,65856
q1, r, c,64,32768,1,0,69447,26,262551,526,1116
q1, d, c,64,32768,1,0,88771,887,295315,32832,65836
q1, r, h,64,32768,1,0,43933,30,262551,521,1102
q1, d, h,64,32768,1,0,84289,645,295316,32825,65860
q1, r, c,64,32768,1,0,69450,34,262550,565,1115
q1, d, c,64,32768,1,0,85159,645,295316,32818,65836
q1, r, h,64,32768,1,0,43917,35,262549,515,2518
q1, d, h,64,32768,1,0,84254,627,295316,32830,65863
q1, r, c,64,32768,1,0,69411,174,264084,525,1101
q1, d, c,64,32768,1,0,85573,642,295318,32841,65846
q1, r, h,64,32768,1,0,43917,23,262552,522,1101
q1, d, h,64,32768,1,0,86581,785,296823,32841,66606
q1, r, c,64,32768,1,0,69432,35,262550,524,1110
q1, d, c,64,32768,1,0,88281,785,295315,32831,65848
q1, r, h,64,32768,1,0,43918,31,262552,510,1112
q1, d, h,64,32768,1,0,84442,638,295315,32834,65805
q1, r, c,64,32768,1,0,69445,39,262552,636,1102
q1, d, c,64,32768,1,0,85691,707,295315,32842,65847
q1, r, h,64,32768,1,0,43927,36,263875,513,1122
q1, d, h,64,32768,1,0,84295,671,295317,32964,65833
q1, r, c,64,32768,1,0,69389,40,262550,525,1091
q1, d, c,64,32768,1,0,85974,622,295316,33275,65847
q1, r, h,64,32768,1,0,43923,38,264068,519,1126
q1, d, h,64,32768,1,0,84552,654,295317,32846,65855
q1, r, c,64,32768,1,0,69416,37,262550,523,1113
q1, d, c,64,32768,1,0,85923,691,296656,32838,65838
q1, r, h,64,32768,1,0,43922,37,262549,521,2559
q1, d, h,64,32768,1,0,84242,625,295317,32842,65855
q1, r, c,64,32768,1,0,71161,181,262551,522,1121
q1, d, c,64,32768,1,0,86612,684,295315,32831,65945
