bench, mem, temp, row_size, row_count, col_width, cycles,l1_acc,l1_refills,l2_acc,l2_refills,inst_retired
q2_new, r, c,64,43690,1,84528,393698,34,2774,1378,787208
q2_new, r, h,64,43690,1,90637,422398,34,2777,183,833128
q2_new, d, -,64,43690,1,147145,653057,811,87655,43752,1175969
q2_new, r, c,64,43690,1,131514,609318,27,2762,1376,1132200
q2_new, r, h,64,43690,1,131082,609318,36,2777,181,1132200
q2_new, d, -,64,43690,1,149681,653057,821,87675,43752,1175970
q2_new, r, c,64,43690,1,134493,609318,77,2783,1377,1132201
q2_new, r, h,64,43690,1,131077,609318,33,2744,132,1132200
q2_new, d, -,64,43690,1,150029,653058,815,87665,43746,1175971
q2_new, r, c,64,43690,1,131511,609318,38,2783,1377,1132200
q2_new, r, h,64,43690,1,131121,609318,35,2776,238,1132200
q2_new, d, -,64,43690,1,151352,653057,807,87655,43745,1175971
q2_new, r, c,64,43690,1,133863,609319,43,2792,1378,1132202
q2_new, r, h,64,43690,1,131153,609318,39,2759,252,1132200
q2_new, d, -,64,43690,1,147228,653057,811,87673,43757,1175969
q2_new, r, c,64,43690,1,133355,609319,40,2787,1377,1132203
q2_new, r, h,64,43690,1,131085,609318,36,2774,266,1132200
q2_new, d, -,64,43690,1,147246,653057,807,87649,43756,1175969
q2_new, r, c,64,43690,1,131518,609318,32,2769,1376,1132200
q2_new, r, h,64,43690,1,131177,609318,37,2773,229,1132200
q2_new, d, -,64,43690,1,149912,653057,814,87666,43749,1175970
q2_new, r, c,64,43690,1,133526,609318,39,2793,1377,1132202
q2_new, r, h,64,43690,1,131095,609318,34,2779,249,1132200
q2_new, d, -,64,43690,1,147288,653057,806,87646,43742,1175969
q2_new, r, c,64,43690,1,131516,609318,32,2771,1378,1132200
q2_new, r, h,64,43690,1,132854,609318,44,2796,304,1132201
q2_new, d, -,64,43690,1,147095,653057,803,87640,43738,1175969
q2_new, r, c,64,43690,1,131517,609318,37,2778,1377,1132200
q2_new, r, h,64,43690,1,131194,609318,38,2781,250,1132200
q2_new, d, -,64,43690,1,149860,653058,824,87659,43740,1175971
q2_new, r, c,64,43690,2,124212,502518,70,5542,2744,1026865
q2_new, r, h,64,43690,2,121421,512923,60,5519,465,1045592
q2_new, d, -,64,43690,2,176110,655392,804,87643,43757,1354465
q2_new, r, c,64,43690,2,146614,611653,60,5514,2742,1223306
q2_new, r, h,64,43690,2,148370,611654,104,5541,577,1223308
q2_new, d, -,64,43690,2,175945,655392,813,87657,43775,1354465
q2_new, r, c,64,43690,2,146607,611652,59,5514,2742,1223305
q2_new, r, h,64,43690,2,151033,611654,75,5545,452,1223308
q2_new, d, -,64,43690,2,175995,655392,813,87668,43747,1354465
q2_new, r, c,64,43690,2,146612,611653,55,5505,2742,1223306
q2_new, r, h,64,43690,2,145980,611653,57,5508,452,1223306
q2_new, d, -,64,43690,2,181824,655392,821,87673,43759,1354466
q2_new, r, c,64,43690,2,148722,611653,66,5533,2742,1223309
q2_new, r, h,64,43690,2,145887,611653,58,5486,603,1223306
q2_new, d, -,64,43690,2,183811,655392,821,87696,43784,1354466
q2_new, r, c,64,43690,2,148667,611654,61,5516,2743,1223308
q2_new, r, h,64,43690,2,145817,611653,59,5475,489,1223306
q2_new, d, -,64,43690,2,176084,655392,807,87647,43763,1354465
q2_new, r, c,64,43690,2,146610,611652,51,5502,2742,1223305
