bench, mem, temp, row_size, row_count, col_width, perf_l2_total
q1_new, r, c, 64, 32768, 1, 4020
q1_new, r, h, 64, 32768, 1, 3690
q1_new, d, -, 64, 32768, 1, 65800
q1_new, c, -, 64, 32768, 1, 4753
q1_new, r, c, 64, 32768, 1, 3194
q1_new, r, h, 64, 32768, 1, 4080
q1_new, d, -, 64, 32768, 1, 65827
q1_new, c, -, 64, 32768, 1, 5366
q1_new, r, c, 64, 32768, 1, 3176
q1_new, r, h, 64, 32768, 1, 3948
q1_new, d, -, 64, 32768, 1, 65818
q1_new, c, -, 64, 32768, 1, 4771
q1_new, r, c, 64, 32768, 1, 3178
q1_new, r, h, 64, 32768, 1, 4116
q1_new, d, -, 64, 32768, 1, 65818
q1_new, c, -, 64, 32768, 1, 4976
q1_new, r, c, 64, 32768, 1, 3194
q1_new, r, h, 64, 32768, 1, 3855
q1_new, d, -, 64, 32768, 1, 65840
q1_new, c, -, 64, 32768, 1, 4692
q1_new, r, c, 64, 32768, 1, 3197
q1_new, r, h, 64, 32768, 1, 3846
q1_new, d, -, 64, 32768, 1, 65818
q1_new, c, -, 64, 32768, 1, 4682
q1_new, r, c, 64, 32768, 1, 3186
q1_new, r, h, 64, 32768, 1, 3875
q1_new, d, -, 64, 32768, 1, 65904
q1_new, c, -, 64, 32768, 1, 4589
q1_new, r, c, 64, 32768, 1, 3166
q1_new, r, h, 64, 32768, 1, 3901
q1_new, d, -, 64, 32768, 1, 66248
q1_new, c, -, 64, 32768, 1, 4150
q1_new, r, c, 64, 32768, 1, 3170
q1_new, r, h, 64, 32768, 1, 3880
q1_new, d, -, 64, 32768, 1, 66376
q1_new, c, -, 64, 32768, 1, 4185
q1_new, r, c, 64, 32768, 1, 3177
q1_new, r, h, 64, 32768, 1, 3810
q1_new, d, -, 64, 32768, 1, 66280
q1_new, c, -, 64, 32768, 1, 4397
q1_new, r, c, 64, 32768, 1, 3186
q1_new, r, h, 64, 32768, 1, 3824
q1_new, d, -, 64, 32768, 1, 66244
q1_new, c, -, 64, 32768, 1, 4447
q1_new, r, c, 64, 32768, 1, 3175
q1_new, r, h, 64, 32768, 1, 3916
q1_new, d, -, 64, 32768, 1, 66250
q1_new, c, -, 64, 32768, 1, 4169
q1_new, r, c, 64, 32768, 1, 3187
q1_new, r, h, 64, 32768, 1, 4532
q1_new, d, -, 64, 32768, 1, 66433
q1_new, c, -, 64, 32768, 1, 4506
q1_new, r, c, 64, 32768, 1, 3191
q1_new, r, h, 64, 32768, 1, 4039
q1_new, d, -, 64, 32768, 1, 66451
q1_new, c, -, 64, 32768, 1, 5303
q1_new, r, c, 64, 32768, 1, 3992
q1_new, r, h, 64, 32768, 1, 3101
q1_new, d, -, 64, 32768, 1, 66608
q1_new, c, -, 64, 32768, 1, 4158
q1_new, r, c, 64, 32768, 1, 4719
q1_new, r, h, 64, 32768, 1, 3073
q1_new, d, -, 64, 32768, 1, 66452
q1_new, c, -, 64, 32768, 1, 4118
q1_new, r, c, 64, 32768, 1, 3894
q1_new, r, h, 64, 32768, 1, 3041
q1_new, d, -, 64, 32768, 1, 66341
q1_new, c, -, 64, 32768, 1, 4189
q1_new, r, c, 64, 32768, 1, 3919
q1_new, r, h, 64, 32768, 1, 3031
q1_new, d, -, 64, 32768, 1, 66333
q1_new, c, -, 64, 32768, 1, 4655
q1_new, r, c, 64, 32768, 1, 3857
q1_new, r, h, 64, 32768, 1, 3140
q1_new, d, -, 64, 32768, 1, 66530
q1_new, c, -, 64, 32768, 1, 4869
q1_new, r, c, 64, 32768, 1, 4097
q1_new, r, h, 64, 32768, 1, 3777
q1_new, d, -, 64, 32768, 1, 65805
q1_new, c, -, 64, 32768, 1, 4644
q1_new, r, c, 64, 32768, 1, 3178
q1_new, r, h, 64, 32768, 1, 3853
q1_new, d, -, 64, 32768, 1, 65794
q1_new, c, -, 64, 32768, 1, 4935
q1_new, r, c, 64, 32768, 1, 3180
q1_new, r, h, 64, 32768, 1, 3767
q1_new, d, -, 64, 32768, 1, 66389
q1_new, c, -, 64, 32768, 1, 4459
q1_new, r, c, 64, 32768, 1, 3161
q1_new, r, h, 64, 32768, 1, 3750
q1_new, d, -, 64, 32768, 1, 66431
q1_new, c, -, 64, 32768, 1, 4101
q1_new, r, c, 64, 32768, 1, 3905
q1_new, r, h, 64, 32768, 1, 3018
q1_new, d, -, 64, 32768, 1, 66437
q1_new, c, -, 64, 32768, 1, 4121
q1_new, r, c, 64, 32768, 1, 3931
q1_new, r, h, 64, 32768, 1, 3035
q1_new, d, -, 64, 32768, 1, 66514
q1_new, c, -, 64, 32768, 1, 4429
q1_new, r, c, 64, 32768, 1, 3888
q1_new, r, h, 64, 32768, 1, 3038
q1_new, d, -, 64, 32768, 1, 66546
q1_new, c, -, 64, 32768, 1, 4228
q1_new, r, c, 64, 32768, 1, 3982
q1_new, r, h, 64, 32768, 1, 3067
q1_new, d, -, 64, 32768, 1, 66374
q1_new, c, -, 64, 32768, 1, 5343
q1_new, r, c, 64, 32768, 1, 4071
q1_new, r, h, 64, 32768, 1, 3169
q1_new, d, -, 64, 32768, 1, 67056
q1_new, c, -, 64, 32768, 1, 4857
q1_new, r, c, 64, 32768, 1, 3854
q1_new, r, h, 64, 32768, 1, 3616
q1_new, d, -, 64, 32768, 1, 65836
q1_new, c, -, 64, 32768, 1, 4728
q1_new, r, c, 64, 32768, 1, 3193
q1_new, r, h, 64, 32768, 1, 3814
q1_new, d, -, 64, 32768, 1, 65790
q1_new, c, -, 64, 32768, 1, 4731
q1_new, r, c, 64, 32768, 2, 6969
q1_new, r, h, 64, 32768, 2, 6770
q1_new, d, -, 64, 32768, 2, 65801
q1_new, c, -, 64, 32768, 2, 9068
q1_new, r, c, 64, 32768, 2, 6261
q1_new, r, h, 64, 32768, 2, 6905
q1_new, d, -, 64, 32768, 2, 66363
q1_new, c, -, 64, 32768, 2, 8279
q1_new, r, c, 64, 32768, 2, 6256
q1_new, r, h, 64, 32768, 2, 6934
q1_new, d, -, 64, 32768, 2, 66331
q1_new, c, -, 64, 32768, 2, 8049
q1_new, r, c, 64, 32768, 2, 6271
q1_new, r, h, 64, 32768, 2, 6946
q1_new, d, -, 64, 32768, 2, 66352
q1_new, c, -, 64, 32768, 2, 8074
q1_new, r, c, 64, 32768, 2, 7010
q1_new, r, h, 64, 32768, 2, 6212
q1_new, d, -, 64, 32768, 2, 66500
q1_new, c, -, 64, 32768, 2, 8253
q1_new, r, c, 64, 32768, 2, 7005
