bench,  mem, temp, row_size, row_count, col_width, perf_l1_total, perf_l1_miss, perf_l2_total, perf_l2_miss
q1_new,  r, c, 64, 32768, 1, 1212813, 248, 4020, 1613
q1_new,  r, h, 64, 32768, 1, 1214296, 601, 3690, 92
q1_new,  d, -, 64, 32768, 1, 1409419, 628, 65800, 32813
q1_new,  c, -, 64, 32768, 1, 690132, 1030, 4753, 1720
q1_new,  r, c, 64, 32768, 1, 1212813, 54, 3194, 1595
q1_new,  r, h, 64, 32768, 1, 1214431, 319, 4080, 71
q1_new,  d, -, 64, 32768, 1, 1409421, 642, 65827, 32783
q1_new,  c, -, 64, 32768, 1, 689872, 1178, 5366, 1709
q1_new,  r, c, 64, 32768, 1, 1212813, 62, 3176, 1536
q1_new,  r, h, 64, 32768, 1, 1214640, 280, 3948, 478
q1_new,  d, -, 64, 32768, 1, 1409421, 638, 65818, 32854
q1_new,  c, -, 64, 32768, 1, 689997, 1213, 4771, 1661
q1_new,  r, c, 64, 32768, 1, 1212814, 54, 3178, 1547
q1_new,  r, h, 64, 32768, 1, 1214303, 351, 4116, 113
q1_new,  d, -, 64, 32768, 1, 1409419, 635, 65818, 32772
q1_new,  c, -, 64, 32768, 1, 690213, 1121, 4976, 1655
q1_new,  r, c, 64, 32768, 1, 1212814, 63, 3194, 1550
q1_new,  r, h, 64, 32768, 1, 1215992, 274, 3855, 81
q1_new,  d, -, 64, 32768, 1, 1409420, 641, 65840, 32779
q1_new,  c, -, 64, 32768, 1, 690191, 1192, 4692, 1641
q1_new,  r, c, 64, 32768, 1, 1212812, 55, 3197, 1511
q1_new,  r, h, 64, 32768, 1, 1214637, 511, 3846, 101
q1_new,  d, -, 64, 32768, 1, 1409420, 639, 65818, 32785
q1_new,  c, -, 64, 32768, 1, 690057, 1036, 4682, 1680
q1_new,  r, c, 64, 32768, 1, 1212813, 57, 3186, 1548
q1_new,  r, h, 64, 32768, 1, 1214427, 363, 3875, 96
q1_new,  d, -, 64, 32768, 1, 1411081, 633, 65904, 32765
q1_new,  c, -, 64, 32768, 1, 688521, 1168, 4589, 1662
q1_new,  r, c, 64, 32768, 1, 1212814, 56, 3166, 1525
q1_new,  r, h, 64, 32768, 1, 1214641, 290, 3901, 97
q1_new,  d, -, 64, 32768, 1, 1411096, 640, 66248, 32917
q1_new,  c, -, 64, 32768, 1, 688521, 1175, 4150, 1534
q1_new,  r, c, 64, 32768, 1, 1212813, 62, 3170, 1494
q1_new,  r, h, 64, 32768, 1, 1214293, 411, 3880, 125
q1_new,  d, -, 64, 32768, 1, 1410825, 800, 66376, 32953
q1_new,  c, -, 64, 32768, 1, 688521, 871, 4185, 1540
q1_new,  r, c, 64, 32768, 1, 1212815, 56, 3177, 1539
q1_new,  r, h, 64, 32768, 1, 1214571, 349, 3810, 118
q1_new,  d, -, 64, 32768, 1, 1412256, 833, 66280, 33178
q1_new,  c, -, 64, 32768, 1, 688521, 1000, 4397, 1539
q1_new,  r, c, 64, 32768, 1, 1212814, 56, 3186, 1512
q1_new,  r, h, 64, 32768, 1, 1214006, 249, 3824, 211
q1_new,  d, -, 64, 32768, 1, 1411000, 764, 66244, 32947
q1_new,  c, -, 64, 32768, 1, 688522, 847, 4447, 1539
q1_new,  r, c, 64, 32768, 1, 1212815, 60, 3175, 1537
q1_new,  r, h, 64, 32768, 1, 1213993, 268, 3916, 108
q1_new,  d, -, 64, 32768, 1, 1410743, 856, 66250, 33125
q1_new,  c, -, 64, 32768, 1, 688522, 849, 4169, 1534
q1_new,  r, c, 64, 32768, 1, 1212812, 61, 3187, 1540
q1_new,  r, h, 64, 32768, 1, 1214294, 395, 4532, 143
q1_new,  d, -, 64, 32768, 1, 1411026, 842, 66433, 32874
q1_new,  c, -, 64, 32768, 1, 688523, 894, 4506, 1534
q1_new,  r, c, 64, 32768, 1, 1212812, 55, 3191, 1544
q1_new,  r, h, 64, 32768, 1, 1214155, 223, 4039, 134
q1_new,  d, -, 64, 32768, 1, 1411049, 834, 66451, 32884
q1_new,  c, -, 64, 32768, 1, 688522, 884, 5303, 1538
q1_new,  r, c, 64, 32768, 1, 1212814, 53, 3992, 1513
q1_new,  r, h, 64, 32768, 1, 1214294, 360, 3101, 137
q1_new,  d, -, 64, 32768, 1, 1410975, 772, 66608, 32922
q1_new,  c, -, 64, 32768, 1, 688522, 863, 4158, 1531
q1_new,  r, c, 64, 32768, 1, 1212815, 55, 4719, 1551
q1_new,  r, h, 64, 32768, 1, 1214275, 305, 3073, 161
q1_new,  d, -, 64, 32768, 1, 1411232, 786, 66452, 32915
q1_new,  c, -, 64, 32768, 1, 688522, 892, 4118, 1540
q1_new,  r, c, 64, 32768, 1, 1219797, 50, 3894, 1544
q1_new,  r, h, 64, 32768, 1, 1212812, 488, 3041, 190
q1_new,  d, -, 64, 32768, 1, 1410911, 810, 66341, 32902
