bench, mem, temp, row_size, row_count, col_count, cycles
q1, r, c, 64, 32768, 4, 96338
q1, r, h, 64, 32768, 4, 95747
q1, d, -, 64, 32768, 4, 147443
q1, c, -, 64, 32768, 4, 174302
q1, r, c, 64, 32768, 4, 96338
q1, r, h, 64, 32768, 4, 98298
q1, d, -, 64, 32768, 4, 147315
q1, c, -, 64, 32768, 4, 171039
q1, r, c, 64, 32768, 4, 96341
q1, r, h, 64, 32768, 4, 95708
q1, d, -, 64, 32768, 4, 162012
q1, c, -, 64, 32768, 4, 170675
q1, r, c, 64, 32768, 4, 96338
q1, r, h, 64, 32768, 4, 97796
q1, d, -, 64, 32768, 4, 147384
q1, c, -, 64, 32768, 4, 170349
q1, r, c, 64, 32768, 4, 96355
q1, r, h, 64, 32768, 4, 95810
q1, d, -, 64, 32768, 4, 147509
q1, c, -, 64, 32768, 4, 172560
q1, r, c, 64, 32768, 4, 96340
q1, r, h, 64, 32768, 4, 95710
q1, d, -, 64, 32768, 4, 150330
q1, c, -, 64, 32768, 4, 169081
q1, r, c, 64, 32768, 4, 96336
q1, r, h, 64, 32768, 4, 98385
q1, d, -, 64, 32768, 4, 147511
q1, c, -, 64, 32768, 4, 170650
q1, r, c, 64, 32768, 4, 101437
q1, r, h, 64, 32768, 4, 95741
q1, d, -, 64, 32768, 4, 147621
q1, c, -, 64, 32768, 4, 172609
q1, r, c, 64, 32768, 4, 99214
q1, r, h, 64, 32768, 4, 95747
q1, d, -, 64, 32768, 4, 147739
q1, c, -, 64, 32768, 4, 172450
q1, r, c, 64, 32768, 4, 98265
q1, r, h, 64, 32768, 4, 95812
q1, d, -, 64, 32768, 4, 147348
q1, c, -, 64, 32768, 4, 171764
q1, r, c, 64, 32768, 4, 96341
q1, r, h, 64, 32768, 4, 95735
q1, d, -, 64, 32768, 4, 147595
q1, c, -, 64, 32768, 4, 172543
q1, r, c, 64, 32768, 4, 99127
q1, r, h, 64, 32768, 4, 95767
q1, d, -, 64, 32768, 4, 147501
q1, c, -, 64, 32768, 4, 186596
q1, r, c, 64, 32768, 4, 96375
q1, r, h, 64, 32768, 4, 95864
q1, d, -, 64, 32768, 4, 184750
q1, c, -, 64, 32768, 4, 171280
q1, r, c, 64, 32768, 4, 100806
q1, r, h, 64, 32768, 4, 95742
q1, d, -, 64, 32768, 4, 147369
q1, c, -, 64, 32768, 4, 172594
q1, r, c, 64, 32768, 4, 96347
q1, r, h, 64, 32768, 4, 95712
q1, d, -, 64, 32768, 4, 150080
q1, c, -, 64, 32768, 4, 170493
q1, r, c, 64, 32768, 4, 96368
q1, r, h, 64, 32768, 4, 97964
q1, d, -, 64, 32768, 4, 147605
q1, c, -, 64, 32768, 4, 170491
q1, r, c, 64, 32768, 4, 96351
q1, r, h, 64, 32768, 4, 95695
q1, d, -, 64, 32768, 4, 150171
q1, c, -, 64, 32768, 4, 170435
q1, r, c, 64, 32768, 4, 96345
q1, r, h, 64, 32768, 4, 98114
q1, d, -, 64, 32768, 4, 147465
q1, c, -, 64, 32768, 4, 171981
q1, r, c, 64, 32768, 4, 96343
