q1, r, c, 1024, 32768, 1, 96337
q1, r, h, 1024, 32768, 1, 97934
q1, d, -, 1024, 32768, 1, 509710
q1, c, -, 1024, 32768, 1, 170572
q1, r, c, 1024, 32768, 1, 99531
q1, r, h, 1024, 32768, 1, 95731
q1, d, -, 1024, 32768, 1, 509713
q1, c, -, 1024, 32768, 1, 171060
q1, r, c, 1024, 32768, 1, 96368
q1, r, h, 1024, 32768, 1, 95847
q1, d, -, 1024, 32768, 1, 510456
q1, c, -, 1024, 32768, 1, 170531
q1, r, c, 1024, 32768, 1, 96353
q1, r, h, 1024, 32768, 1, 98199
q1, d, -, 1024, 32768, 1, 510055
q1, c, -, 1024, 32768, 1, 171623
q1, r, c, 1024, 32768, 1, 99426
q1, r, h, 1024, 32768, 1, 95779
q1, d, -, 1024, 32768, 1, 510524
q1, c, -, 1024, 32768, 1, 172875
q1, r, c, 1024, 32768, 1, 96352
q1, r, h, 1024, 32768, 1, 97780
q1, d, -, 1024, 32768, 1, 529297
q1, c, -, 1024, 32768, 1, 170972
q1, r, c, 1024, 32768, 1, 96365
q1, r, h, 1024, 32768, 1, 95713
q1, d, -, 1024, 32768, 1, 514273
q1, c, -, 1024, 32768, 1, 170109
q1, r, c, 1024, 32768, 1, 98675
q1, r, h, 1024, 32768, 1, 95772
q1, d, -, 1024, 32768, 1, 509966
q1, c, -, 1024, 32768, 1, 172112
q1, r, c, 1024, 32768, 1, 96346
q1, r, h, 1024, 32768, 1, 95741
q1, d, -, 1024, 32768, 1, 510363
q1, c, -, 1024, 32768, 1, 171440
q1, r, c, 1024, 32768, 1, 96364
q1, r, h, 1024, 32768, 1, 95903
q1, d, -, 1024, 32768, 1, 511598
q1, c, -, 1024, 32768, 1, 172363
q1, r, c, 1024, 32768, 1, 96343
q1, r, h, 1024, 32768, 1, 98249
q1, d, -, 1024, 32768, 1, 512726
q1, c, -, 1024, 32768, 1, 171862
q1, r, c, 1024, 32768, 1, 96336
q1, r, h, 1024, 32768, 1, 96388
q1, d, -, 1024, 32768, 1, 512420
q1, c, -, 1024, 32768, 1, 171533
q1, r, c, 1024, 32768, 1, 96337
q1, r, h, 1024, 32768, 1, 95736
q1, d, -, 1024, 32768, 1, 512272
q1, c, -, 1024, 32768, 1, 171160
q1, r, c, 1024, 32768, 1, 96354
q1, r, h, 1024, 32768, 1, 95725
q1, d, -, 1024, 32768, 1, 511664
q1, c, -, 1024, 32768, 1, 170683
q1, r, c, 1024, 32768, 1, 96359
q1, r, h, 1024, 32768, 1, 95727
q1, d, -, 1024, 32768, 1, 512825
q1, c, -, 1024, 32768, 1, 171575
q1, r, c, 1024, 32768, 1, 96343
q1, r, h, 1024, 32768, 1, 95821
q1, d, -, 1024, 32768, 1, 512452
q1, c, -, 1024, 32768, 1, 171689
q1, r, c, 1024, 32768, 1, 96349
q1, r, h, 1024, 32768, 1, 95800
q1, d, -, 1024, 32768, 1, 509999
q1, c, -, 1024, 32768, 1, 171737
q1, r, c, 1024, 32768, 1, 99384
q1, r, h, 1024, 32768, 1, 95752
q1, d, -, 1024, 32768, 1, 510649
q1, c, -, 1024, 32768, 1, 171738
q1, r, c, 1024, 32768, 1, 96341
q1, r, h, 1024, 32768, 1, 95831
q1, d, -, 1024, 32768, 1, 510196
q1, c, -, 1024, 32768, 1, 171769
q1, r, c, 1024, 32768, 1, 96339
q1, r, h, 1024, 32768, 1, 97958
q1, d, -, 1024, 32768, 1, 509886
q1, c, -, 1024, 32768, 1, 171782
q1, r, c, 1024, 32768, 1, 96346
q1, r, h, 1024, 32768, 1, 95813
q1, d, -, 1024, 32768, 1, 513881
q1, c, -, 1024, 32768, 1, 169402
q1, r, c, 1024, 32768, 1, 98973
q1, r, h, 1024, 32768, 1, 95743
q1, d, -, 1024, 32768, 1, 510406
q1, c, -, 1024, 32768, 1, 171392
q1, r, c, 1024, 32768, 1, 96335
q1, r, h, 1024, 32768, 1, 95749
q1, d, -, 1024, 32768, 1, 511984
q1, c, -, 1024, 32768, 1, 170232
q1, r, c, 1024, 32768, 1, 98971
q1, r, h, 1024, 32768, 1, 95800
q1, d, -, 1024, 32768, 1, 509667
q1, c, -, 1024, 32768, 1, 171672
q1, r, c, 1024, 32768, 1, 98437
q1, r, h, 1024, 32768, 1, 95769
q1, d, -, 1024, 32768, 1, 511879
q1, c, -, 1024, 32768, 1, 171385
q1, r, c, 1024, 32768, 1, 96358
q1, r, h, 1024, 32768, 1, 95733
q1, d, -, 1024, 32768, 1, 510185
q1, c, -, 1024, 32768, 1, 172215
q1, r, c, 1024, 32768, 1, 96342
q1, r, h, 1024, 32768, 1, 95732
q1, d, -, 1024, 32768, 1, 511192
q1, c, -, 1024, 32768, 1, 171870
q1, r, c, 1024, 32768, 1, 98825
q1, r, h, 1024, 32768, 1, 95803
q1, d, -, 1024, 32768, 1, 510611
q1, c, -, 1024, 32768, 1, 170803
q1, r, c, 1024, 32768, 1, 98985
q1, r, h, 1024, 32768, 1, 95740
q1, d, -, 1024, 32768, 1, 511802
q1, c, -, 1024, 32768, 1, 172879
q1, r, c, 1024, 32768, 1, 96342
q1, r, h, 1024, 32768, 1, 95777
q1, d, -, 1024, 32768, 1, 510465
q1, c, -, 1024, 32768, 1, 170289
q1, r, c, 1024, 32768, 2, 159982
q1, r, h, 1024, 32768, 2, 160907
q1, d, -, 1024, 32768, 2, 621880
q1, c, -, 1024, 32768, 2, 173304
q1, r, c, 1024, 32768, 2, 162322
q1, r, h, 1024, 32768, 2, 159029
q1, d, -, 1024, 32768, 2, 622668
q1, c, -, 1024, 32768, 2, 171670
q1, r, c, 1024, 32768, 2, 159991
q1, r, h, 1024, 32768, 2, 162174
q1, d, -, 1024, 32768, 2, 622472
q1, c, -, 1024, 32768, 2, 172090
q1, r, c, 1024, 32768, 2, 162412
q1, r, h, 1024, 32768, 2, 158942
q1, d, -, 1024, 32768, 2, 622258
q1, c, -, 1024, 32768, 2, 170467
q1, r, c, 1024, 32768, 2, 159987
q1, r, h, 1024, 32768, 2, 159067
q1, d, -, 1024, 32768, 2, 622588
q1, c, -, 1024, 32768, 2, 170035
q1, r, c, 1024, 32768, 2, 164578
q1, r, h, 1024, 32768, 2, 159055
q1, d, -, 1024, 32768, 2, 621618
q1, c, -, 1024, 32768, 2, 170405
q1, r, c, 1024, 32768, 2, 160028
q1, r, h, 1024, 32768, 2, 161543
q1, d, -, 1024, 32768, 2, 620238
q1, c, -, 1024, 32768, 2, 172323
q1, r, c, 1024, 32768, 2, 160001
q1, r, h, 1024, 32768, 2, 160976
q1, d, -, 1024, 32768, 2, 620309
q1, c, -, 1024, 32768, 2, 172576
q1, r, c, 1024, 32768, 2, 159985
q1, r, h, 1024, 32768, 2, 159346
q1, d, -, 1024, 32768, 2, 621906
q1, c, -, 1024, 32768, 2, 171383
q1, r, c, 1024, 32768, 2, 159985
q1, r, h, 1024, 32768, 2, 160236
q1, d, -, 1024, 32768, 2, 620263
q1, c, -, 1024, 32768, 2, 172320
q1, r, c, 1024, 32768, 2, 160002
q1, r, h, 1024, 32768, 2, 158803
q1, d, -, 1024, 32768, 2, 621698
q1, c, -, 1024, 32768, 2, 171464
q1, r, c, 1024, 32768, 2, 162421
q1, r, h, 1024, 32768, 2, 159030
q1, d, -, 1024, 32768, 2, 624350
q1, c, -, 1024, 32768, 2, 170295
q1, r, c, 1024, 32768, 2, 162569
q1, r, h, 1024, 32768, 2, 158975
q1, d, -, 1024, 32768, 2, 626173
q1, c, -, 1024, 32768, 2, 171300
q1, r, c, 1024, 32768, 2, 160010
q1, r, h, 1024, 32768, 2, 158844
q1, d, -, 1024, 32768, 2, 620957
q1, c, -, 1024, 32768, 2, 170229
q1, r, c, 1024, 32768, 2, 162184
q1, r, h, 1024, 32768, 2, 158957
q1, d, -, 1024, 32768, 2, 621761
q1, c, -, 1024, 32768, 2, 170894
q1, r, c, 1024, 32768, 2, 159998
q1, r, h, 1024, 32768, 2, 158993
q1, d, -, 1024, 32768, 2, 620853
q1, c, -, 1024, 32768, 2, 172462
q1, r, c, 1024, 32768, 2, 162288
q1, r, h, 1024, 32768, 2, 159009
q1, d, -, 1024, 32768, 2, 621102
q1, c, -, 1024, 32768, 2, 170498
q1, r, c, 1024, 32768, 2, 159986
q1, r, h, 1024, 32768, 2, 161225
q1, d, -, 1024, 32768, 2, 621029
q1, c, -, 1024, 32768, 2, 171478
q1, r, c, 1024, 32768, 2, 162322
q1, r, h, 1024, 32768, 2, 158939
q1, d, -, 1024, 32768, 2, 621425
q1, c, -, 1024, 32768, 2, 170157
q1, r, c, 1024, 32768, 2, 169233
q1, r, h, 1024, 32768, 2, 159022
q1, d, -, 1024, 32768, 2, 621630
q1, c, -, 1024, 32768, 2, 171068
q1, r, c, 1024, 32768, 2, 160008
q1, r, h, 1024, 32768, 2, 160997
q1, d, -, 1024, 32768, 2, 620732
q1, c, -, 1024, 32768, 2, 172069
q1, r, c, 1024, 32768, 2, 159989
q1, r, h, 1024, 32768, 2, 160277
q1, d, -, 1024, 32768, 2, 620138
q1, c, -, 1024, 32768, 2, 172433
q1, r, c, 1024, 32768, 2, 160018
q1, r, h, 1024, 32768, 2, 160892
q1, d, -, 1024, 32768, 2, 620405
q1, c, -, 1024, 32768, 2, 170432
q1, r, c, 1024, 32768, 2, 164506
q1, r, h, 1024, 32768, 2, 158999
q1, d, -, 1024, 32768, 2, 621473
q1, c, -, 1024, 32768, 2, 169407
q1, r, c, 1024, 32768, 2, 159987
q1, r, h, 1024, 32768, 2, 160790
q1, d, -, 1024, 32768, 2, 620377
q1, c, -, 1024, 32768, 2, 172303
q1, r, c, 1024, 32768, 2, 159986
q1, r, h, 1024, 32768, 2, 161217
q1, d, -, 1024, 32768, 2, 621336
q1, c, -, 1024, 32768, 2, 172288
q1, r, c, 1024, 32768, 2, 159997
q1, r, h, 1024, 32768, 2, 163510
q1, d, -, 1024, 32768, 2, 627327
q1, c, -, 1024, 32768, 2, 171284
q1, r, c, 1024, 32768, 2, 162139
q1, r, h, 1024, 32768, 2, 159055
q1, d, -, 1024, 32768, 2, 622205
q1, c, -, 1024, 32768, 2, 170783
q1, r, c, 1024, 32768, 2, 162302
q1, r, h, 1024, 32768, 2, 158926
q1, d, -, 1024, 32768, 2, 622464
q1, c, -, 1024, 32768, 2, 171575
q1, r, c, 1024, 32768, 2, 162505
q1, r, h, 1024, 32768, 2, 159001
q1, d, -, 1024, 32768, 2, 624343
q1, c, -, 1024, 32768, 2, 171437
q1, r, c, 1024, 32768, 3, 223540
q1, r, h, 1024, 32768, 3, 223953
q1, d, -, 1024, 32768, 3, 726999
q1, c, -, 1024, 32768, 3, 171237
q1, r, c, 1024, 32768, 3, 223560
q1, r, h, 1024, 32768, 3, 223469
q1, d, -, 1024, 32768, 3, 729682
q1, c, -, 1024, 32768, 3, 169965
q1, r, c, 1024, 32768, 3, 226046
q1, r, h, 1024, 32768, 3, 222162
q1, d, -, 1024, 32768, 3, 739171
q1, c, -, 1024, 32768, 3, 172848
q1, r, c, 1024, 32768, 3, 235918
q1, r, h, 1024, 32768, 3, 223787
q1, d, -, 1024, 32768, 3, 726606
q1, c, -, 1024, 32768, 3, 181002
q1, r, c, 1024, 32768, 3, 226280
q1, r, h, 1024, 32768, 3, 224876
q1, d, -, 1024, 32768, 3, 731186
q1, c, -, 1024, 32768, 3, 172351
q1, r, c, 1024, 32768, 3, 228399
q1, r, h, 1024, 32768, 3, 222184
q1, d, -, 1024, 32768, 3, 729909
q1, c, -, 1024, 32768, 3, 171202
q1, r, c, 1024, 32768, 3, 223538
q1, r, h, 1024, 32768, 3, 224095
q1, d, -, 1024, 32768, 3, 727184
q1, c, -, 1024, 32768, 3, 170494
q1, r, c, 1024, 32768, 3, 223538
q1, r, h, 1024, 32768, 3, 227642
q1, d, -, 1024, 32768, 3, 728247
q1, c, -, 1024, 32768, 3, 169065
q1, r, c, 1024, 32768, 3, 225503
q1, r, h, 1024, 32768, 3, 222298
q1, d, -, 1024, 32768, 3, 727482
q1, c, -, 1024, 32768, 3, 171769
