bench, mem, temp, row_size, row_count, col_width, offset, cycles, v3
q1, r, c, 64, 32768, 1, 0, 875319
q1, d, c, 64, 32768, 1, 0, 86232
q1, r, h, 64, 32768, 1, 0, 43918
q1, d, h, 64, 32768, 1, 0, 84620
q1, r, c, 64, 32768, 1, 0, 874725
q1, d, c, 64, 32768, 1, 0, 85732
q1, r, h, 64, 32768, 1, 0, 45605
q1, d, h, 64, 32768, 1, 0, 84157
q1, r, c, 64, 32768, 1, 0, 874713
q1, d, c, 64, 32768, 1, 0, 89243
q1, r, h, 64, 32768, 1, 0, 43914
q1, d, h, 64, 32768, 1, 0, 83720
q1, r, c, 64, 32768, 1, 0, 874739
q1, d, c, 64, 32768, 1, 0, 85922
q1, r, h, 64, 32768, 1, 0, 43915
q1, d, h, 64, 32768, 1, 0, 83956
q1, r, c, 64, 32768, 1, 0, 874723
q1, d, c, 64, 32768, 1, 0, 87030
q1, r, h, 64, 32768, 1, 0, 43916
q1, d, h, 64, 32768, 1, 0, 84222
q1, r, c, 64, 32768, 1, 0, 874660
q1, d, c, 64, 32768, 1, 0, 85376
q1, r, h, 64, 32768, 1, 0, 43921
q1, d, h, 64, 32768, 1, 0, 84348
q1, r, c, 64, 32768, 1, 0, 874724
q1, d, c, 64, 32768, 1, 0, 89091
q1, r, h, 64, 32768, 1, 0, 43915
q1, d, h, 64, 32768, 1, 0, 88960
q1, r, c, 64, 32768, 1, 0, 874746
q1, d, c, 64, 32768, 1, 0, 86005
q1, r, h, 64, 32768, 1, 0, 43916
q1, d, h, 64, 32768, 1, 0, 84010
q1, r, c, 64, 32768, 1, 0, 874722
q1, d, c, 64, 32768, 1, 0, 86038
q1, r, h, 64, 32768, 1, 0, 43915
q1, d, h, 64, 32768, 1, 0, 84252
q1, r, c, 64, 32768, 1, 0, 874803
q1, d, c, 64, 32768, 1, 0, 87195
q1, r, h, 64, 32768, 1, 0, 43915
q1, d, h, 64, 32768, 1, 0, 84266
q1, r, c, 64, 32768, 1, 0, 874664
q1, d, c, 64, 32768, 1, 0, 85574
q1, r, h, 64, 32768, 1, 0, 43919
q1, d, h, 64, 32768, 1, 0, 83612
q1, r, c, 64, 32768, 1, 0, 874704
q1, d, c, 64, 32768, 1, 0, 85954
q1, r, h, 64, 32768, 1, 0, 43916
q1, d, h, 64, 32768, 1, 0, 86266
q1, r, c, 64, 32768, 1, 0, 874664
q1, d, c, 64, 32768, 1, 0, 85710
q1, r, h, 64, 32768, 1, 0, 43920
q1, d, h, 64, 32768, 1, 0, 84219
q1, r, c, 64, 32768, 1, 0, 874721
q1, d, c, 64, 32768, 1, 0, 89236
q1, r, h, 64, 32768, 1, 0, 43915
q1, d, h, 64, 32768, 1, 0, 84167
q1, r, c, 64, 32768, 1, 0, 874721
q1, d, c, 64, 32768, 1, 0, 85710
q1, r, h, 64, 32768, 1, 0, 43919
q1, d, h, 64, 32768, 1, 0, 84267
q1, r, c, 64, 32768, 1, 0, 874734
q1, d, c, 64, 32768, 1, 0, 87934
q1, r, h, 64, 32768, 1, 0, 43918
q1, d, h, 64, 32768, 1, 0, 84526
q1, r, c, 64, 32768, 1, 0, 874710
q1, d, c, 64, 32768, 1, 0, 85866
q1, r, h, 64, 32768, 1, 0, 43914
q1, d, h, 64, 32768, 1, 0, 87884
q1, r, c, 64, 32768, 1, 0, 874685
q1, d, c, 64, 32768, 1, 0, 85910
q1, r, h, 64, 32768, 1, 0, 43919
q1, d, h, 64, 32768, 1, 0, 84196
q1, r, c, 64, 32768, 1, 0, 874702
q1, d, c, 64, 32768, 1, 0, 86233
q1, r, h, 64, 32768, 1, 0, 43915
q1, d, h, 64, 32768, 1, 0, 84156
q1, r, c, 64, 32768, 1, 0, 874744
q1, d, c, 64, 32768, 1, 0, 85940
q1, r, h, 64, 32768, 1, 0, 43918
q1, d, h, 64, 32768, 1, 0, 86402
q1, r, c, 64, 32768, 1, 0, 874740
