bench, mem, temp, row_size, row_count, col_width, cycles
q3_new, r, c,64,43690,1,117814
q3_new, r, h,64,43690,1,115068
q3_new, d, -,64,43690,1,139671
q3_new, r, c,64,43690,1,118479
q3_new, r, h,64,43690,1,115117
q3_new, d, -,64,43690,1,139817
q3_new, r, c,64,43690,1,119825
q3_new, r, h,64,43690,1,115088
q3_new, d, -,64,43690,1,139466
q3_new, r, c,64,43690,1,119012
q3_new, r, h,64,43690,1,115042
q3_new, d, -,64,43690,1,138893
q3_new, r, c,64,43690,1,119566
q3_new, r, h,64,43690,1,115079
q3_new, d, -,64,43690,1,138492
q3_new, r, c,64,43690,1,119326
q3_new, r, h,64,43690,1,115022
q3_new, d, -,64,43690,1,138880
q3_new, r, c,64,43690,1,115604
q3_new, r, h,64,43690,1,115082
q3_new, d, -,64,43690,1,139480
q3_new, r, c,64,43690,1,115641
q3_new, r, h,64,43690,1,115086
q3_new, d, -,64,43690,1,138873
q3_new, r, c,64,43690,1,115638
q3_new, r, h,64,43690,1,115087
q3_new, d, -,64,43690,1,143103
q3_new, r, c,64,43690,1,115610
q3_new, r, h,64,43690,1,115010
q3_new, d, -,64,43690,1,144779
q3_new, r, c,64,43690,1,115591
q3_new, r, h,64,43690,1,115081
q3_new, d, -,64,43690,1,142659
q3_new, r, c,64,43690,1,115609
q3_new, r, h,64,43690,1,115045
q3_new, d, -,64,43690,1,169624
q3_new, r, c,64,43690,1,115616
q3_new, r, h,64,43690,1,115050
q3_new, d, -,64,43690,1,141786
q3_new, r, c,64,43690,1,115624
q3_new, r, h,64,43690,1,115034
q3_new, d, -,64,43690,1,141291
q3_new, r, c,64,43690,1,115610
q3_new, r, h,64,43690,1,115040
q3_new, d, -,64,43690,1,141802
q3_new, r, c,64,43690,1,115605
q3_new, r, h,64,43690,1,115076
q3_new, d, -,64,43690,1,204633
q3_new, r, c,64,43690,1,115599
q3_new, r, h,64,43690,1,117361
q3_new, d, -,64,43690,1,139298
q3_new, r, c,64,43690,1,115606
q3_new, r, h,64,43690,1,117460
q3_new, d, -,64,43690,1,138899
q3_new, r, c,64,43690,1,115604
q3_new, r, h,64,43690,1,118679
q3_new, d, -,64,43690,1,139064
q3_new, r, c,64,43690,1,115653
q3_new, r, h,64,43690,1,115084
q3_new, d, -,64,43690,1,139081
q3_new, r, c,64,43690,1,120061
q3_new, r, h,64,43690,1,115134
q3_new, d, -,64,43690,1,139873
q3_new, r, c,64,43690,1,118111
q3_new, r, h,64,43690,1,115096
q3_new, d, -,64,43690,1,140002
q3_new, r, c,64,43690,1,118197
q3_new, r, h,64,43690,1,115215
q3_new, d, -,64,43690,1,138944
q3_new, r, c,64,43690,1,117795
q3_new, r, h,64,43690,1,115079
q3_new, d, -,64,43690,1,139178
q3_new, r, c,64,43690,1,119046
q3_new, r, h,64,43690,1,115068
q3_new, d, -,64,43690,1,139641
q3_new, r, c,64,43690,1,119234
q3_new, r, h,64,43690,1,115040
q3_new, d, -,64,43690,1,139243
q3_new, r, c,64,43690,1,119271
q3_new, r, h,64,43690,1,115119
q3_new, d, -,64,43690,1,139521
q3_new, r, c,64,43690,1,115610
q3_new, r, h,64,43690,1,115068
q3_new, d, -,64,43690,1,139474
q3_new, r, c,64,43690,1,115606
q3_new, r, h,64,43690,1,115066
q3_new, d, -,64,43690,1,141781
q3_new, r, c,64,43690,1,115618
q3_new, r, h,64,43690,1,115310
q3_new, d, -,64,43690,1,164984
q3_new, r, c,64,43690,2,92664
q3_new, r, h,64,43690,2,91821
q3_new, d, -,64,43690,2,122588
q3_new, r, c,64,43690,2,92467
q3_new, r, h,64,43690,2,93787
q3_new, d, -,64,43690,2,122615
q3_new, r, c,64,43690,2,92465
q3_new, r, h,64,43690,2,91797
q3_new, d, -,64,43690,2,124185
q3_new, r, c,64,43690,2,96366
q3_new, r, h,64,43690,2,91895
q3_new, d, -,64,43690,2,121838
q3_new, r, c,64,43690,2,92481
q3_new, r, h,64,43690,2,91855
q3_new, d, -,64,43690,2,124894
q3_new, r, c,64,43690,2,96508
q3_new, r, h,64,43690,2,91776
q3_new, d, -,64,43690,2,121940
q3_new, r, c,64,43690,2,92459
q3_new, r, h,64,43690,2,91789
q3_new, d, -,64,43690,2,124839
q3_new, r, c,64,43690,2,96821
q3_new, r, h,64,43690,2,91823
q3_new, d, -,64,43690,2,121860
q3_new, r, c,64,43690,2,92458
q3_new, r, h,64,43690,2,94061
q3_new, d, -,64,43690,2,122080
q3_new, r, c,64,43690,2,92458
q3_new, r, h,64,43690,2,91713
q3_new, d, -,64,43690,2,122143
q3_new, r, c,64,43690,2,92489
q3_new, r, h,64,43690,2,94639
q3_new, d, -,64,43690,2,121816
q3_new, r, c,64,43690,2,92468
q3_new, r, h,64,43690,2,91942
q3_new, d, -,64,43690,2,121827
q3_new, r, c,64,43690,2,92455
q3_new, r, h,64,43690,2,95695
q3_new, d, -,64,43690,2,121864
q3_new, r, c,64,43690,2,92481
q3_new, r, h,64,43690,2,92210
q3_new, d, -,64,43690,2,124612
q3_new, r, c,64,43690,2,96302
q3_new, r, h,64,43690,2,91808
q3_new, d, -,64,43690,2,121917
q3_new, r, c,64,43690,2,92467
q3_new, r, h,64,43690,2,91741
q3_new, d, -,64,43690,2,124347
q3_new, r, c,64,43690,2,94671
q3_new, r, h,64,43690,2,91830
q3_new, d, -,64,43690,2,122023
q3_new, r, c,64,43690,2,92491
q3_new, r, h,64,43690,2,91695
q3_new, d, -,64,43690,2,124378
q3_new, r, c,64,43690,2,92454
q3_new, r, h,64,43690,2,91849
q3_new, d, -,64,43690,2,121930
q3_new, r, c,64,43690,2,92462
q3_new, r, h,64,43690,2,93781
q3_new, d, -,64,43690,2,121728
q3_new, r, c,64,43690,2,92459
q3_new, r, h,64,43690,2,91750
