bench, mem, temp, row_size, row_count, col_width, cycles, l1_references, l1_refills, l2_references, l2_refills, inst_retired
q4, r, c, 16, 43690, 1, 84490, 393256, 43, 4126, 2053, 786507
q4, r, h, 16, 43690, 1, 83850, 393256, 44, 4123, 254, 786507
q4, d, -, 16, 43690, 1, 87932, 436946, 215, 21952, 10939, 830197
q4, r, c, 16, 43690, 1, 84492, 393256, 41, 4119, 2053, 786507
q4, r, h, 16, 43690, 1, 83892, 393256, 43, 4124, 237, 786507
q4, d, -, 16, 43690, 1, 90289, 436947, 217, 21961, 10949, 830199
q4, r, c, 16, 43690, 1, 84487, 393256, 46, 4128, 2054, 786507
q4, r, h, 16, 43690, 1, 86182, 393256, 55, 4142, 340, 786508
q4, d, -, 16, 43690, 1, 87921, 436947, 206, 21931, 10956, 830198
q4, r, c, 16, 43690, 1, 84487, 393256, 52, 4143, 2054, 786507
q4, r, h, 16, 43690, 1, 83873, 393256, 48, 4131, 313, 786507
q4, d, -, 16, 43690, 1, 88005, 436946, 229, 21982, 10951, 830197
q4, r, c, 16, 43690, 1, 84495, 393256, 44, 4127, 2052, 786507
q4, r, h, 16, 43690, 1, 83873, 393256, 45, 4127, 307, 786507
q4, d, -, 16, 43690, 1, 90345, 436946, 213, 21954, 10950, 830199
q4, r, c, 16, 43690, 1, 86421, 393256, 52, 4148, 2054, 786508
q4, r, h, 16, 43690, 1, 83882, 393256, 43, 4126, 304, 786507
q4, d, -, 16, 43690, 1, 88036, 436946, 208, 21946, 10957, 830197
q4, r, c, 16, 43690, 1, 84493, 393256, 45, 4132, 2054, 786507
q4, r, h, 16, 43690, 1, 83977, 393256, 47, 4132, 250, 786507
q4, d, -, 16, 43690, 1, 87868, 436946, 209, 21944, 10947, 830197
q4, r, c, 16, 43690, 1, 84493, 393256, 46, 4131, 2053, 786507
q4, r, h, 16, 43690, 1, 85586, 393257, 51, 4133, 262, 786509
q4, d, -, 16, 43690, 1, 88117, 436947, 205, 21937, 10950, 830198
q4, r, c, 16, 43690, 1, 84499, 393256, 40, 4119, 2058, 786507
q4, r, h, 16, 43690, 1, 84009, 393256, 45, 4071, 354, 786507
q4, d, -, 16, 43690, 1, 87940, 436946, 212, 21950, 10954, 830197
q4, r, c, 16, 43690, 1, 84489, 393256, 41, 4121, 2053, 786507
q4, r, h, 16, 43690, 1, 83877, 393256, 48, 4131, 284, 786507
q4, d, -, 16, 43690, 1, 90149, 436947, 223, 21970, 10949, 830199
q4, r, c, 16, 43690, 1, 84585, 393256, 47, 4129, 2053, 786507
q4, r, h, 16, 43690, 1, 84456, 393256, 54, 4131, 1876, 786507
q4, d, -, 16, 43690, 1, 87983, 436947, 215, 21956, 10962, 830198
q4, r, c, 16, 43690, 1, 84542, 393256, 42, 4120, 2053, 786507
q4, r, h, 16, 43690, 1, 87581, 393256, 109, 4137, 1883, 786508
q4, d, -, 16, 43690, 1, 88118, 436946, 216, 21947, 10961, 830197
q4, r, c, 16, 43690, 1, 87230, 393257, 77, 4188, 2054, 786510
q4, r, h, 16, 43690, 1, 83894, 393256, 45, 4084, 356, 786507
q4, d, -, 16, 43690, 1, 87898, 436946, 219, 21963, 10947, 830197
q4, r, c, 16, 43690, 1, 84516, 393256, 44, 4124, 2052, 786507
q4, r, h, 16, 43690, 1, 84003, 393256, 46, 4127, 495, 786507
q4, d, -, 16, 43690, 1, 90552, 436947, 229, 21963, 10963, 830200
q4, r, c, 16, 43690, 1, 84490, 393256, 41, 4120, 2053, 786507
q4, r, h, 16, 43690, 1, 83896, 393256, 46, 4129, 433, 786507
q4, d, -, 16, 43690, 1, 88119, 436947, 210, 21947, 10951, 830198
q4, r, c, 16, 43690, 1, 84510, 393256, 40, 4117, 2051, 786507
q4, r, h, 16, 43690, 1, 84161, 393256, 45, 4064, 1130, 786507
q4, d, -, 16, 43690, 1, 87886, 436946, 204, 21936, 10959, 830197
q4, r, c, 16, 43690, 1, 84497, 393256, 45, 4126, 2057, 786507
q4, r, h, 16, 43690, 1, 83984, 393256, 45, 4126, 314, 786507
q4, d, -, 16, 43690, 1, 87960, 436946, 211, 21948, 10947, 830197
q4, r, c, 16, 43690, 1, 84494, 393256, 46, 4134, 2054, 786507
q4, r, h, 16, 43690, 1, 83902, 393256, 43, 4121, 270, 786507
q4, d, -, 16, 43690, 1, 96406, 436947, 760, 22022, 10949, 830199
q4, r, c, 16, 43690, 1, 84493, 393256, 45, 4131, 2053, 786507
q4, r, h, 16, 43690, 1, 85979, 393257, 52, 4097, 363, 786510
q4, d, -, 16, 43690, 1, 88067, 436947, 207, 21939, 10955, 830198
q4, r, c, 16, 43690, 1, 84498, 393256, 48, 4137, 2053, 786507
q4, r, h, 16, 43690, 1, 84006, 393256, 46, 4100, 282, 786507
q4, d, -, 16, 43690, 1, 88102, 436946, 211, 21955, 10946, 830197
q4, r, c, 16, 43690, 1, 84487, 393256, 44, 4128, 2053, 786507
q4, r, h, 16, 43690, 1, 83864, 393256, 44, 4125, 327, 786507
q4, d, -, 16, 43690, 1, 90702, 436947, 238, 22000, 10952, 830200
q4, r, c, 16, 43690, 1, 87517, 393256, 54, 4139, 2055, 786508
q4, r, h, 16, 43690, 1, 84084, 393256, 43, 4130, 706, 786507
q4, d, -, 16, 43690, 1, 87976, 436946, 211, 21947, 10955, 830197
q4, r, c, 16, 43690, 1, 84521, 393256, 41, 4122, 2054, 786507
q4, r, h, 16, 43690, 1, 89324, 393257, 241, 4153, 1098, 786509
q4, d, -, 16, 43690, 1, 87967, 436947, 207, 21938, 10955, 830198
q4, r, c, 16, 43690, 1, 84496, 393256, 45, 4129, 2051, 786507
q4, r, h, 16, 43690, 1, 83856, 393256, 45, 4129, 266, 786507
q4, d, -, 16, 43690, 1, 90464, 436948, 225, 21967, 10952, 830200
q4, r, c, 16, 43690, 1, 84489, 393256, 43, 4124, 2055, 786507
q4, r, h, 16, 43690, 1, 83956, 393256, 46, 4129, 359, 786507
q4, d, -, 16, 43690, 1, 87979, 436946, 214, 21951, 10951, 830197
q4, r, c, 16, 43690, 1, 84490, 393256, 39, 4113, 2052, 786507
q4, r, h, 16, 43690, 1, 83867, 393256, 42, 4120, 193, 786507
q4, d, -, 16, 43690, 1, 90505, 436946, 216, 21965, 10948, 830198
q4, r, c, 16, 43690, 1, 88824, 393256, 49, 4145, 2055, 786510
