bench, mem, temp, row_size, row_count, col_width, offset, cycles, v4
q6, r, c, 4, 43690, 4, 0, 125685
q6, d, c, 4, 43690, 4, 0, 178998
q6, r, h, 4, 43690, 4, 0, 125677
q6, d, h, 4, 43690, 4, 0, 200161
q6, r, c, 4, 43690, 4, 0, 125715
q6, d, c, 4, 43690, 4, 0, 181539
q6, r, h, 4, 43690, 4, 0, 125618
q6, d, h, 4, 43690, 4, 0, 180551
q6, r, c, 4, 43690, 4, 0, 127884
q6, d, c, 4, 43690, 4, 0, 178975
q6, r, h, 4, 43690, 4, 0, 125646
q6, d, h, 4, 43690, 4, 0, 178987
q6, r, c, 4, 43690, 4, 0, 128134
q6, d, c, 4, 43690, 4, 0, 179038
q6, r, h, 4, 43690, 4, 0, 125583
q6, d, h, 4, 43690, 4, 0, 178978
q6, r, c, 4, 43690, 4, 0, 151307
q6, d, c, 4, 43690, 4, 0, 178976
q6, r, h, 4, 43690, 4, 0, 125580
q6, d, h, 4, 43690, 4, 0, 179040
q6, r, c, 4, 43690, 4, 0, 125695
q6, d, c, 4, 43690, 4, 0, 181107
q6, r, h, 4, 43690, 4, 0, 127638
q6, d, h, 4, 43690, 4, 0, 178975
q6, r, c, 4, 43690, 4, 0, 125667
q6, d, c, 4, 43690, 4, 0, 183301
q6, r, h, 4, 43690, 4, 0, 125635
q6, d, h, 4, 43690, 4, 0, 180766
q6, r, c, 4, 43690, 4, 0, 139296
q6, d, c, 4, 43690, 4, 0, 179006
q6, r, h, 4, 43690, 4, 0, 125580
q6, d, h, 4, 43690, 4, 0, 178953
q6, r, c, 4, 43690, 4, 0, 125663
q6, d, c, 4, 43690, 4, 0, 183756
q6, r, h, 4, 43690, 4, 0, 127158
q6, d, h, 4, 43690, 4, 0, 178985
q6, r, c, 4, 43690, 4, 0, 125655
q6, d, c, 4, 43690, 4, 0, 179018
q6, r, h, 4, 43690, 4, 0, 125632
q6, d, h, 4, 43690, 4, 0, 180618
q6, r, c, 4, 43690, 4, 0, 125664
q6, d, c, 4, 43690, 4, 0, 178977
q6, r, h, 4, 43690, 4, 0, 125556
q6, d, h, 4, 43690, 4, 0, 180618
q6, r, c, 4, 43690, 4, 0, 125694
q6, d, c, 4, 43690, 4, 0, 180872
q6, r, h, 4, 43690, 4, 0, 125578
q6, d, h, 4, 43690, 4, 0, 180170
q6, r, c, 4, 43690, 4, 0, 125693
q6, d, c, 4, 43690, 4, 0, 180401
q6, r, h, 4, 43690, 4, 0, 125589
q6, d, h, 4, 43690, 4, 0, 180562
q6, r, c, 4, 43690, 4, 0, 127605
q6, d, c, 4, 43690, 4, 0, 179005
q6, r, h, 4, 43690, 4, 0, 127120
q6, d, h, 4, 43690, 4, 0, 178947
q6, r, c, 4, 43690, 4, 0, 125698
q6, d, c, 4, 43690, 4, 0, 180811
q6, r, h, 4, 43690, 4, 0, 125589
q6, d, h, 4, 43690, 4, 0, 180793
q6, r, c, 4, 43690, 4, 0, 125667
q6, d, c, 4, 43690, 4, 0, 185066
q6, r, h, 4, 43690, 4, 0, 128547
q6, d, h, 4, 43690, 4, 0, 178919
q6, r, c, 4, 43690, 4, 0, 125685
q6, d, c, 4, 43690, 4, 0, 181705
q6, r, h, 4, 43690, 4, 0, 125601
q6, d, h, 4, 43690, 4, 0, 180840
q6, r, c, 4, 43690, 4, 0, 131831
q6, d, c, 4, 43690, 4, 0, 178999
q6, r, h, 4, 43690, 4, 0, 125641
q6, d, h, 4, 43690, 4, 0, 178995
q6, r, c, 4, 43690, 4, 0, 127772
q6, d, c, 4, 43690, 4, 0, 178978
q6, r, h, 4, 43690, 4, 0, 126871
q6, d, h, 4, 43690, 4, 0, 178973
q6, r, c, 4, 43690, 4, 0, 125695
q6, d, c, 4, 43690, 4, 0, 181817
q6, r, h, 4, 43690, 4, 0, 125566
q6, d, h, 4, 43690, 4, 0, 180251
q6, r, c, 4, 43690, 4, 0, 125666
q6, d, c, 4, 43690, 4, 0, 180699
q6, r, h, 4, 43690, 4, 0, 127058
q6, d, h, 4, 43690, 4, 0, 178979
q6, r, c, 4, 43690, 4, 0, 127338
q6, d, c, 4, 43690, 4, 0, 179007
q6, r, h, 4, 43690, 4, 0, 125618
q6, d, h, 4, 43690, 4, 0, 178977
q6, r, c, 4, 43690, 4, 0, 127230
q6, d, c, 4, 43690, 4, 0, 179011
q6, r, h, 4, 43690, 4, 0, 125616
q6, d, h, 4, 43690, 4, 0, 178972
q6, r, c, 4, 43690, 4, 0, 125658
q6, d, c, 4, 43690, 4, 0, 178970
q6, r, h, 4, 43690, 4, 0, 125625
q6, d, h, 4, 43690, 4, 0, 181681
q6, r, c, 4, 43690, 4, 0, 129583
q6, d, c, 4, 43690, 4, 0, 179010
q6, r, h, 4, 43690, 4, 0, 125629
q6, d, h, 4, 43690, 4, 0, 178947
q6, r, c, 4, 43690, 4, 0, 127720
q6, d, c, 4, 43690, 4, 0, 179040
q6, r, h, 4, 43690, 4, 0, 125616
q6, d, h, 4, 43690, 4, 0, 179003
q6, r, c, 4, 43690, 4, 0, 127617
q6, d, c, 4, 43690, 4, 0, 179035
q6, r, h, 4, 43690, 4, 0, 125589
q6, d, h, 4, 43690, 4, 0, 178946
q6, r, c, 4, 43690, 4, 0, 127600
q6, d, c, 4, 43690, 4, 0, 179001
q6, r, h, 4, 43690, 4, 0, 125646
q6, d, h, 4, 43690, 4, 0, 178972
q6, r, c, 4, 43690, 4, 0, 125654
q6, d, c, 4, 43690, 4, 0, 179009
