bench, mem, temp, row_size, row_count, col_width, cycles, res.l1_references, res.l1_refills, res.l2_references, res.l2_refills, res.inst_retired
q1, d, -, 200, 56679, 37, 1561692, 3419289, 54431, 278970, 133205, 11305377
q1,  r,  c,  200, 56679,  37, 983460, 3290052, 1056, 66198, 32842, 10523908
q1, d, -, 200, 56679, 37, 1565000, 3419229, 54185, 278752, 133031, 11305417
q1,  r,  c,  200, 56679,  37, 979820, 3290242, 760, 66037, 32811, 10524679
q1, d, -, 200, 56679, 37, 1556662, 3419227, 53741, 280628, 133958, 11305363
q1,  r,  c,  200, 56679,  37, 973503, 3290876, 636, 65896, 32807, 10525136
q1, d, -, 200, 56679, 37, 1544832, 3419240, 52897, 279913, 134140, 11305385
q1,  r,  c,  200, 56679,  37, 973210, 3290153, 695, 66064, 32845, 10524239
q1, d, -, 200, 56679, 37, 1538479, 3419311, 53132, 281335, 133948, 11305512
q1,  r,  c,  200, 56679,  37, 996821, 3290776, 1968, 66618, 32828, 10524902
q1, d, -, 200, 56679, 37, 1562712, 3419257, 55405, 277476, 132443, 11305301
q1,  r,  c,  200, 56679,  37, 975679, 3290058, 682, 66035, 32818, 10524554
q1, d, -, 200, 56679, 37, 1548789, 3418613, 52728, 279247, 133837, 11304726
q1,  r,  c,  200, 56679,  37, 972897, 3290816, 652, 65896, 32839, 10525117
q1, d, -, 200, 56679, 37, 1558061, 3418625, 52304, 280117, 134218, 11304604
q1,  r,  c,  200, 56679,  37, 1025348, 3290896, 3774, 67445, 32850, 10525336
q1, d, -, 200, 56679, 37, 1555679, 3418581, 53518, 278463, 133327, 11304580
q1,  r,  c,  200, 56679,  37, 971966, 3289942, 659, 65935, 32841, 10523642
q1, d, -, 200, 56679, 37, 1549414, 3418593, 53436, 279033, 133663, 11304653
q1,  r,  c,  200, 56679,  37, 974096, 3290807, 741, 66071, 32819, 10525282
q1, d, -, 200, 56679, 37, 1542414, 3419213, 52811, 279234, 133777, 11305268
q1,  r,  c,  200, 56679,  37, 985743, 3290205, 729, 66149, 32833, 10524575
q1, d, -, 200, 56679, 37, 1561760, 3418625, 53188, 277798, 133155, 11304799
q1,  r,  c,  200, 56679,  37, 973230, 3290114, 663, 65985, 32826, 10524367
q1, d, -, 200, 56679, 37, 1544841, 3418548, 52375, 279256, 133903, 11304550
q1,  r,  c,  200, 56679,  37, 973679, 3290001, 664, 65943, 32836, 10524401
q1, d, -, 200, 56679, 37, 1564464, 3418571, 53807, 278401, 133601, 11304671
q1,  r,  c,  200, 56679,  37, 989515, 3290052, 1064, 66462, 32839, 10524600
q1, d, -, 200, 56679, 37, 1569521, 3419156, 54330, 279006, 133280, 11305151
q1,  r,  c,  200, 56679,  37, 975205, 3290804, 731, 65960, 32846, 10524780
q1, d, -, 200, 56679, 37, 1545614, 3418632, 52744, 278849, 133746, 11304752
q1,  r,  c,  200, 56679,  37, 1025334, 3290753, 3865, 67564, 32851, 10525086
q1, d, -, 200, 56679, 37, 1537851, 3418659, 52034, 280429, 134532, 11304917
q1,  r,  c,  200, 56679,  37, 1003368, 3290838, 1233, 66603, 32852, 10525065
q1, d, -, 200, 56679, 37, 1548489, 3418578, 52748, 279019, 133782, 11304880
q1,  r,  c,  200, 56679,  37, 971937, 3290222, 666, 65940, 32840, 10524564
q1, d, -, 200, 56679, 37, 1550664, 3419242, 53727, 280731, 133522, 11305288
q1,  r,  c,  200, 56679,  37, 1003362, 3290852, 2445, 66809, 32848, 10525252
q1, d, -, 200, 56679, 37, 1547791, 3418608, 52518, 279875, 134271, 11304866
q1,  r,  c,  200, 56679,  37, 978240, 3290244, 682, 66034, 32816, 10524858
q1, d, -, 200, 56679, 37, 1561419, 3419232, 53852, 280360, 133814, 11305364
q1,  r,  c,  200, 56679,  37, 976627, 3289795, 693, 66078, 32851, 10523370
q1, d, -, 200, 56679, 37, 1553660, 3419275, 54136, 279713, 133590, 11305327
q1,  r,  c,  200, 56679,  37, 972518, 3290927, 646, 65935, 32838, 10525236
q1, d, -, 200, 56679, 37, 1541780, 3418614, 52619, 279522, 134050, 11304737
q1,  r,  c,  200, 56679,  37, 986750, 3289920, 696, 66060, 32817, 10523927
q1, d, -, 200, 56679, 37, 1542309, 3419332, 53315, 280748, 133572, 11305445
q1,  r,  c,  200, 56679,  37, 1009939, 3290997, 3042, 67210, 32828, 10525479
q1, d, -, 200, 56679, 37, 1560306, 3419195, 54124, 278120, 133142, 11305214
q1,  r,  c,  200, 56679,  37, 975206, 3290904, 690, 66032, 32827, 10525162
q1, d, -, 200, 56679, 37, 1558033, 3418549, 53609, 278355, 133791, 11304618
q1,  r,  c,  200, 56679,  37, 972533, 3290148, 681, 66029, 32844, 10524441
q1, d, -, 200, 56679, 37, 1545793, 3419241, 52973, 280046, 133989, 11305405
q1,  r,  c,  200, 56679,  37, 974944, 3290716, 681, 66010, 32835, 10524741
q1, d, -, 200, 56679, 37, 1575298, 3418517, 53852, 277977, 133484, 11304559
q1,  r,  c,  200, 56679,  37, 974466, 3290952, 838, 66041, 32829, 10525301
q1, d, -, 200, 56679, 37, 1555297, 3418589, 53863, 278405, 133499, 11304660
q1,  r,  c,  200, 56679,  37, 975662, 3290982, 694, 66091, 32849, 10525573
q1, d, -, 200, 56679, 37, 1556396, 3419118, 54027, 278202, 133077, 11305225
q1,  r,  c,  200, 56679,  37, 988422, 3290860, 1382, 66432, 32837, 10525080
q1, c, -, 200, 56679, 37, 1233416, 3584080, 10899, 70518, 32846, 11714235
q1, c, -, 200, 56679, 37, 1239149, 3584180, 10994, 70465, 32866, 11714071
q1, c, -, 200, 56679, 37, 1274319, 3583566, 10879, 122472, 32849, 11711149
q1, c, -, 200, 56679, 37, 1274858, 3583659, 11273, 123137, 32850, 11711142
q1, c, -, 200, 56679, 37, 1276257, 3583692, 11017, 122806, 32833, 11711162
q1, c, -, 200, 56679, 37, 1233008, 3585799, 10849, 70142, 32827, 11713024
q1, c, -, 200, 56679, 37, 1233210, 3584767, 10686, 69935, 32863, 11711890
q1, c, -, 200, 56679, 37, 1244253, 3583144, 10977, 70385, 32856, 11713154
q1, c, -, 200, 56679, 37, 1237559, 3583017, 11092, 70490, 32817, 11713125
q1, c, -, 200, 56679, 37, 1279134, 3583637, 11056, 123004, 32844, 11711029
q1, c, -, 200, 56679, 37, 1234724, 3584425, 10909, 70324, 32846, 11711819
q1, c, -, 200, 56679, 37, 1235204, 3585852, 10833, 70182, 32826, 11713039
