q3, r, c, 16, 43690, 4, 203391
q3, r, h, 16, 43690, 4, 104516
q3, d, -, 16, 43690, 4, 112792
q3, r, c, 16, 43690, 4, 203434
q3, r, h, 16, 43690, 4, 102129
q3, d, -, 16, 43690, 4, 114827
q3, r, c, 16, 43690, 4, 203390
q3, r, h, 16, 43690, 4, 102279
q3, d, -, 16, 43690, 4, 114381
q3, r, c, 16, 43690, 4, 203395
q3, r, h, 16, 43690, 4, 102027
q3, d, -, 16, 43690, 4, 112628
q3, r, c, 16, 43690, 4, 203441
q3, r, h, 16, 43690, 4, 102177
q3, d, -, 16, 43690, 4, 112719
q3, r, c, 16, 43690, 4, 203342
q3, r, h, 16, 43690, 4, 105073
q3, d, -, 16, 43690, 4, 112637
q3, r, c, 16, 43690, 4, 203452
q3, r, h, 16, 43690, 4, 104271
q3, d, -, 16, 43690, 4, 112751
q3, r, c, 16, 43690, 4, 203338
q3, r, h, 16, 43690, 4, 102124
q3, d, -, 16, 43690, 4, 114854
q3, r, c, 16, 43690, 4, 203558
q3, r, h, 16, 43690, 4, 102160
q3, d, -, 16, 43690, 4, 112794
q3, r, c, 16, 43690, 4, 203445
q3, r, h, 16, 43690, 4, 102252
q3, d, -, 16, 43690, 4, 112760
q3, r, c, 32, 43690, 4, 203428
q3, r, h, 32, 43690, 4, 102070
q3, d, -, 32, 43690, 4, 116797
q3, r, c, 32, 43690, 4, 203337
q3, r, h, 32, 43690, 4, 107740
q3, d, -, 32, 43690, 4, 116794
q3, r, c, 32, 43690, 4, 203371
q3, r, h, 32, 43690, 4, 104087
q3, d, -, 32, 43690, 4, 116593
q3, r, c, 32, 43690, 4, 203323
q3, r, h, 32, 43690, 4, 101911
q3, d, -, 32, 43690, 4, 118074
q3, r, c, 32, 43690, 4, 203330
q3, r, h, 32, 43690, 4, 102078
q3, d, -, 32, 43690, 4, 116644
q3, r, c, 32, 43690, 4, 203428
q3, r, h, 32, 43690, 4, 102123
q3, d, -, 32, 43690, 4, 116756
q3, r, c, 32, 43690, 4, 204016
q3, r, h, 32, 43690, 4, 102095
q3, d, -, 32, 43690, 4, 116680
q3, r, c, 32, 43690, 4, 203394
q3, r, h, 32, 43690, 4, 104508
q3, d, -, 32, 43690, 4, 116808
q3, r, c, 32, 43690, 4, 203361
q3, r, h, 32, 43690, 4, 104324
q3, d, -, 32, 43690, 4, 116920
q3, r, c, 32, 43690, 4, 203305
q3, r, h, 32, 43690, 4, 103501
q3, d, -, 32, 43690, 4, 116681
q3, r, c, 64, 43690, 4, 203346
q3, r, h, 64, 43690, 4, 102110
q3, d, -, 64, 43690, 4, 129764
q3, r, c, 64, 43690, 4, 203334
q3, r, h, 64, 43690, 4, 102099
q3, d, -, 64, 43690, 4, 129614
q3, r, c, 64, 43690, 4, 204079
q3, r, h, 64, 43690, 4, 102178
q3, d, -, 64, 43690, 4, 129676
q3, r, c, 64, 43690, 4, 203375
q3, r, h, 64, 43690, 4, 102414
q3, d, -, 64, 43690, 4, 129490
q3, r, c, 64, 43690, 4, 203287
q3, r, h, 64, 43690, 4, 102085
q3, d, -, 64, 43690, 4, 129674
q3, r, c, 64, 43690, 4, 205259
q3, r, h, 64, 43690, 4, 102226
q3, d, -, 64, 43690, 4, 129893
q3, r, c, 64, 43690, 4, 206844
q3, r, h, 64, 43690, 4, 103247
q3, d, -, 64, 43690, 4, 129339
q3, r, c, 64, 43690, 4, 203256
q3, r, h, 64, 43690, 4, 102000
q3, d, -, 64, 43690, 4, 129232
q3, r, c, 64, 43690, 4, 203294
q3, r, h, 64, 43690, 4, 102189
q3, d, -, 64, 43690, 4, 129556
q3, r, c, 64, 43690, 4, 203283
q3, r, h, 64, 43690, 4, 101912
q3, d, -, 64, 43690, 4, 131374
q3, r, c, 128, 43690, 4, 203391
q3, r, h, 128, 43690, 4, 104344
q3, d, -, 128, 43690, 4, 139753
q3, r, c, 128, 43690, 4, 203403
q3, r, h, 128, 43690, 4, 101903
q3, d, -, 128, 43690, 4, 141890
q3, r, c, 128, 43690, 4, 203357
q3, r, h, 128, 43690, 4, 104225
q3, d, -, 128, 43690, 4, 139621
q3, r, c, 128, 43690, 4, 203378
q3, r, h, 128, 43690, 4, 102063
q3, d, -, 128, 43690, 4, 139738
q3, r, c, 128, 43690, 4, 203407
q3, r, h, 128, 43690, 4, 102125
q3, d, -, 128, 43690, 4, 139841
q3, r, c, 128, 43690, 4, 203314
q3, r, h, 128, 43690, 4, 102009
q3, d, -, 128, 43690, 4, 212838
q3, r, c, 128, 43690, 4, 203428
q3, r, h, 128, 43690, 4, 102204
q3, d, -, 128, 43690, 4, 139837
q3, r, c, 128, 43690, 4, 203363
q3, r, h, 128, 43690, 4, 103537
q3, d, -, 128, 43690, 4, 139990
q3, r, c, 128, 43690, 4, 203425
q3, r, h, 128, 43690, 4, 102237
q3, d, -, 128, 43690, 4, 139757
q3, r, c, 128, 43690, 4, 203408
q3, r, h, 128, 43690, 4, 102091
q3, d, -, 128, 43690, 4, 140101
q3, r, c, 256, 43690, 4, 203376
q3, r, h, 256, 43690, 4, 102098
q3, d, -, 256, 43690, 4, 162143
q3, r, c, 256, 43690, 4, 203445
q3, r, h, 256, 43690, 4, 102034
q3, d, -, 256, 43690, 4, 162137
q3, r, c, 256, 43690, 4, 203366
q3, r, h, 256, 43690, 4, 102080
q3, d, -, 256, 43690, 4, 162356
q3, r, c, 256, 43690, 4, 203373
q3, r, h, 256, 43690, 4, 104103
q3, d, -, 256, 43690, 4, 162223
q3, r, c, 256, 43690, 4, 203324
q3, r, h, 256, 43690, 4, 108065
q3, d, -, 256, 43690, 4, 161852
q3, r, c, 256, 43690, 4, 203367
q3, r, h, 256, 43690, 4, 104577
q3, d, -, 256, 43690, 4, 161724
q3, r, c, 256, 43690, 4, 203289
q3, r, h, 256, 43690, 4, 103680
q3, d, -, 256, 43690, 4, 161625
q3, r, c, 256, 43690, 4, 203383
q3, r, h, 256, 43690, 4, 105266
q3, d, -, 256, 43690, 4, 161892
q3, r, c, 256, 43690, 4, 203322
q3, r, h, 256, 43690, 4, 102824
q3, d, -, 256, 43690, 4, 163409
q3, r, c, 256, 43690, 4, 203296
q3, r, h, 256, 43690, 4, 105677
q3, d, -, 256, 43690, 4, 164175
