bench, mem, temp, row_size, enabled_cols, row_count, col_width, cycles, l1_references, l1_refills, l2_references, l2_refills, inst_retired
q1, r, c, 64, 2, 43690, 4, 281176, 1441817, 1540, 22781, 10906, 2752727
q1, r, h, 64, 2, 43690, 4, 280494, 1441816, 2193, 24141, 8294, 2752728
q1, d, -, 64, 2, 43690, 4, 349818, 1616578, 6916, 99804, 49276, 3102250
q1, c, -, 64, 2, 43690, 4, 293956, 1310760, 1401, 22353, 10953, 2534305
q1, r, c, 64, 2, 43690, 4, 265860, 1441818, 1043, 22199, 10352, 2752560
q1, r, h, 64, 2, 43690, 4, 277160, 1441820, 1389, 22442, 7453, 2752731
q1, d, -, 64, 2, 43690, 4, 351629, 1616579, 6337, 99378, 49272, 3102251
q1, c, -, 64, 2, 43690, 4, 295503, 1310760, 1353, 22386, 10960, 2534306
q1, r, c, 64, 2, 43690, 4, 265843, 1441817, 1063, 22199, 10321, 2752560
q1, r, h, 64, 2, 43690, 4, 277302, 1441818, 1369, 22435, 7438, 2752730
q1, d, -, 64, 2, 43690, 4, 349569, 1616577, 6079, 99168, 49175, 3102249
q1, c, -, 64, 2, 43690, 4, 294114, 1310760, 1507, 22411, 10953, 2534305
q1, r, c, 64, 2, 43690, 4, 264082, 1441816, 1062, 22140, 10555, 2752557
q1, r, h, 64, 2, 43690, 4, 278377, 1441818, 1356, 22447, 7472, 2752730
q1, d, -, 64, 2, 43690, 4, 347483, 1616577, 6326, 99130, 49196, 3102249
q1, c, -, 64, 2, 43690, 4, 295575, 1310760, 1425, 22425, 10961, 2534306
q1, r, c, 64, 2, 43690, 4, 265920, 1441817, 1183, 22203, 10312, 2752559
q1, r, h, 64, 2, 43690, 4, 277027, 1441819, 1298, 22378, 7336, 2752732
q1, d, -, 64, 2, 43690, 4, 346883, 1616576, 6247, 99426, 49262, 3102247
q1, c, -, 64, 2, 43690, 4, 294986, 1310761, 1418, 22355, 10959, 2534307
q1, r, c, 64, 2, 43690, 4, 263980, 1441817, 1004, 22112, 10515, 2752558
q1, r, h, 64, 2, 43690, 4, 280673, 1441818, 1443, 22501, 7744, 2752730
q1, d, -, 64, 2, 43690, 4, 348991, 1616576, 6325, 99172, 49163, 3102248
q1, c, -, 64, 2, 43690, 4, 293962, 1310760, 1305, 22343, 10959, 2534305
q1, r, c, 64, 2, 43690, 4, 266507, 1441817, 1141, 22198, 10149, 2752561
q1, r, h, 64, 2, 43690, 4, 280637, 1441821, 1355, 22367, 7415, 2752733
q1, d, -, 64, 2, 43690, 4, 349705, 1616578, 6603, 99836, 49282, 3102251
q1, c, -, 64, 2, 43690, 4, 296279, 1310761, 1529, 22408, 10968, 2534308
q1, r, c, 64, 2, 43690, 4, 265392, 1441817, 1089, 22200, 10232, 2752559
q1, r, h, 64, 2, 43690, 4, 277574, 1441820, 1391, 22375, 7503, 2752733
