bench, mem, temp, enabled_col_num, row_size, row_count, col_width, cycles, l1_references, l1_refills, l2_references, l2_refills, inst_retired
q2, r, c, 2, 64, 32768, 4, 200842, 1081392, 80, 8227, 4101, 1966167
q2, r, h, 2, 64, 32768, 4, 202215, 1081392, 180, 8241, 156, 1966169
q2, d, -, 2, 64, 32768, 4, 220273, 1048624, 586, 65686, 32800, 1998935
q2, c, -, 2, 64, 32768, 4, 102773, 581680, 178, 2140, 1033, 950361
q2, r, c, 2, 64, 32768, 4, 201780, 1081393, 84, 8232, 4103, 1966170
q2, r, h, 2, 64, 32768, 4, 199700, 1081393, 177, 8015, 217, 1966168
q2, d, -, 2, 64, 32768, 4, 222543, 1048624, 613, 65733, 32813, 1998936
q2, c, -, 2, 64, 32768, 4, 101709, 581680, 206, 2282, 1039, 950359
q2, r, c, 2, 64, 32768, 4, 200840, 1081392, 74, 8211, 4102, 1966167
q2, r, h, 2, 64, 32768, 4, 200364, 1081392, 116, 8209, 140, 1966168
q2, d, -, 2, 64, 32768, 4, 221020, 1048624, 573, 65661, 32803, 1998935
q2, c, -, 2, 64, 32768, 4, 102390, 581680, 148, 2169, 1035, 950362
q2, r, c, 2, 64, 32768, 4, 201685, 1081393, 77, 8222, 4102, 1966169
q2, r, h, 2, 64, 32768, 4, 199800, 1081392, 178, 8078, 205, 1966167
q2, d, -, 2, 64, 32768, 4, 223051, 1048624, 622, 65753, 32819, 1998936
q2, c, -, 2, 64, 32768, 4, 102172, 581680, 412, 2662, 1035, 950359
q2, r, c, 2, 64, 32768, 4, 201756, 1081393, 85, 8234, 4103, 1966169
q2, r, h, 2, 64, 32768, 4, 199602, 1081392, 83, 7998, 179, 1966167
q2, d, -, 2, 64, 32768, 4, 222367, 1048625, 614, 65744, 32814, 1998938
q2, c, -, 2, 64, 32768, 4, 101675, 581681, 155, 2184, 1037, 950360
q2, r, c, 2, 64, 32768, 4, 200851, 1081392, 75, 8220, 4102, 1966167
q2, r, h, 2, 64, 32768, 4, 200413, 1081392, 78, 8033, 258, 1966168
q2, d, -, 2, 64, 32768, 4, 221370, 1048624, 609, 65730, 32815, 1998935
q2, c, -, 2, 64, 32768, 4, 102920, 581681, 303, 2397, 1035, 950361
q2, r, c, 2, 64, 32768, 4, 201702, 1081392, 84, 8230, 4102, 1966168
q2, r, h, 2, 64, 32768, 4, 199666, 1081393, 129, 8033, 252, 1966168
q2, d, -, 2, 64, 32768, 4, 222586, 1048624, 623, 65751, 32814, 1998937
q2, c, -, 2, 64, 32768, 4, 101895, 581680, 274, 2400, 1037, 950359
q2, r, c, 2, 64, 32768, 4, 200851, 1081392, 79, 8227, 4101, 1966167
q2, r, h, 2, 64, 32768, 4, 202124, 1081393, 104, 8168, 153, 1966170
q2, d, -, 2, 64, 32768, 4, 220857, 1048624, 591, 65695, 32808, 1998935
q2, c, -, 2, 64, 32768, 4, 102680, 581681, 263, 2416, 1040, 950362
q2, r, c, 2, 64, 32768, 4, 201726, 1081392, 81, 8223, 4103, 1966170
q2, r, h, 2, 64, 32768, 4, 199572, 1081392, 91, 8013, 173, 1966167
q2, d, -, 2, 64, 32768, 4, 223166, 1048625, 618, 65757, 32826, 1998937
q2, c, -, 2, 64, 32768, 4, 102058, 581680, 191, 2180, 1035, 950359
q2, r, c, 2, 64, 32768, 4, 209189, 1081393, 499, 8296, 4104, 1966170
q2, r, h, 2, 64, 32768, 4, 199533, 1081393, 82, 7781, 170, 1966168
q2, d, -, 2, 64, 32768, 4, 221999, 1048624, 615, 65739, 32825, 1998936
q2, c, -, 2, 64, 32768, 4, 101804, 581681, 244, 2365, 1036, 950360
q2, r, c, 3, 64, 32768, 4, 281819, 1474608, 113, 12324, 6151, 2687066
q2, r, h, 3, 64, 32768, 4, 279255, 1474608, 101, 12076, 654, 2687063
q2, d, -, 3, 64, 32768, 4, 308967, 1441842, 627, 65773, 32828, 2752602
q2, c, -, 3, 64, 32768, 4, 161529, 856113, 830, 4027, 1548, 1474648
q2, r, c, 3, 64, 32768, 4, 281705, 1474608, 123, 12341, 6151, 2687064
q2, r, h, 3, 64, 32768, 4, 280231, 1474609, 357, 12161, 509, 2687065
q2, d, -, 3, 64, 32768, 4, 309966, 1441840, 620, 65755, 32838, 2752600
q2, c, -, 3, 64, 32768, 4, 161737, 856113, 857, 4039, 1553, 1474648
q2, r, c, 3, 64, 32768, 4, 280943, 1474608, 114, 12329, 6150, 2687063
q2, r, h, 3, 64, 32768, 4, 280099, 1474608, 112, 12316, 669, 2687064
q2, d, -, 3, 64, 32768, 4, 309773, 1441840, 618, 65750, 32823, 2752600
q2, c, -, 3, 64, 32768, 4, 160905, 856113, 803, 4059, 1548, 1474648
q2, r, c, 3, 64, 32768, 4, 281832, 1474609, 117, 12320, 6150, 2687065
q2, r, h, 3, 64, 32768, 4, 279390, 1474608, 147, 12057, 573, 2687063
q2, d, -, 3, 64, 32768, 4, 309210, 1441841, 624, 65756, 32823, 2752601
q2, c, -, 3, 64, 32768, 4, 163010, 856113, 882, 4069, 1549, 1474649
q2, r, c, 3, 64, 32768, 4, 281001, 1474608, 106, 12304, 6151, 2687063
q2, r, h, 3, 64, 32768, 4, 281722, 1474609, 111, 12309, 831, 2687065
q2, d, -, 3, 64, 32768, 4, 310329, 1441841, 621, 65754, 32832, 2752602
q2, c, -, 3, 64, 32768, 4, 161651, 856113, 843, 4034, 1548, 1474648
q2, r, c, 3, 64, 32768, 4, 280948, 1474608, 106, 12304, 6150, 2687063
q2, r, h, 3, 64, 32768, 4, 280533, 1474608, 282, 12315, 710, 2687064
q2, d, -, 3, 64, 32768, 4, 309503, 1441841, 621, 65757, 32822, 2752601
q2, c, -, 3, 64, 32768, 4, 162287, 856113, 783, 3978, 1550, 1474650
q2, r, c, 3, 64, 32768, 4, 281989, 1474608, 123, 12345, 6150, 2687064
q2, r, h, 3, 64, 32768, 4, 279099, 1474608, 146, 12140, 525, 2687063
q2, d, -, 3, 64, 32768, 4, 308938, 1441841, 627, 65766, 32827, 2752601
q2, c, -, 3, 64, 32768, 4, 162692, 856113, 895, 4093, 1548, 1474649
q2, r, c, 3, 64, 32768, 4, 281834, 1474608, 116, 12324, 6150, 2687065
q2, r, h, 3, 64, 32768, 4, 279807, 1474610, 186, 12094, 580, 2687067
q2, d, -, 3, 64, 32768, 4, 308252, 1441840, 606, 65724, 32818, 2752599
