bench, mem, temp, row_size, enabled_cols, row_count, col_width, cycles, l1_references, l1_refills, l2_references, l2_refills, inst_retired
q1, r, c, 16, 2, 43690, 4, 281308, 1441817, 1400, 22269, 10837, 2752730
q1, r, h, 16, 2, 43690, 4, 280158, 1441817, 1417, 22421, 8187, 2752729
q1, d, -, 16, 2, 43690, 4, 341787, 1616577, 1882, 33750, 16404, 3102251
q1, c, -, 16, 2, 43690, 4, 295898, 1310762, 1646, 22727, 10938, 2534309
q1, r, c, 16, 2, 43690, 4, 265384, 1441816, 1180, 22224, 10229, 2752557
q1, r, h, 16, 2, 43690, 4, 261773, 1441819, 1098, 22244, 5994, 2752562
q1, d, -, 16, 2, 43690, 4, 347650, 1616578, 2025, 33847, 16438, 3102251
q1, c, -, 16, 2, 43690, 4, 294862, 1310761, 1650, 22830, 10963, 2534307
q1, r, c, 16, 2, 43690, 4, 266845, 1441817, 1181, 22252, 10337, 2752559
q1, r, h, 16, 2, 43690, 4, 259998, 1441819, 1247, 22268, 6640, 2752560
q1, d, -, 16, 2, 43690, 4, 343465, 1616578, 2106, 33826, 16437, 3102250
q1, c, -, 16, 2, 43690, 4, 297691, 1310760, 1717, 22770, 10932, 2534306
q1, r, c, 16, 2, 43690, 4, 266100, 1441817, 1206, 22231, 10125, 2752560
q1, r, h, 16, 2, 43690, 4, 259484, 1441817, 1027, 22174, 5908, 2752558
q1, d, -, 16, 2, 43690, 4, 345270, 1616576, 1847, 33755, 16435, 3102248
q1, c, -, 16, 2, 43690, 4, 295914, 1310761, 1686, 22838, 10958, 2534306
q1, r, c, 16, 2, 43690, 4, 265987, 1441816, 1104, 22215, 10175, 2752559
q1, r, h, 16, 2, 43690, 4, 259879, 1441819, 1028, 22163, 6127, 2752561
q1, d, -, 16, 2, 43690, 4, 341432, 1616577, 1807, 33843, 16437, 3102248
q1, c, -, 16, 2, 43690, 4, 295503, 1310760, 1642, 22739, 10954, 2534306
q1, r, c, 16, 2, 43690, 4, 264981, 1441816, 1203, 22228, 10362, 2752557
q1, r, h, 16, 2, 43690, 4, 263533, 1441818, 1056, 22193, 5883, 2752560
q1, d, -, 16, 2, 43690, 4, 341713, 1616577, 1867, 33835, 16435, 3102248
q1, c, -, 16, 2, 43690, 4, 295303, 1310761, 1630, 22684, 10944, 2534307
q1, r, c, 16, 2, 43690, 4, 264506, 1441816, 1117, 22152, 10164, 2752557
q1, r, h, 16, 2, 43690, 4, 260019, 1441819, 948, 22155, 5861, 2752561
q1, d, -, 16, 2, 43690, 4, 345491, 1616578, 1807, 33849, 16435, 3102251
q1, c, -, 16, 2, 43690, 4, 293473, 1310760, 1493, 22508, 10966, 2534305
q1, r, c, 16, 2, 43690, 4, 266576, 1441818, 1195, 22298, 10019, 2752561
q1, r, h, 16, 2, 43690, 4, 259517, 1441817, 994, 22181, 6221, 2752558
q1, d, -, 16, 2, 43690, 4, 342833, 1616577, 2007, 33901, 16442, 3102249
q1, c, -, 16, 2, 43690, 4, 293956, 1310760, 1527, 22511, 10956, 2534305
q1, r, c, 16, 2, 43690, 4, 265686, 1441817, 1166, 22366, 10100, 2752559
q1, r, h, 16, 2, 43690, 4, 259657, 1441818, 1117, 22201, 5706, 2752560
q1, d, -, 16, 2, 43690, 4, 342524, 1616577, 2101, 33826, 16436, 3102248
q1, c, -, 16, 2, 43690, 4, 295471, 1310760, 1496, 22394, 10966, 2534308
q1, r, c, 16, 2, 43690, 4, 266092, 1441816, 1214, 22322, 10144, 2752558
q1, r, h, 16, 2, 43690, 4, 259651, 1441817, 1164, 22211, 5888, 2752559
q1, d, -, 16, 2, 43690, 4, 341268, 1616578, 1771, 33819, 16446, 3102251
q1, c, -, 16, 2, 43690, 4, 294567, 1310761, 1411, 22307, 10947, 2534307
q1, r, c, 32, 2, 43690, 4, 282607, 1441817, 1331, 22373, 10965, 2752728
q1, r, h, 32, 2, 43690, 4, 278597, 1441818, 2876, 25420, 7374, 2752731
