bench, mem, temp, enabled_col_num, row_size, row_count, col_width, cycles, l1_references, l1_refills, l2_references, l2_refills, inst_retired
q2, r, c, 2, 16, 43690, 4, 208519, 976681, 902, 16175, 7786, 1758951
q2, r, h, 2, 16, 43690, 4, 207458, 976681, 901, 16169, 3631, 1758952
q2, d, -, 2, 16, 43690, 4, 207818, 976560, 1100, 27252, 13303, 1758751
q2, c, -, 2, 16, 43690, 4, 182424, 895191, 1723, 16082, 7489, 1514558
q2, r, c, 2, 16, 43690, 4, 203549, 976680, 640, 16004, 7067, 1758877
q2, r, h, 2, 16, 43690, 4, 199101, 976681, 703, 15944, 3874, 1758879
q2, d, -, 2, 16, 43690, 4, 200669, 976560, 961, 27196, 13249, 1758677
q2, c, -, 2, 16, 43690, 4, 182223, 895191, 1650, 15928, 7458, 1514558
q2, r, c, 2, 16, 43690, 4, 203698, 976681, 651, 15968, 7233, 1758880
q2, r, h, 2, 16, 43690, 4, 197756, 976680, 756, 16044, 3521, 1758877
q2, d, -, 2, 16, 43690, 4, 201163, 976560, 970, 27222, 13232, 1758678
q2, c, -, 2, 16, 43690, 4, 182862, 895191, 1773, 16168, 7638, 1514558
q2, r, c, 2, 16, 43690, 4, 203985, 976682, 765, 16023, 7495, 1758880
q2, r, h, 2, 16, 43690, 4, 197923, 976680, 772, 16118, 3635, 1758877
q2, d, -, 2, 16, 43690, 4, 201216, 976560, 927, 27188, 13254, 1758678
q2, c, -, 2, 16, 43690, 4, 182789, 895191, 1794, 16201, 7728, 1514558
q2, r, c, 2, 16, 43690, 4, 204005, 976680, 682, 15963, 7382, 1758880
q2, r, h, 2, 16, 43690, 4, 197852, 976680, 684, 15909, 3764, 1758877
q2, d, -, 2, 16, 43690, 4, 202095, 976560, 1000, 27188, 13250, 1758678
q2, c, -, 2, 16, 43690, 4, 183066, 895190, 1750, 16063, 7657, 1514559
q2, r, c, 2, 16, 43690, 4, 206643, 976680, 844, 16043, 7552, 1758879
q2, r, h, 2, 16, 43690, 4, 197597, 976680, 709, 15975, 3334, 1758877
q2, d, -, 2, 16, 43690, 4, 202009, 976560, 965, 27179, 13255, 1758679
q2, c, -, 2, 16, 43690, 4, 183230, 895191, 1782, 16087, 7647, 1514558
q2, r, c, 2, 16, 43690, 4, 204135, 976681, 713, 16074, 7496, 1758878
q2, r, h, 2, 16, 43690, 4, 197607, 976680, 731, 16022, 3559, 1758877
q2, d, -, 2, 16, 43690, 4, 201316, 976560, 954, 27168, 13286, 1758678
q2, c, -, 2, 16, 43690, 4, 182220, 895191, 1677, 16047, 7534, 1514558
q2, r, c, 2, 16, 43690, 4, 203732, 976680, 660, 15990, 7441, 1758877
q2, r, h, 2, 16, 43690, 4, 200771, 976680, 787, 16131, 3283, 1758878
q2, d, -, 2, 16, 43690, 4, 200477, 976560, 902, 27099, 13288, 1758677
q2, c, -, 2, 16, 43690, 4, 182258, 895192, 1750, 16031, 7732, 1514559
q2, r, c, 2, 16, 43690, 4, 204012, 976681, 735, 16005, 7380, 1758879
q2, r, h, 2, 16, 43690, 4, 198622, 976681, 769, 16127, 3496, 1758879
q2, d, -, 2, 16, 43690, 4, 200787, 976560, 982, 27230, 13253, 1758677
q2, c, -, 2, 16, 43690, 4, 182725, 895191, 1745, 16028, 7723, 1514558
q2, r, c, 2, 16, 43690, 4, 204183, 976682, 638, 15901, 7638, 1758879
q2, r, h, 2, 16, 43690, 4, 197830, 976680, 728, 16016, 3287, 1758877
q2, d, -, 2, 16, 43690, 4, 204181, 976561, 1012, 27193, 13284, 1758680
q2, c, -, 2, 16, 43690, 4, 183036, 895192, 1745, 16091, 7726, 1514559
q2, r, c, 2, 32, 43690, 4, 204076, 976680, 639, 15983, 7517, 1758878
q2, r, h, 2, 32, 43690, 4, 198004, 976680, 686, 15943, 3394, 1758877
q2, d, -, 2, 32, 43690, 4, 203119, 976560, 2326, 48990, 24230, 1758678
q2, c, -, 2, 32, 43690, 4, 181445, 895190, 1736, 16046, 7667, 1514557
q2, r, c, 2, 32, 43690, 4, 203806, 976680, 623, 15976, 7665, 1758877
q2, r, h, 2, 32, 43690, 4, 198846, 976681, 747, 16066, 3467, 1758881
q2, d, -, 2, 32, 43690, 4, 201981, 976560, 2277, 49019, 24243, 1758677
q2, c, -, 2, 32, 43690, 4, 181980, 895190, 1748, 16106, 7673, 1514557
q2, r, c, 2, 32, 43690, 4, 203634, 976680, 578, 15877, 7318, 1758877
q2, r, h, 2, 32, 43690, 4, 199123, 976681, 782, 16104, 3876, 1758879
q2, d, -, 2, 32, 43690, 4, 201858, 976560, 2096, 48927, 24250, 1758677
q2, c, -, 2, 32, 43690, 4, 181621, 895190, 1735, 16058, 7768, 1514557
q2, r, c, 2, 32, 43690, 4, 203786, 976680, 631, 15954, 7388, 1758877
q2, r, h, 2, 32, 43690, 4, 198671, 976681, 737, 15987, 3593, 1758879
q2, d, -, 2, 32, 43690, 4, 202041, 976560, 2226, 49036, 24229, 1758677
q2, c, -, 2, 32, 43690, 4, 181506, 895190, 1679, 15987, 7755, 1514557
q2, r, c, 2, 32, 43690, 4, 203606, 976680, 603, 15914, 7558, 1758877
q2, r, h, 2, 32, 43690, 4, 199376, 976682, 729, 16024, 3993, 1758880
q2, d, -, 2, 32, 43690, 4, 201986, 976560, 2347, 48999, 24235, 1758677
q2, c, -, 2, 32, 43690, 4, 183718, 895191, 1794, 16105, 7619, 1514560
q2, r, c, 2, 32, 43690, 4, 204007, 976681, 641, 15933, 7519, 1758879
q2, r, h, 2, 32, 43690, 4, 197939, 976680, 703, 15964, 3838, 1758877
q2, d, -, 2, 32, 43690, 4, 203436, 976560, 2260, 49111, 24254, 1758678
q2, c, -, 2, 32, 43690, 4, 182234, 895190, 1784, 16057, 7577, 1514557
q2, r, c, 2, 32, 43690, 4, 203656, 976680, 615, 15942, 7523, 1758877
q2, r, h, 2, 32, 43690, 4, 198737, 976681, 754, 16073, 3543, 1758879
q2, d, -, 2, 32, 43690, 4, 201967, 976560, 2292, 48972, 24249, 1758677
q2, c, -, 2, 32, 43690, 4, 181097, 895190, 1722, 16129, 7598, 1514557
q2, r, c, 2, 32, 43690, 4, 203685, 976680, 637, 15977, 7519, 1758877
q2, r, h, 2, 32, 43690, 4, 200918, 976681, 729, 16023, 3531, 1758879
q2, d, -, 2, 32, 43690, 4, 202131, 976560, 2254, 48966, 24243, 1758677
q2, c, -, 2, 32, 43690, 4, 181588, 895190, 1714, 16017, 7674, 1514557
q2, r, c, 2, 32, 43690, 4, 203710, 976680, 627, 15945, 7540, 1758877
q2, r, h, 2, 32, 43690, 4, 198787, 976681, 743, 16035, 3621, 1758878
q2, d, -, 2, 32, 43690, 4, 202269, 976560, 2226, 49101, 24249, 1758677
q2, c, -, 2, 32, 43690, 4, 183517, 895191, 1794, 16073, 7681, 1514558
q2, r, c, 2, 32, 43690, 4, 206188, 976680, 691, 15998, 7469, 1758878
q2, r, h, 2, 32, 43690, 4, 197732, 976680, 730, 16070, 3434, 1758877
q2, d, -, 2, 32, 43690, 4, 203688, 976561, 2381, 48984, 24248, 1758679
q2, c, -, 2, 32, 43690, 4, 181764, 895191, 1692, 15996, 7638, 1514558
q2, r, c, 2, 64, 43690, 4, 203995, 976680, 620, 15955, 7466, 1758878
q2, r, h, 2, 64, 43690, 4, 197697, 976680, 718, 16005, 3602, 1758877
q2, d, -, 2, 64, 43690, 4, 213970, 976561, 3468, 92936, 46136, 1758680
q2, c, -, 2, 64, 43690, 4, 181945, 895190, 1738, 16073, 7666, 1514557
q2, r, c, 2, 64, 43690, 4, 203834, 976681, 665, 16009, 7589, 1758878
q2, r, h, 2, 64, 43690, 4, 198101, 976680, 726, 16001, 3630, 1758877
q2, d, -, 2, 64, 43690, 4, 213719, 976561, 3474, 92941, 46146, 1758679
q2, c, -, 2, 64, 43690, 4, 181924, 895190, 1703, 16064, 7678, 1514557
q2, r, c, 2, 64, 43690, 4, 203879, 976682, 709, 16060, 7409, 1758879
q2, r, h, 2, 64, 43690, 4, 197744, 976680, 738, 16005, 3649, 1758877
q2, d, -, 2, 64, 43690, 4, 212891, 976561, 3470, 92948, 46131, 1758679
q2, c, -, 2, 64, 43690, 4, 181492, 895191, 1739, 16197, 7773, 1514557
