bench, mem, temp, row_size, row_count, col_width, cycles, l1_references, l1_refills, l2_references, l2_refills, inst_retired
q3, r, c, 16, 43690, 4, 154813, 655216, 100, 10975, 5478, 1310427
q3, r, h, 16, 43690, 4, 145222, 608681, 155, 10955, 1128, 1217356
q3, d, -, 16, 43690, 4, 117293, 434983, 221, 21979, 10950, 913652
q3, r, c, 16, 43690, 4, 103371, 429034, 102, 10978, 5481, 858063
q3, r, h, 16, 43690, 4, 105122, 429035, 645, 10987, 1305, 858064
q3, d, -, 16, 43690, 4, 114252, 434983, 217, 21959, 10952, 913652
q3, r, c, 16, 43690, 4, 133874, 429035, 1408, 11073, 5476, 858066
q3, r, h, 16, 43690, 4, 102920, 429035, 98, 10677, 982, 858066
q3, d, -, 16, 43690, 4, 112921, 434983, 204, 21931, 10950, 913651
q3, r, c, 16, 43690, 4, 108391, 429034, 128, 11018, 5471, 858065
q3, r, h, 16, 43690, 4, 102784, 429035, 212, 10822, 952, 858064
q3, d, -, 16, 43690, 4, 113014, 434983, 210, 21945, 10951, 913651
q3, r, c, 16, 43690, 4, 108638, 429035, 124, 11015, 5457, 858066
q3, r, h, 16, 43690, 4, 101969, 429035, 139, 10719, 958, 858064
q3, d, -, 16, 43690, 4, 127535, 434983, 1066, 21998, 10955, 913652
q3, r, c, 16, 43690, 4, 110774, 429034, 149, 11031, 5476, 858067
q3, r, h, 16, 43690, 4, 103002, 429034, 106, 10781, 1159, 858065
q3, d, -, 16, 43690, 4, 113058, 434983, 203, 21929, 10954, 913651
q3, r, c, 16, 43690, 4, 112046, 429037, 166, 11022, 5482, 858070
q3, r, h, 16, 43690, 4, 101928, 429035, 136, 10736, 1103, 858064
q3, d, -, 16, 43690, 4, 113083, 434983, 202, 21929, 10956, 913651
q3, r, c, 16, 43690, 4, 110649, 429035, 126, 10994, 5480, 858068
q3, r, h, 16, 43690, 4, 101879, 429035, 89, 10674, 1132, 858064
q3, d, -, 16, 43690, 4, 114672, 434983, 216, 21950, 10954, 913653
q3, r, c, 16, 43690, 4, 135121, 429038, 1183, 11049, 5480, 858071
q3, r, h, 16, 43690, 4, 102074, 429035, 91, 10515, 1128, 858064
q3, d, -, 16, 43690, 4, 112914, 434983, 204, 21931, 10950, 913651
q3, r, c, 16, 43690, 4, 109353, 429030, 121, 11004, 5475, 858056
q3, r, h, 16, 43690, 4, 101936, 429035, 92, 10651, 1170, 858064
q3, d, -, 16, 43690, 4, 117873, 434983, 208, 21942, 10946, 913653
q3, r, c, 32, 43690, 4, 107416, 429035, 118, 11008, 5478, 858065
q3, r, h, 32, 43690, 4, 102976, 429035, 100, 10756, 1173, 858065
q3, d, -, 32, 43690, 4, 116650, 434983, 381, 43781, 21876, 913651
q3, r, c, 32, 43690, 4, 108095, 429035, 111, 10997, 5477, 858067
q3, r, h, 32, 43690, 4, 102106, 429035, 101, 10671, 1075, 858064
q3, d, -, 32, 43690, 4, 116723, 434983, 410, 43849, 21883, 913651
q3, r, c, 32, 43690, 4, 107484, 429035, 105, 10976, 5477, 858065
q3, r, h, 32, 43690, 4, 102854, 429035, 101, 10858, 1028, 858065
q3, d, -, 32, 43690, 4, 116687, 434983, 408, 43844, 21892, 913651
q3, r, c, 32, 43690, 4, 107485, 429035, 117, 11007, 5477, 858065
q3, r, h, 32, 43690, 4, 102513, 429035, 165, 10820, 1200, 858064
q3, d, -, 32, 43690, 4, 116764, 434983, 403, 43828, 21893, 913651
q3, r, c, 32, 43690, 4, 108652, 429036, 114, 11009, 5475, 858069
q3, r, h, 32, 43690, 4, 102201, 429035, 158, 10841, 1207, 858064
q3, d, -, 32, 43690, 4, 116668, 434983, 401, 43830, 21881, 913651
q3, r, c, 32, 43690, 4, 103304, 429034, 97, 10970, 5478, 858063
q3, r, h, 32, 43690, 4, 102322, 429035, 154, 10879, 1127, 858064
q3, d, -, 32, 43690, 4, 116439, 434983, 396, 43818, 21879, 913651
q3, r, c, 32, 43690, 4, 110464, 429036, 130, 11037, 5476, 858069
q3, r, h, 32, 43690, 4, 103169, 429035, 95, 10843, 1002, 858065
q3, d, -, 32, 43690, 4, 116902, 434983, 403, 43833, 21894, 913651
q3, r, c, 32, 43690, 4, 112490, 429036, 220, 11041, 5480, 858069
q3, r, h, 32, 43690, 4, 101893, 429034, 110, 10698, 998, 858063
q3, d, -, 32, 43690, 4, 175070, 434983, 5743, 44100, 21887, 913652
q3, r, c, 32, 43690, 4, 107989, 429030, 112, 10993, 5477, 858055
q3, r, h, 32, 43690, 4, 102182, 429029, 126, 10936, 1183, 858052
q3, d, -, 32, 43690, 4, 162083, 434983, 4454, 43949, 21873, 913652
