bench, mem, temp, row_size, row_count, col_width, cycles, l1_references, l1_refills, l2_references, l2_refills, inst_retired
q2, r, c, 16, 43690, 4, 145382, 581681, 101, 10977, 5479, 1169362
q2, r, h, 16, 43690, 4, 144868, 581681, 258, 10920, 1197, 1169362
q2, d, -, 16, 43690, 4, 164538, 663063, 220, 21962, 10945, 1369811
q2, c, -, 16, 43690, 4, 207626, 663063, 588, 11086, 5481, 1532562
q2, r, c, 16, 43690, 4, 146294, 581681, 100, 10974, 5477, 1169363
q2, r, h, 16, 43690, 4, 143867, 581681, 144, 10807, 1164, 1169362
q2, d, -, 16, 43690, 4, 164570, 663062, 221, 21960, 10954, 1369811
q2, c, -, 16, 43690, 4, 207652, 663063, 604, 11113, 5484, 1532562
q2, r, c, 16, 43690, 4, 146304, 581682, 102, 10973, 5477, 1169364
q2, r, h, 16, 43690, 4, 143573, 581681, 175, 10702, 1185, 1169362
q2, d, -, 16, 43690, 4, 164349, 663062, 232, 21954, 10942, 1369811
q2, c, -, 16, 43690, 4, 207724, 663057, 582, 11067, 5480, 1532548
q2, r, c, 16, 43690, 4, 145368, 581682, 96, 10961, 5475, 1169363
q2, r, h, 16, 43690, 4, 143490, 581681, 115, 10780, 1190, 1169362
q2, d, -, 16, 43690, 4, 164972, 663063, 214, 21956, 10951, 1369812
q2, c, -, 16, 43690, 4, 207577, 663063, 584, 11073, 5479, 1532562
q2, r, c, 16, 43690, 4, 145379, 581682, 95, 10963, 5475, 1169363
q2, r, h, 16, 43690, 4, 145154, 581681, 231, 10961, 1370, 1169365
q2, d, -, 16, 43690, 4, 163307, 663062, 207, 21935, 10949, 1369809
q2, c, -, 16, 43690, 4, 208697, 663063, 582, 11072, 5480, 1532563
q2, r, c, 16, 43690, 4, 146157, 581682, 116, 10995, 5477, 1169364
q2, r, h, 16, 43690, 4, 145807, 581681, 289, 10865, 1184, 1169362
q2, d, -, 16, 43690, 4, 164481, 663063, 214, 21945, 10946, 1369812
q2, c, -, 16, 43690, 4, 207598, 663063, 589, 11076, 5483, 1532562
q2, r, c, 16, 43690, 4, 145361, 581681, 93, 10960, 5478, 1169362
q2, r, h, 16, 43690, 4, 144538, 581681, 115, 10957, 1150, 1169364
q2, d, -, 16, 43690, 4, 163344, 663062, 202, 21929, 10951, 1369809
q2, c, -, 16, 43690, 4, 207711, 663063, 571, 11037, 5483, 1532562
q2, r, c, 16, 43690, 4, 145414, 581681, 103, 10978, 5478, 1169362
