bench, mem, temp, row_size, row_count, col_width, cycles, l1_references, l1_refills, l2_references, l2_refills, inst_retired
q1, r, c, 16, 43690, 4, 213396, 1179677, 101, 10977, 5476, 2140898
q1, r, h, 16, 43690, 4, 215426, 1179680, 623, 10965, 1165, 2140903
q1, d, -, 16, 43690, 4, 294091, 1267057, 206, 21931, 10950, 2752558
q1, c, -, 16, 43690, 4, 294450, 961241, 214, 11015, 5478, 2359375
q1, r, c, 16, 43690, 4, 215500, 1179679, 169, 10986, 5476, 2140902
q1, r, h, 16, 43690, 4, 212268, 1179676, 132, 10695, 1215, 2140897
q1, d, -, 16, 43690, 4, 294721, 1267057, 206, 21938, 10947, 2752559
q1, c, -, 16, 43690, 4, 293467, 961241, 114, 10972, 5477, 2359376
q1, r, c, 16, 43690, 4, 214450, 1179679, 115, 10989, 5474, 2140902
q1, r, h, 16, 43690, 4, 211982, 1179678, 112, 10800, 1179, 2140898
q1, d, -, 16, 43690, 4, 294793, 1267056, 213, 21948, 10946, 2752560
q1, c, -, 16, 43690, 4, 293449, 961241, 116, 10978, 5478, 2359375
q1, r, c, 16, 43690, 4, 215658, 1179678, 177, 10988, 5476, 2140901
q1, r, h, 16, 43690, 4, 211950, 1179677, 102, 10588, 1133, 2140898
q1, d, -, 16, 43690, 4, 294885, 1267057, 213, 21949, 10951, 2752559
q1, c, -, 16, 43690, 4, 294189, 961241, 201, 11014, 5476, 2359376
q1, r, c, 16, 43690, 4, 214333, 1179677, 109, 10982, 5476, 2140899
q1, r, h, 16, 43690, 4, 213038, 1179680, 141, 10899, 1264, 2140902
q1, d, -, 16, 43690, 4, 294163, 1267057, 207, 21932, 10953, 2752558
q1, c, -, 16, 43690, 4, 294268, 961242, 186, 10998, 5484, 2359376
q1, r, c, 16, 43690, 4, 213429, 1179677, 98, 10963, 5476, 2140898
q1, r, h, 16, 43690, 4, 214151, 1179677, 208, 10975, 1420, 2140900
q1, d, -, 16, 43690, 4, 294829, 1267058, 215, 21947, 10944, 2752561
q1, c, -, 16, 43690, 4, 293647, 961241, 116, 10998, 5479, 2359375
q1, r, c, 16, 43690, 4, 217119, 1179681, 146, 10981, 5478, 2140902
q1, r, h, 16, 43690, 4, 211894, 1179678, 119, 10774, 1119, 2140898
q1, d, -, 16, 43690, 4, 294891, 1267058, 209, 21936, 10954, 2752560
q1, c, -, 16, 43690, 4, 292516, 961242, 105, 10970, 5475, 2359374
q1, r, c, 16, 43690, 4, 215324, 1179679, 173, 11001, 5478, 2140902
q1, r, h, 16, 43690, 4, 212010, 1179678, 146, 10800, 1308, 2140898
q1, d, -, 16, 43690, 4, 299058, 1267056, 626, 22014, 10942, 2752558
q1, c, -, 16, 43690, 4, 293519, 961241, 106, 10978, 5476, 2359375
q1, r, c, 16, 43690, 4, 213394, 1179678, 94, 10961, 5475, 2140898
q1, r, h, 16, 43690, 4, 213889, 1179678, 159, 10963, 1384, 2140901
q1, d, -, 16, 43690, 4, 296874, 1267056, 395, 21965, 10949, 2752559
q1, c, -, 16, 43690, 4, 293517, 961242, 114, 10984, 5478, 2359376
q1, r, c, 16, 43690, 4, 213402, 1179678, 101, 10976, 5475, 2140899
q1, r, h, 16, 43690, 4, 214828, 1179679, 508, 10928, 1105, 2140901
q1, d, -, 16, 43690, 4, 294062, 1267056, 217, 21944, 10948, 2752557
q1, c, -, 16, 43690, 4, 293424, 961241, 112, 10991, 5478, 2359376
q1, r, c, 32, 43690, 4, 213428, 1179677, 107, 10982, 5477, 2140898
q1, r, h, 32, 43690, 4, 213134, 1179678, 129, 10834, 1155, 2140900
q1, d, -, 32, 43690, 4, 297205, 1267056, 379, 43782, 21875, 2752557
q1, c, -, 32, 43690, 4, 293382, 961241, 115, 10983, 5477, 2359375
q1, r, c, 32, 43690, 4, 216301, 1179680, 114, 10989, 5475, 2140903
q1, r, h, 32, 43690, 4, 212016, 1179680, 122, 10646, 1239, 2140900
q1, d, -, 32, 43690, 4, 298030, 1267057, 415, 43851, 21882, 2752559
q1, c, -, 32, 43690, 4, 293357, 961242, 116, 10983, 5476, 2359376
q1, r, c, 32, 43690, 4, 216381, 1179680, 119, 11001, 5478, 2140903
q1, r, h, 32, 43690, 4, 212058, 1179678, 111, 10777, 1221, 2140898
q1, d, -, 32, 43690, 4, 297902, 1267057, 417, 43850, 21888, 2752559
q1, c, -, 32, 43690, 4, 293413, 961241, 108, 10978, 5477, 2359376
q1, r, c, 32, 43690, 4, 216534, 1179679, 126, 10994, 5475, 2140902
q1, r, h, 32, 43690, 4, 212369, 1179678, 137, 10787, 1241, 2140898
q1, d, -, 32, 43690, 4, 298002, 1267058, 413, 43846, 21900, 2752560
q1, c, -, 32, 43690, 4, 293277, 961242, 119, 10974, 5478, 2359376
q1, r, c, 32, 43690, 4, 216306, 1179680, 113, 10997, 5475, 2140901
q1, r, h, 32, 43690, 4, 211898, 1179678, 90, 10736, 1064, 2140898
q1, d, -, 32, 43690, 4, 297920, 1267057, 414, 43843, 21895, 2752559
q1, c, -, 32, 43690, 4, 292545, 961242, 105, 10976, 5477, 2359374
q1, r, c, 32, 43690, 4, 213389, 1179678, 96, 10966, 5475, 2140899
q1, r, h, 32, 43690, 4, 213614, 1179678, 163, 10971, 1073, 2140902
q1, d, -, 32, 43690, 4, 297197, 1267056, 405, 43834, 21897, 2752557
q1, c, -, 32, 43690, 4, 293474, 961242, 115, 10993, 5476, 2359377
q1, r, c, 32, 43690, 4, 214299, 1179678, 110, 10995, 5477, 2140900
q1, r, h, 32, 43690, 4, 211840, 1179677, 92, 10756, 1035, 2140897
q1, d, -, 32, 43690, 4, 298621, 1267057, 471, 43860, 21889, 2752559
q1, c, -, 32, 43690, 4, 292603, 961241, 97, 10959, 5476, 2359374
q1, r, c, 32, 43690, 4, 213395, 1179677, 99, 10972, 5475, 2140898
q1, r, h, 32, 43690, 4, 213806, 1179679, 226, 10912, 1058, 2140901
q1, d, -, 32, 43690, 4, 298159, 1267058, 425, 43869, 21890, 2752560
q1, c, -, 32, 43690, 4, 292492, 961241, 111, 10974, 5475, 2359374
q1, r, c, 32, 43690, 4, 213382, 1179679, 96, 10962, 5474, 2140899
q1, r, h, 32, 43690, 4, 213487, 1179677, 163, 10839, 1025, 2140902
q1, d, -, 32, 43690, 4, 303924, 1267056, 931, 43888, 21884, 2752558
q1, c, -, 32, 43690, 4, 292468, 961241, 109, 10977, 5475, 2359374
q1, r, c, 32, 43690, 4, 214322, 1179678, 106, 10971, 5475, 2140900
q1, r, h, 32, 43690, 4, 211810, 1179679, 94, 10780, 1029, 2140899
q1, d, -, 32, 43690, 4, 299080, 1267058, 506, 43862, 21899, 2752560
q1, c, -, 32, 43690, 4, 292505, 961242, 97, 10955, 5476, 2359374
q1, r, c, 64, 43690, 4, 213418, 1179677, 97, 10965, 5474, 2140898
q1, r, h, 64, 43690, 4, 213825, 1179678, 175, 10954, 1097, 2140900
q1, d, -, 64, 43690, 4, 343502, 1267056, 4386, 87763, 43794, 2752558
q1, c, -, 64, 43690, 4, 293500, 961241, 110, 10990, 5478, 2359375
q1, r, c, 64, 43690, 4, 214161, 1179679, 107, 10974, 5475, 2140903
q1, r, h, 64, 43690, 4, 212336, 1179678, 125, 10661, 968, 2140899
q1, d, -, 64, 43690, 4, 409338, 1267057, 10499, 87895, 43766, 2752560
q1, c, -, 64, 43690, 4, 292557, 961242, 111, 10977, 5477, 2359374
q1, r, c, 64, 43690, 4, 214227, 1179680, 101, 10979, 5475, 2140902
q1, r, h, 64, 43690, 4, 211892, 1179677, 91, 10760, 950, 2140897
q1, d, -, 64, 43690, 4, 303534, 1267057, 816, 87660, 43776, 2752559
q1, c, -, 64, 43690, 4, 292518, 961241, 99, 10965, 5475, 2359374
q1, r, c, 64, 43690, 4, 214308, 1179678, 115, 10994, 5475, 2140900
q1, r, h, 64, 43690, 4, 211943, 1179678, 146, 10856, 1046, 2140899
q1, d, -, 64, 43690, 4, 303279, 1267057, 848, 87654, 43774, 2752559
q1, c, -, 64, 43690, 4, 293374, 961241, 108, 10970, 5476, 2359375
q1, r, c, 64, 43690, 4, 220593, 1179681, 474, 11065, 5477, 2140903
q1, r, h, 64, 43690, 4, 212077, 1179677, 187, 10524, 1040, 2140898
q1, d, -, 64, 43690, 4, 303075, 1267056, 846, 87668, 43785, 2752560
q1, c, -, 64, 43690, 4, 292497, 961241, 98, 10966, 5476, 2359374
q1, r, c, 64, 43690, 4, 213402, 1179680, 106, 10989, 5475, 2140901
q1, r, h, 64, 43690, 4, 213806, 1179678, 200, 10961, 1055, 2140900
q1, d, -, 64, 43690, 4, 301993, 1267056, 805, 87641, 43773, 2752557
q1, c, -, 64, 43690, 4, 292461, 961241, 106, 10976, 5475, 2359374
q1, r, c, 64, 43690, 4, 213394, 1179678, 99, 10966, 5475, 2140899
q1, r, h, 64, 43690, 4, 215165, 1179676, 617, 10950, 1073, 2140898
q1, d, -, 64, 43690, 4, 302017, 1267056, 806, 87646, 43754, 2752557
q1, c, -, 64, 43690, 4, 293401, 961241, 122, 11003, 5475, 2359375
q1, r, c, 64, 43690, 4, 214256, 1179678, 107, 10978, 5475, 2140900
q1, r, h, 64, 43690, 4, 212556, 1179676, 137, 10715, 1022, 2140898
q1, d, -, 64, 43690, 4, 302001, 1267058, 811, 87651, 43787, 2752558
q1, c, -, 64, 43690, 4, 293438, 961241, 124, 11007, 5477, 2359377
q1, r, c, 64, 43690, 4, 214251, 1179678, 113, 10986, 5475, 2140902
q1, r, h, 64, 43690, 4, 212466, 1179679, 107, 10774, 997, 2140901
q1, d, -, 64, 43690, 4, 302049, 1267058, 802, 87634, 43774, 2752558
q1, c, -, 64, 43690, 4, 292506, 961241, 101, 10972, 5475, 2359374
q1, r, c, 64, 43690, 4, 214294, 1179679, 106, 10979, 5475, 2140901
q1, r, h, 64, 43690, 4, 211977, 1179677, 102, 10810, 976, 2140898
q1, d, -, 64, 43690, 4, 303589, 1267056, 820, 87664, 43789, 2752558
q1, c, -, 64, 43690, 4, 293429, 961241, 118, 10993, 5476, 2359375
q1, r, c, 128, 43690, 4, 214332, 1179679, 105, 10981, 5475, 2140901
q1, r, h, 128, 43690, 4, 212665, 1179678, 187, 10868, 915, 2140898
q1, d, -, 128, 43690, 4, 364073, 1267057, 6229, 88102, 43788, 2752560
q1, c, -, 128, 43690, 4, 292489, 961242, 110, 10990, 5475, 2359374
q1, r, c, 128, 43690, 4, 215036, 1179678, 143, 10981, 5477, 2140900
q1, r, h, 128, 43690, 4, 211820, 1179677, 92, 10620, 994, 2140897
q1, d, -, 128, 43690, 4, 314071, 1267058, 1572, 87797, 43786, 2752561
q1, c, -, 128, 43690, 4, 293461, 961242, 116, 11003, 5476, 2359377
q1, r, c, 128, 43690, 4, 213394, 1179678, 106, 10981, 5474, 2140899
q1, r, h, 128, 43690, 4, 213312, 1179678, 295, 10933, 869, 2140900
q1, d, -, 128, 43690, 4, 311753, 1267056, 1552, 87774, 43777, 2752557
q1, c, -, 128, 43690, 4, 293354, 961241, 110, 10976, 5476, 2359375
q1, r, c, 128, 43690, 4, 213402, 1179677, 104, 10981, 5475, 2140898
q1, r, h, 128, 43690, 4, 213408, 1179677, 367, 10944, 1109, 2140899
q1, d, -, 128, 43690, 4, 317029, 1267057, 1568, 87811, 43778, 2752559
q1, c, -, 128, 43690, 4, 292480, 961242, 106, 10980, 5476, 2359374
q1, r, c, 128, 43690, 4, 213389, 1179678, 98, 10968, 5475, 2140899
q1, r, h, 128, 43690, 4, 215232, 1179677, 623, 10946, 1044, 2140899
q1, d, -, 128, 43690, 4, 311872, 1267057, 1556, 87780, 43778, 2752557
q1, c, -, 128, 43690, 4, 293369, 961241, 117, 11009, 5476, 2359375
q1, r, c, 128, 43690, 4, 213399, 1179679, 106, 10986, 5474, 2140899
q1, r, h, 128, 43690, 4, 213687, 1179677, 244, 10985, 989, 2140899
q1, d, -, 128, 43690, 4, 311820, 1267056, 1545, 87744, 43773, 2752557
q1, c, -, 128, 43690, 4, 293400, 961241, 125, 10993, 5476, 2359375
q1, r, c, 128, 43690, 4, 213394, 1179677, 100, 10973, 5474, 2140898
q1, r, h, 128, 43690, 4, 213654, 1179677, 242, 10928, 859, 2140899
q1, d, -, 128, 43690, 4, 313969, 1267056, 1558, 87772, 43775, 2752558
q1, c, -, 128, 43690, 4, 292526, 961242, 106, 10980, 5476, 2359374
q1, r, c, 128, 43690, 4, 216498, 1179678, 237, 11014, 5478, 2140900
q1, r, h, 128, 43690, 4, 211834, 1179677, 131, 10557, 913, 2140898
q1, d, -, 128, 43690, 4, 314168, 1267056, 1569, 87804, 43792, 2752559
q1, c, -, 128, 43690, 4, 293721, 961242, 155, 11027, 5477, 2359376
q1, r, c, 128, 43690, 4, 213390, 1179679, 102, 10976, 5474, 2140899
q1, r, h, 128, 43690, 4, 213954, 1179678, 332, 10920, 943, 2140900
q1, d, -, 128, 43690, 4, 311738, 1267056, 1555, 87776, 43767, 2752557
q1, c, -, 128, 43690, 4, 293366, 961241, 118, 10992, 5476, 2359375
q1, r, c, 128, 43690, 4, 213387, 1179678, 96, 10964, 5475, 2140899
q1, r, h, 128, 43690, 4, 213780, 1179677, 197, 10875, 999, 2140902
q1, d, -, 128, 43690, 4, 313694, 1267056, 1559, 87783, 43778, 2752559
q1, c, -, 128, 43690, 4, 292514, 961242, 112, 10993, 5477, 2359374
q1, r, c, 256, 43690, 4, 214260, 1179678, 104, 10980, 5475, 2140900
q1, r, h, 256, 43690, 4, 213926, 1179678, 632, 10948, 987, 2140898
q1, d, -, 256, 43690, 4, 332574, 1267056, 3103, 88138, 43786, 2752558
q1, c, -, 256, 43690, 4, 292542, 961241, 106, 10983, 5475, 2359374
q1, r, c, 256, 43690, 4, 213402, 1179678, 102, 10978, 5475, 2140899
q1, r, h, 256, 43690, 4, 215128, 1179677, 621, 10937, 970, 2140899
q1, d, -, 256, 43690, 4, 331071, 1267056, 3087, 88105, 43785, 2752557
q1, c, -, 256, 43690, 4, 292643, 961242, 118, 11008, 5476, 2359374
q1, r, c, 256, 43690, 4, 213382, 1179679, 103, 10980, 5474, 2140899
q1, r, h, 256, 43690, 4, 212862, 1179677, 136, 10986, 913, 2140899
q1, d, -, 256, 43690, 4, 332248, 1267056, 3079, 88096, 43779, 2752558
q1, c, -, 256, 43690, 4, 292453, 961242, 111, 10992, 5475, 2359374
q1, r, c, 256, 43690, 4, 218749, 1179678, 377, 11066, 5476, 2140900
q1, r, h, 256, 43690, 4, 211845, 1179677, 104, 10577, 871, 2140898
q1, d, -, 256, 43690, 4, 332662, 1267057, 3097, 88129, 43787, 2752560
q1, c, -, 256, 43690, 4, 292586, 961242, 105, 10981, 5475, 2359374
q1, r, c, 256, 43690, 4, 214153, 1179679, 117, 10993, 5475, 2140901
q1, r, h, 256, 43690, 4, 213009, 1179678, 146, 10909, 826, 2140900
q1, d, -, 256, 43690, 4, 331627, 1267057, 3069, 88066, 43804, 2752558
q1, c, -, 256, 43690, 4, 292461, 961242, 123, 11016, 5476, 2359374
q1, r, c, 256, 43690, 4, 213400, 1179678, 110, 10989, 5475, 2140899
q1, r, h, 256, 43690, 4, 213828, 1179677, 472, 11001, 1014, 2140899
q1, d, -, 256, 43690, 4, 332612, 1267056, 3111, 88153, 43808, 2752558
q1, c, -, 256, 43690, 4, 292455, 961242, 112, 10985, 5476, 2359374
q1, r, c, 256, 43690, 4, 214280, 1179678, 117, 11003, 5476, 2140902
q1, r, h, 256, 43690, 4, 212216, 1179679, 140, 10815, 915, 2140899
q1, d, -, 256, 43690, 4, 332628, 1267056, 3081, 88097, 43810, 2752558
q1, c, -, 256, 43690, 4, 292577, 961241, 111, 10992, 5475, 2359374
q1, r, c, 256, 43690, 4, 224417, 1179678, 676, 11087, 5478, 2140902
q1, r, h, 256, 43690, 4, 212685, 1179678, 222, 10793, 790, 2140900
q1, d, -, 256, 43690, 4, 330967, 1267057, 3091, 88113, 43782, 2752558
q1, c, -, 256, 43690, 4, 292543, 961242, 121, 11010, 5475, 2359374
q1, r, c, 256, 43690, 4, 213398, 1179679, 111, 10996, 5475, 2140899
q1, r, h, 256, 43690, 4, 214634, 1179681, 608, 11016, 993, 2140903
q1, d, -, 256, 43690, 4, 332001, 1267057, 3092, 88117, 43783, 2752559
q1, c, -, 256, 43690, 4, 292470, 961242, 112, 10993, 5475, 2359374
q1, r, c, 256, 43690, 4, 214255, 1179679, 120, 11021, 5475, 2140901
q1, r, h, 256, 43690, 4, 211859, 1179678, 93, 10636, 829, 2140899
q1, d, -, 256, 43690, 4, 332616, 1267056, 3090, 88120, 43796, 2752559
q1, c, -, 256, 43690, 4, 292609, 961241, 109, 10986, 5475, 2359374
