bench, mem, temp, row_size, row_count, col_width, cycles, l1_references, l1_refills, l2_references, l2_refills, inst_retired
q2, r, c, 16, 43690, 4, 203252, 581682, 103, 10992, 5484, 1169363
q2, r, h, 16, 43690, 4, 143956, 581681, 146, 10944, 1219, 1169362
q2, d, -, 16, 43690, 4, 166420, 663063, 214, 21959, 10944, 1369811
q2, r, c, 16, 43690, 4, 203370, 581682, 101, 10976, 5479, 1169364
q2, r, h, 16, 43690, 4, 144074, 581682, 175, 10658, 1273, 1169362
q2, d, -, 16, 43690, 4, 163324, 663062, 213, 21944, 10952, 1369809
q2, r, c, 16, 43690, 4, 203491, 581682, 99, 10986, 5486, 1169363
q2, r, h, 16, 43690, 4, 144759, 581682, 124, 10948, 1232, 1169364
q2, d, -, 16, 43690, 4, 163236, 663062, 193, 21908, 10944, 1369809
q2, r, c, 16, 43690, 4, 203432, 581681, 97, 10986, 5487, 1169362
q2, r, h, 16, 43690, 4, 144023, 581681, 118, 10764, 1163, 1169362
q2, d, -, 16, 43690, 4, 164436, 663062, 217, 21950, 10943, 1369811
q2, r, c, 16, 43690, 4, 203484, 581683, 103, 10988, 5484, 1169365
q2, r, h, 16, 43690, 4, 143440, 581682, 139, 10780, 1012, 1169362
q2, d, -, 16, 43690, 4, 164343, 663062, 220, 21960, 10947, 1369811
q2, r, c, 16, 43690, 4, 203837, 581681, 102, 10967, 5474, 1169364
q2, r, h, 16, 43690, 4, 144783, 581681, 192, 10839, 1203, 1169362
q2, d, -, 16, 43690, 4, 163167, 663062, 197, 21914, 10938, 1369809
q2, r, c, 16, 43690, 4, 203359, 581681, 93, 10978, 5487, 1169362
q2, r, h, 16, 43690, 4, 145844, 581682, 185, 10883, 1455, 1169364
q2, d, -, 16, 43690, 4, 163235, 663062, 205, 21937, 10942, 1369809
q2, r, c, 16, 43690, 4, 203279, 581681, 95, 10986, 5487, 1169362
q2, r, h, 16, 43690, 4, 146427, 581681, 359, 10954, 1398, 1169363
q2, d, -, 16, 43690, 4, 163276, 663062, 208, 21940, 10945, 1369809
q2, r, c, 16, 43690, 4, 203384, 581682, 98, 10997, 5489, 1169363
q2, r, h, 16, 43690, 4, 144044, 581681, 201, 10938, 1299, 1169362
q2, d, -, 16, 43690, 4, 164750, 663063, 213, 21938, 10947, 1369811
q2, r, c, 16, 43690, 4, 203400, 581682, 108, 11002, 5487, 1169364
q2, r, h, 16, 43690, 4, 147211, 581682, 569, 10896, 1228, 1169362
q2, d, -, 16, 43690, 4, 164092, 663062, 218, 21954, 10948, 1369810
q2, r, c, 32, 43690, 4, 203358, 581683, 670, 11019, 5487, 1169365
q2, r, h, 32, 43690, 4, 143495, 581682, 107, 10621, 1085, 1169362
q2, d, -, 32, 43690, 4, 169099, 663062, 458, 43879, 21901, 1369810
q2, r, c, 32, 43690, 4, 203356, 581682, 107, 11004, 5486, 1169364
q2, r, h, 32, 43690, 4, 145809, 581682, 346, 10809, 1274, 1169362
q2, d, -, 32, 43690, 4, 166991, 663062, 408, 43841, 21895, 1369809
q2, r, c, 32, 43690, 4, 203327, 581682, 101, 10985, 5486, 1169364
q2, r, h, 32, 43690, 4, 143855, 581681, 145, 10810, 878, 1169362
q2, d, -, 32, 43690, 4, 167000, 663062, 406, 43834, 21901, 1369809
q2, r, c, 32, 43690, 4, 203371, 581682, 105, 11004, 5491, 1169364
q2, r, h, 32, 43690, 4, 143896, 581682, 160, 10691, 1130, 1169362
q2, d, -, 32, 43690, 4, 166729, 663062, 408, 43844, 21889, 1369809
q2, r, c, 32, 43690, 4, 203358, 581683, 110, 10993, 5486, 1169365
q2, r, h, 32, 43690, 4, 144211, 581681, 203, 10689, 1068, 1169362
q2, d, -, 32, 43690, 4, 166779, 663062, 408, 43844, 21885, 1369809
q2, r, c, 32, 43690, 4, 203297, 581682, 97, 10985, 5488, 1169363
q2, r, h, 32, 43690, 4, 143954, 581681, 193, 10814, 1065, 1169362
q2, d, -, 32, 43690, 4, 170072, 663063, 418, 43864, 21895, 1369812
q2, r, c, 32, 43690, 4, 203423, 581681, 104, 10999, 5487, 1169362
q2, r, h, 32, 43690, 4, 145744, 581681, 236, 10884, 1031, 1169364
q2, d, -, 32, 43690, 4, 166917, 663062, 409, 43846, 21898, 1369809
q2, r, c, 32, 43690, 4, 203394, 581682, 97, 10990, 5490, 1169363
q2, r, h, 32, 43690, 4, 145008, 581682, 175, 10867, 1210, 1169364
q2, d, -, 32, 43690, 4, 166927, 663062, 411, 43852, 21898, 1369809
q2, r, c, 32, 43690, 4, 203487, 581682, 112, 11011, 5485, 1169364
q2, r, h, 32, 43690, 4, 143543, 581681, 134, 10783, 1092, 1169362
q2, d, -, 32, 43690, 4, 166719, 663062, 405, 43837, 21893, 1369809
q2, r, c, 32, 43690, 4, 203526, 581682, 172, 11002, 5488, 1169365
q2, r, h, 32, 43690, 4, 143913, 581681, 131, 10852, 1214, 1169362
q2, d, -, 32, 43690, 4, 168654, 663062, 404, 43833, 21894, 1369810
q2, r, c, 64, 43690, 4, 203311, 581683, 103, 11000, 5486, 1169365
q2, r, h, 64, 43690, 4, 144229, 581681, 169, 10955, 1146, 1169362
q2, d, -, 64, 43690, 4, 178326, 663062, 810, 87650, 43776, 1369810
q2, r, c, 64, 43690, 4, 203322, 581682, 97, 10980, 5488, 1169363
q2, r, h, 64, 43690, 4, 144777, 581682, 195, 10956, 1043, 1169365
q2, d, -, 64, 43690, 4, 176176, 663062, 819, 87671, 43767, 1369809
q2, r, c, 64, 43690, 4, 203303, 581682, 104, 10993, 5487, 1169363
q2, r, h, 64, 43690, 4, 145279, 581681, 177, 10865, 1112, 1169363
q2, d, -, 64, 43690, 4, 176133, 663062, 813, 87656, 43766, 1369809
q2, r, c, 64, 43690, 4, 203207, 581683, 103, 10996, 5490, 1169363
q2, r, h, 64, 43690, 4, 143792, 581681, 160, 10845, 992, 1169362
q2, d, -, 64, 43690, 4, 193722, 663062, 2072, 87756, 43789, 1369810
q2, r, c, 64, 43690, 4, 203290, 581682, 100, 10990, 5487, 1169363
q2, r, h, 64, 43690, 4, 144598, 581682, 130, 10974, 1086, 1169364
q2, d, -, 64, 43690, 4, 176043, 663062, 814, 87656, 43772, 1369809
q2, r, c, 64, 43690, 4, 203427, 581683, 111, 11004, 5489, 1169365
q2, r, h, 64, 43690, 4, 143534, 581681, 197, 10812, 1066, 1169362
q2, d, -, 64, 43690, 4, 178283, 663063, 802, 87628, 43769, 1369811
