bench, mem, temp, row_size, row_count, col_width, cycles, l1_references, l1_refills, l2_references, l2_refills, inst_retired
q1, r, c, 64, 32768, 1, 205414, 1212463, 36, 3103, 1541, 2097240
q1, r, h, 64, 32768, 1, 206054, 1212465, 44, 3120, 189, 2097243
q1, d, -, 64, 32768, 1, 319475, 1409071, 613, 65738, 32809, 2981976
q1, c, -, 64, 32768, 1, 138241, 688174, 814, 4050, 1542, 1146968
q1, r, c, 64, 32768, 2, 222393, 1212463, 71, 6193, 3078, 2195544
q1, r, h, 64, 32768, 2, 225451, 1212465, 71, 6205, 627, 2195548
q1, d, -, 64, 32768, 2, 353873, 1409070, 628, 65778, 32835, 3178584
q1, c, -, 64, 32768, 2, 158792, 688174, 1632, 7888, 3073, 1245271
q1, r, c, 64, 32768, 4, 223551, 1212463, 115, 12331, 6150, 2195544
q1, r, h, 64, 32768, 4, 224471, 1212464, 118, 12334, 2393, 2195546
q1, d, -, 64, 32768, 4, 353571, 1409071, 603, 65718, 32826, 3178585
q1, c, -, 64, 32768, 4, 170456, 688174, 3395, 16138, 6143, 1245271
q1, r, c, 64, 32768, 8, 225862, 1212463, 212, 24621, 12294, 2195544
q1, r, h, 64, 32768, 8, 226878, 1212464, 236, 24664, 7610, 2195546
q1, d, -, 64, 32768, 8, 354139, 1409070, 620, 65745, 32835, 3178584
q1, c, -, 64, 32768, 8, 191364, 688174, 6866, 32541, 11616, 1245271
q1, r, c, 64, 32768, 16, 242337, 1310767, 456, 49286, 24612, 2195545
q1, r, h, 64, 32768, 16, 240160, 1310768, 455, 49276, 24073, 2195548
q1, d, -, 64, 32768, 16, 360323, 1507374, 606, 65730, 32835, 3178583
q1, c, -, 64, 32768, 16, 255221, 786478, 14067, 65857, 23643, 1245272
